Player,R1,R2,R3,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R20,R21,R22,Tot
"Atkins, Simon",1,1,-,1,1,3,2,5,-,1,1,3,3,-,1,-,5,1,5,1,35.0
"Ballantyne, Jon",2,,,,,,,,,,,10,4,8,3,2,,,,,29.0
"Barrow, Gary",,,,,,,,,,,,,,,,,3,4,-,1,8.0
"Beveridge, Luke",,,,,,,,,,,6,3,1,1,2,3,,,2,-,18.0
"Cameron, Leon",1,3,1,-,1,6,5,2,,2,8,7,4,-,4,4,-,6,4,1,59.0
"Campbell, Tony",,,,,,1,4,-,3,2,6,4,1,2,4,,,,,,27.0
"Charles, Justin",,,,,,,,,,,3,4,-,,,,,,,,7.0
"Coleman, Glenn",6,4,-,,,,,,,4,,,,,,,,,,,14.0
"Corcoran, Shannon",,,,,,,,,,,-,1,,,,,6,2,2,,11.0
"Croft, Matthew",4,,8,,,,,,,,,,,,,,,,,,12.0
"Darcy, Anthony",,,,,-,1,1,1,1,1,,,,,2,3,2,-,1,6,19.0
"Del-Re, Danny",4,8,7,11,4,3,4,4,6,3,7,,,,,8,4,1,,,74.0
"Ellen, Shane",,,2,3,-,,,,,1,,,,,,,,,,,6.0
"Foster, Peter",2,,,,,,4,8,2,4,5,7,7,9,,,,,,,48.0
"Frost, Michael",,,,,,,3,3,3,,,,,3,3,-,,,,,15.0
"Grant, Chris",,,,3,4,8,5,5,5,7,7,7,11,4,9,6,13,5,5,5,109.0
"Grgic, Ilija",,3,,,,,,5,,,,,,3,4,10,8,2,5,9,49.0
"Hawkins, Doug",1,1,1,4,5,5,8,7,7,1,1,8,6,5,5,6,10,2,2,3,88.0
"Hunter, Mark",-,2,1,5,3,1,3,3,1,3,5,5,1,,,,,4,4,6,47.0
"Kellett, Nigel",1,2,4,2,5,5,3,6,2,5,-,,4,3,3,3,5,2,1,6,62.0
"Kolyniuk, Steven",4,-,5,3,1,2,,,2,3,7,4,-,2,6,1,,,,,40.0
"Kretiuk, Steven",,2,-,,,,,3,-,,,,,,,,,,,-,5.0
"Liberatore, Tony",-,4,2,-,3,1,1,1,2,2,-,-,1,1,-,1,3,3,1,1,27.0
"Macpherson, Stephen",4,4,2,5,3,3,5,4,2,,,,,,,,,,,,32.0
"Mansfield, Matthew",3,2,1,3,2,2,,,,,,,,-,1,,,,,,14.0
"Nicholson, Brad",,,,,,,,,,,,,,,,4,2,3,2,7,18.0
"Quill, Peter",,,,2,3,3,3,,,,,4,-,3,2,7,3,2,3,11,46.0
"Reynolds, Keenan",3,2,8,2,2,13,6,6,7,8,7,9,3,6,,,,,,,82.0
"Royal, Brian",,,,,,,1,3,-,,3,4,1,-,4,,3,-,,,19.0
"Sexton, Ben",,,,3,3,1,,,,,,,,,1,2,3,,7,8,28.0
"Smith, Rohan",3,4,,,,,,,,4,4,6,2,,,,,,,,23.0
"Standfield, Barry",3,2,4,2,7,5,11,6,6,6,-,7,1,5,5,1,7,5,-,1,84.0
"Thorpe, Alan",,,,,,,,,,,,,,,,,3,2,6,4,15.0
"Toohey, Bernard",,4,1,-,4,11,4,6,1,3,1,1,1,,,4,4,3,7,5,60.0
"Wallis, Stephen",11,3,3,5,,,,,,,,,,,,,,,,,22.0
"West, Scott",-,1,2,3,1,-,2,2,4,2,,,,7,2,-,7,-,1,2,36.0
"Wynd, Scott",3,7,7,6,5,5,1,,6,9,9,8,4,6,5,8,7,3,4,4,107.0
Totals,56,59,59,63,57,79,76,80,60,71,80,102,55,68,66,73,98,50,62,81,1395.0
Opponent,CW,ME,FI,ES,WC,NM,CA,SK,HW,AD,SY,BB,GE,RI,CW,ME,FI,ES,WC,NM,
