Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Brennan, Jacob",,,-,3,3,4,3,3,6,,2,,,-,6,,,,,,,,30.0
"Brown, Mitch",,6,6,,2,5,3,,8,2,3,6,4,4,6,6,5,2,4,7,7,3,89.0
"Butler, Sam",,4,1,1,3,,,,-,4,3,4,4,,,,2,1,1,3,3,2,36.0
"Carter, Adam",,,,,,,,,,,,,,,1,1,1,-,,1,,,4.0
"Cox, Dean",1,1,3,2,2,-,2,-,3,1,3,-,-,-,1,2,-,3,1,1,-,3,29.0
"Cripps, Jamie",-,-,-,-,1,,,,,,1,,,1,3,2,-,1,-,4,-,2,15.0
"Dalziell, Bradd",,-,,-,4,-,-,,-,,,-,-,-,-,-,1,2,-,1,-,-,8.0
"Darling, Jack",6,1,3,-,-,1,2,3,1,1,2,1,1,1,1,-,2,1,2,3,1,,33.0
"Embley, Andrew",-,-,1,,,,,,,-,-,1,,1,1,,,-,,5,,-,9.0
"Gaff, Andrew",2,-,-,1,2,-,-,-,1,-,2,3,1,1,1,4,2,-,-,-,1,-,21.0
"Glass, Darren",6,4,2,3,1,8,3,4,2,4,,3,5,9,4,8,,3,2,9,2,3,85.0
"Hams, Ashton",-,1,-,1,1,,,,,,-,,,,,,-,1,,,,,4.0
"Hill, Josh",2,1,1,4,1,1,1,2,4,1,1,,,-,1,1,2,3,1,1,-,2,30.0
"Hurn, Shannon",3,3,2,4,1,4,4,3,-,3,3,-,,,,,,,,,,,30.0
"Hutchings, Mark",,,,,,,2,,1,-,,,-,1,-,1,2,3,,,,,10.0
"Kennedy, Josh",-,-,-,-,2,1,1,2,2,1,,-,-,-,1,1,1,-,-,-,2,2,16.0
"Kerr, Daniel",,,-,-,-,1,,-,-,-,1,1,-,,,,,,,,,,3.0
"LeCras, Mark",1,,-,1,-,-,-,-,-,-,,1,1,2,1,-,,,-,,,,7.0
"Lycett, Scott",2,,,,,,,,,,,,,,,,1,2,1,3,3,1,13.0
"Mackenzie, Eric",6,,,10,7,7,13,8,6,6,8,10,11,14,5,19,8,4,15,10,8,6,181.0
"Masten, Chris",-,-,1,-,-,-,,-,-,-,1,-,2,1,5,1,-,,1,,1,-,13.0
"McGinnity, Patrick",,,,,,,,,,,,1,1,2,,,,,-,1,-,-,5.0
"Morton, Cale",,,,,,,,,,,,,,,-,4,-,,,,,,4.0
"Naitanui, Nic",,,,,,2,2,2,1,3,1,3,4,7,-,1,,,,,,,26.0
"Priddis, Matt",-,-,-,3,-,1,1,1,3,-,1,-,-,1,-,-,3,,1,2,1,-,18.0
"Rosa, Matt",,,,,,,2,4,2,-,3,-,-,2,3,,,,,,-,2,18.0
"Schofield, Will",5,6,4,5,,6,5,5,,,,,3,2,3,3,8,-,2,3,1,,61.0
"Selwood, Adam",2,2,3,3,,,,2,,4,-,,,,,2,,,,,,1,19.0
"Selwood, Scott",4,1,1,-,-,2,1,2,1,4,-,-,,,,,3,4,2,-,2,1,28.0
"Sheppard, Brad",2,-,,,,,-,1,1,1,1,,2,4,,,,-,-,1,1,,14.0
"Shuey, Luke",1,1,2,-,-,1,4,-,1,3,-,2,,,,1,,,,-,,,16.0
"Sinclair, Callum",,1,2,1,9,1,,,,,,,,,,,,,,,,,14.0
"Smith, Ashley",2,,,,,3,1,,,,,,3,,5,4,2,1,3,2,3,-,29.0
"Tunbridge, Simon",,,,,,,,,,,,,-,,,,,,,,,-,
"Waters, Beau",6,4,,,4,,,1,,,,3,4,5,,,,,,,,,27.0
"Wellingham, Sharrod",,,,,,1,2,-,,,,,,,,1,3,1,1,3,-,4,16.0
"Wilson, Blayne",,,,,,,,,,,2,-,,,,,2,1,3,,1,4,13.0
Totals,51,36,32,42,43,49,52,43,43,38,38,39,46,58,48,62,48,33,40,60,37,36,974.0
Opponent,FR,HW,ME,CA,PA,WB,BL,NM,GW,RI,SK,HW,ES,AD,FR,SY,WB,GC,ES,GE,CW,AD,
