Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,Tot
"Aliir, Aliir",3,4,2,1,2,3,3,5,4,2,2,3,5,1,4,44.0
"Bergman, Miles",4,6,2,4,3,1,4,2,-,-,4,4,3,4,-,41.0
"Boak, Travis",,4,-,3,2,2,8,1,2,2,,,2,3,3,32.0
"Bonner, Riley",,,1,,,,1,1,-,2,1,1,1,2,1,11.0
"Burgoyne, Jase",,-,,,,,2,,,,,,,,-,2.0
"Burton, Ryan",3,2,,,1,3,2,4,2,2,1,3,,1,5,29.0
"Butters, Zak",-,1,2,4,4,3,4,2,1,4,9,2,6,2,4,48.0
"Byrne-Jones, Darcy",3,3,2,-,1,2,4,2,,-,4,-,2,1,1,25.0
"Clurey, Tom",,,1,,,,,,,,,,,,,1.0
"Dixon, Charlie",9,-,2,3,5,,3,2,,,,,1,1,3,29.0
"Drew, Willem",1,5,3,3,4,2,3,1,-,5,4,2,-,-,3,36.0
"Duursma, Xavier",3,2,2,3,3,5,-,,,,,,,,,18.0
"Evans, Francis",-,,,,,,,-,-,2,1,,,,,3.0
"Fantasia, Orazio",1,1,1,,,,,,,,,,,,,3.0
"Farrell, Kane",-,3,2,2,2,2,,,1,-,3,1,4,2,-,22.0
"Finlayson, Jeremy",,,5,2,3,1,4,1,3,4,5,3,1,2,3,37.0
"Georgiades, Mitch",2,5,,,,,,,,,,,,,,7.0
"Horne-Francis, Jason",2,7,4,1,4,6,8,2,3,3,5,2,3,7,2,59.0
"Houston, Dan",3,4,4,3,3,1,3,2,2,6,3,2,5,3,3,47.0
"Jonas, Tom",2,1,5,2,,5,,-,-,1,,,,,,16.0
"Jones, Lachie",1,2,3,,,,,,,,3,1,3,,,13.0
"Lord, Ollie",,,,,,5,1,,1,3,2,1,,,,13.0
"Lycett, Scott",3,1,4,6,2,,,,,6,5,1,1,2,,31.0
"Marshall, Todd",1,4,1,1,4,-,,4,1,,,3,1,4,1,25.0
"McEntee, Jed",,,,4,1,1,3,-,1,3,5,2,2,2,3,27.0
"McKenzie, Trent",1,,,2,1,4,3,1,2,-,1,1,-,1,2,19.0
"Mead, Jackson",,,,2,1,,,,-,-,4,,,,,7.0
"Narkle, Quinton",,,,,,,,,,,,,,2,5,7.0
"Powell-Pepper, Sam",2,4,3,3,6,1,2,2,2,4,1,5,4,2,3,44.0
"Rioli, Junior",1,2,2,1,2,1,3,2,,,1,2,4,,,21.0
"Rozee, Connor",2,2,2,5,8,2,4,6,2,6,1,4,3,4,2,53.0
"Sinn, Josh",,,,,,,,,,,,1,3,2,,6.0
"Teakle, Brynn",,,,,,5,5,2,6,,,,,,,18.0
"Visentini, Dante",,,,,,,,,,,,,,,3,3.0
"Williams, Dylan",,,,4,-,4,1,4,1,5,5,1,1,3,-,29.0
"Wines, Ollie",8,2,6,8,7,3,3,2,2,2,3,-,-,1,3,50.0
Totals,55,65,59,67,69,62,74,48,36,62,73,45,55,52,54,876.0
Opponent,BL,CW,AD,SY,WB,WC,SK,ES,NM,ME,RI,HW,WB,GE,ES,
