Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,Tot
"Aliir, Aliir",8,5,5,9,9,5,7,7,4,2,6,8,7,6,6,94.0
"Bergman, Miles",9,8,4,3,4,1,7,9,5,6,6,7,6,5,4,84.0
"Boak, Travis",,3,4,2,6,7,13,8,2,5,,,15,4,5,74.0
"Bonner, Riley",,,3,,,,-,3,6,2,6,7,-,1,4,32.0
"Burgoyne, Jase",,-,,,,,2,,,,,,,,1,3.0
"Burton, Ryan",5,-,,,4,3,4,4,5,2,2,5,,5,4,43.0
"Butters, Zak",6,6,7,10,17,7,14,13,14,18,14,6,12,11,4,159.0
"Byrne-Jones, Darcy",6,5,4,2,7,5,8,6,,4,4,3,2,7,2,65.0
"Clurey, Tom",,,2,,,,,,,,,,,,,2.0
"Dixon, Charlie",10,5,8,18,9,,9,10,,,,,5,6,8,88.0
"Drew, Willem",9,10,8,6,5,11,6,10,11,13,6,6,8,6,8,123.0
"Duursma, Xavier",9,2,4,11,8,10,2,,,,,,,,,46.0
"Evans, Francis",1,,,,,,,4,5,2,1,,,,,13.0
"Fantasia, Orazio",3,1,1,,,,,,,,,,,,,5.0
"Farrell, Kane",6,1,4,4,4,1,,,1,5,4,2,5,6,12,55.0
"Finlayson, Jeremy",,,5,10,4,7,6,8,8,5,5,7,4,4,7,80.0
"Georgiades, Mitch",5,4,,,,,,,,,,,,,,9.0
"Horne-Francis, Jason",10,4,10,11,10,11,18,8,7,12,11,9,6,8,5,140.0
"Houston, Dan",7,5,6,7,8,7,7,6,5,9,10,7,5,9,15,113.0
"Jonas, Tom",4,2,4,3,,3,,1,2,2,,,,,,21.0
"Jones, Lachie",4,1,4,,,,,,,,10,3,13,,,35.0
"Lord, Ollie",,,,,,7,3,,5,4,4,2,,,,25.0
"Lycett, Scott",6,5,9,10,3,,,,,8,13,7,6,6,,73.0
"Marshall, Todd",6,4,1,7,3,1,,1,-,,,8,3,4,4,42.0
"McEntee, Jed",,,,3,7,2,5,5,4,5,5,4,1,4,2,47.0
"McKenzie, Trent",5,,,3,1,2,4,1,7,-,4,4,5,2,3,41.0
"Mead, Jackson",,,,3,5,,,,3,2,4,,,,,17.0
"Narkle, Quinton",,,,,,,,,,,,,,4,2,6.0
"Powell-Pepper, Sam",8,7,9,4,8,9,7,4,5,5,9,10,5,8,6,104.0
"Rioli, Junior",8,4,4,3,3,5,1,7,,,2,5,4,,,46.0
"Rozee, Connor",4,5,10,7,11,5,9,13,12,15,9,9,10,5,5,129.0
"Sinn, Josh",,,,,,,,,,,,2,3,3,,8.0
"Teakle, Brynn",,,,,,5,5,3,10,,,,,,,23.0
"Visentini, Dante",,,,,,,,,,,,,,,3,3.0
"Williams, Dylan",,,,4,5,6,5,5,6,6,3,5,2,4,7,58.0
"Wines, Ollie",11,11,8,8,11,13,11,10,7,12,12,9,6,15,6,150.0
Totals,150,98,124,148,152,133,153,146,134,144,150,135,133,133,123,2056.0
Opponent,BL,CW,AD,SY,WB,WC,SK,ES,NM,ME,RI,HW,WB,GE,ES,
