Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Anthony, John",,,1,,,,,,,,,,,-,1,2,1,3,3,4,2,3,3,2,25.0
"Brown, Nathan",1,2,-,-,1,-,1,2,3,1,-,2,1,1,1,-,1,2,5,3,,-,1,2,30.0
"Bryan, Chris",,,,,,,,6,2,5,-,2,4,1,1,1,3,5,7,1,2,5,4,1,50.0
"Burns, Scott",,4,-,,,,3,-,3,1,-,-,1,1,1,5,-,5,5,1,1,,,,31.0
"Clarke, Martin",2,,,4,1,-,3,1,4,-,-,2,3,-,1,2,-,3,-,3,2,1,2,3,37.0
"Cloke, Travis",3,2,2,4,1,5,2,2,5,4,1,1,,2,4,4,4,9,3,2,-,5,3,-,68.0
"Cook, Ryan",,,,,,4,-,,,,-,,,,,,,,3,1,1,2,2,4,17.0
"Cox, Shannon",,,,,,,,,,1,-,,,,,,,,,,1,1,3,3,9.0
"Davis, Leon",3,2,2,1,1,2,2,2,1,2,1,2,,1,4,,4,1,2,1,-,7,3,2,46.0
"Dawes, Chris",,,,,,,,,,,,,,,,,,,3,1,1,1,-,1,7.0
"Didak, Alan",4,7,1,3,3,2,1,2,9,2,3,4,2,1,1,2,5,2,,,,,,,54.0
"Egan, Chris",5,4,,,,,,,,,,,,,,,,,,,,,,,9.0
"Fraser, Josh",1,2,-,3,1,-,3,,1,-,-,4,,,,,,3,1,2,4,3,3,2,33.0
"Goldsack, Tyson",-,5,,,2,2,5,,,,,,1,2,1,2,,1,-,2,3,1,1,1,29.0
"Holland, Brodie",,,,,2,,,,,,,,,,,,,,,,,,,,2.0
"Johnson, Ben",,8,1,-,1,2,1,2,4,-,2,2,-,4,2,2,2,,,,,,,,33.0
"Lockyer, Tarkyn",-,2,3,-,1,5,3,-,1,1,2,-,3,4,3,1,2,3,3,3,5,5,-,4,54.0
"Lonie, Ryan",,,,,,,,,,,,,,,,,,2,,,,,,,2.0
"Lumumba, Heritier",2,2,1,3,3,-,3,2,3,4,1,2,1,2,1,-,6,4,2,4,2,3,2,1,54.0
"Maxwell, Nick",-,1,2,6,,2,-,2,1,2,1,-,2,-,4,3,2,2,-,1,2,1,1,2,37.0
"McCarthy, John",,,,,,,,,,,,,,,,,,,2,3,1,6,4,2,18.0
"Medhurst, Paul",3,7,3,3,-,3,1,1,5,2,7,4,1,5,2,-,1,6,1,3,3,2,3,3,69.0
"OBree, Shane",1,5,1,4,6,3,3,4,1,3,6,2,2,1,1,5,4,3,,6,1,4,1,5,72.0
"Pendlebury, Scott",3,3,2,1,2,-,3,1,-,-,,-,2,2,2,2,3,1,2,1,2,2,2,1,37.0
"Prestigiacomo, Simon",,,,,,,,,,,,,,,,,,,,,,1,1,,2.0
"Reid, Ben",,,,,4,,,,,,,-,-,,,,,,,,,,,,4.0
"Rocca, Anthony",2,2,2,1,5,,,3,-,,,,2,,,,,,,,,,,,17.0
"Rusling, Sean",-,,,,,,,,,,,,,,,,,,,,,,,,
"Shaw, Heath",3,-,2,2,6,5,4,4,1,1,5,1,4,2,8,3,1,5,,,,,,,57.0
"Shaw, Rhyce",2,5,1,3,2,-,3,1,1,-,4,3,4,-,5,4,-,,,,,1,6,1,46.0
"Stanley, Danny",,,,5,,,,,,,,,,,,,,,,,,5,,,10.0
"Swan, Dane",5,3,2,7,1,-,1,5,2,3,2,4,1,6,2,2,5,-,2,1,2,4,5,2,67.0
"Thomas, Dale",1,2,3,-,3,1,3,5,6,4,1,1,2,4,2,3,3,-,4,2,,,1,1,52.0
"Toovey, Alan",,,3,-,,,,,,,,,-,,,,,-,1,-,1,,,,5.0
"Wakelin, Shane",-,2,-,-,-,-,3,-,3,1,1,1,,1,4,1,1,,1,1,2,,,3,25.0
"Wellingham, Sharrod",,,,,,2,,2,2,-,4,5,4,,,2,2,1,2,,1,,,,27.0
"Wood, Cameron",-,2,-,-,1,-,4,2,,,,,1,1,1,3,-,,,,,,,,15.0
Totals,41,72,32,50,47,38,52,49,58,37,41,42,41,41,52,49,50,61,52,46,39,63,51,46,1150.0
Opponent,FR,BL,RI,CA,NM,ES,HW,SK,GE,WC,ME,CA,WB,SY,AD,NM,ES,HW,SK,PA,SY,FR,AD,SK,
