Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Bowden, Joel",-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,1,4.0
"Bowden, Patrick",1,2,,-,,,,,,,,,,,,,,,,,,,3.0
"Brown, Nathan",,,,,,,,,,,,1,2,1,2,1,-,1,1,-,2,1,12.0
"Connors, Daniel",,,,,,,,,,,,,,,,,1,1,-,-,,,2.0
"Deledio, Brett",1,-,-,-,-,-,1,1,2,-,1,-,-,-,,,,1,1,-,1,1,10.0
"Edwards, Shane",,,,-,1,,,1,1,-,-,,-,2,-,-,1,-,-,-,-,1,7.0
"Foley, Nathan",-,-,-,-,1,1,-,1,-,-,-,5,2,-,1,2,1,2,1,-,-,-,17.0
"Gaspar, Darren",-,-,-,-,-,,,,,,,,,,,,,,,,,,
"Graham, Angus",,,,,,,,,,,,,,,,,,-,-,,,,
"Hartigan, Brent",,,,,,,,,,,,,,,-,,,,,,,,
"Howat, Cameron",-,1,-,,,,-,1,-,-,1,-,-,-,1,-,,,-,1,,,5.0
"Hughes, Cleve",,,,,-,-,-,,,,-,-,,,,,-,-,,,,,
"Hyde, Chris",-,1,1,1,-,-,-,,,,3,-,1,,-,-,,,,,,-,7.0
"Jackson, Daniel",,,,,-,-,,-,-,-,-,-,1,1,-,1,,,-,1,2,-,6.0
"Johnson, Kane",-,1,1,2,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,2,1,-,9.0
"King, Jake",,,,-,-,1,-,-,-,-,1,-,-,-,-,-,-,1,2,-,-,1,6.0
"Kingsley, Kent",,,,,,,,,-,2,-,,,,,,,,,,,,2.0
"Krakouer, Andrew",2,-,-,2,,,-,-,-,,,1,,,,,-,,,,,,5.0
"McGuane, Luke",-,-,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,
"Meyer, Danny",,,,,,-,,-,-,,,,,,,,,,,,,,
"Moore, Kelvin",-,-,-,,,-,,,,,,,,,,,-,,,,-,-,
"Newman, Chris",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,4.0
"Oakley-Nicholls, Jarrad",,,,,1,-,-,,,,,,,,,,,,,,,,1.0
"Pattison, Adam",-,1,-,,,,-,1,-,-,-,-,1,-,1,1,-,,1,-,-,-,6.0
"Pettifer, Kayne",2,-,1,-,-,1,2,-,2,2,-,3,-,-,-,-,-,1,-,-,-,-,14.0
"Polak, Graham",-,-,1,-,1,-,-,-,-,-,-,1,-,1,1,-,-,-,1,1,2,1,10.0
"Polo, Dean",1,-,-,1,,,1,-,,-,-,,,,,,,,,,,,3.0
"Raines, Andrew",-,1,-,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,4.0
"Richardson, Matthew",-,1,1,-,1,-,-,-,-,1,3,3,2,1,2,-,-,1,-,-,1,1,18.0
"Riewoldt, Jack",,,,,,,,,1,,,,,1,,-,-,1,,1,1,-,5.0
"Schulz, Jay",1,-,1,-,-,-,-,1,,-,,,,,-,1,,,,,-,,4.0
"Simmonds, Troy",,,-,1,-,-,,,,,,,-,-,-,-,-,-,,,,,1.0
"Tambling, Richard",-,-,3,1,-,-,,-,-,-,1,-,1,-,-,,-,-,-,1,1,1,9.0
"Thursfield, Will",,,,,,,,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Tivendale, Greg",1,2,1,-,-,,-,1,1,1,,1,1,-,-,-,,-,1,1,-,1,12.0
"Tuck, Shane",1,-,1,1,1,-,-,-,-,1,2,-,-,1,-,-,-,-,1,1,-,-,10.0
"White, Matt",,,,,,-,-,,,-,-,-,-,-,,,,,,,,,
Totals,10,11,11,9,7,3,5,8,8,7,12,15,11,9,8,8,5,10,10,9,11,10,197.0
Opponent,CA,SY,CW,WB,WC,GE,PA,AD,ES,BL,FR,ME,SK,KA,HW,PA,SY,GE,CW,WC,ES,SK,
