Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Tot
"Baldwin, Kaine",,,,,,,,,1,1,,,,2.0
"Bryan, Nick",,,,,,,,,,,-,,,
"Caldwell, Jye",3,2,4,-,-,5,1,1,5,5,4,5,4,39.0
"DAmbrosio, Massimo",,-,-,,,,1,,1,-,1,-,-,3.0
"Davey, Alwyn",-,-,2,-,,-,,1,1,-,,,,4.0
"Draper, Sam",2,3,4,3,2,4,3,4,3,4,4,5,1,42.0
"Durham, Sam",3,1,1,1,2,-,-,,1,2,-,-,2,13.0
"Guelfi, Matt",,1,,,,,,,,,-,-,1,2.0
"Heppell, Dyson",-,-,-,-,1,1,,-,-,-,-,-,1,3.0
"Hind, Nick",,,2,,-,,-,-,1,-,-,-,-,3.0
"Hobbs, Ben",,,,,,-,1,3,1,5,4,5,2,21.0
"Jones, Harry",1,-,1,-,-,,,,,,,,,2.0
"Kelly, Jake",-,1,-,-,-,-,-,-,,,,,,1.0
"Langford, Kyle",-,-,-,1,-,-,-,-,-,2,1,-,-,4.0
"Laverde, Jayden",-,-,1,-,1,-,,,,,-,-,-,2.0
"Martin, Nic",-,-,3,2,2,2,-,-,-,1,-,4,7,21.0
"McDonald-Tipungwuti, Anthony",-,,,,,,-,1,-,-,-,,,1.0
"McGrath, Andrew",1,-,2,2,1,1,1,-,-,-,-,-,-,8.0
"Menzie, Jye",-,-,-,-,-,-,,-,1,-,1,-,-,2.0
"Merrett, Zach",4,4,6,5,4,,1,4,7,5,5,8,3,56.0
"Parish, Darcy",13,11,4,7,6,9,9,9,,,,,,68.0
"Perkins, Archie",-,-,-,-,-,1,1,-,-,1,2,4,1,10.0
"Phillips, Andrew",1,-,,-,2,-,1,2,2,-,,2,-,10.0
"Redman, Mason",-,-,1,-,1,-,1,-,-,-,-,-,-,3.0
"Ridley, Jordan",-,1,-,-,-,-,-,-,,-,-,-,-,1.0
"Setterfield, Will",1,5,5,4,4,2,3,-,4,,,,,28.0
"Shiel, Dylan",2,7,5,5,7,4,3,2,4,,,1,,40.0
"Snelling, Will",,,,,-,2,-,,,1,1,1,1,6.0
"Stringer, Jake",,,-,4,-,4,11,6,1,2,2,3,6,39.0
"Weideman, Sam",1,,2,-,,-,1,-,-,-,1,-,-,5.0
"Wright, Peter",,,,,,,,,,,,,-,
"Zerk-Thatcher, Brandon",-,-,,-,-,-,-,2,-,-,-,-,-,2.0
Totals,32,36,43,34,33,35,38,35,33,29,26,38,29,441.0
Opponent,HW,GC,SK,GW,ME,CW,GE,PA,BL,RI,WC,NM,CA,
