Player,R1,R2,R3,R4,R5,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R22,Tot
"Aitken, Ian",,,,,,,5,2,,,,,,,,2,,,3,1,13.0
"Anderson, Dean",3,,6,5,4,1,6,4,6,2,2,3,1,3,1,5,6,2,-,2,62.0
"Arceri, Mark",1,2,1,1,,-,,,,,,,,,,,,,,,5.0
"Atkinson, Brodie",,,,,,,,,,2,3,,,,,,,,,,5.0
"Bingham, Lawrence",4,8,5,7,6,5,2,2,1,3,8,12,2,4,,,,,,,69.0
"Bourke, Darren",4,7,7,5,1,4,4,2,-,,,,,,,4,4,5,5,7,59.0
"Bowey, Brett",,2,5,8,1,4,2,,1,,,,,1,,,,2,,,26.0
"Burke, Nathan",5,3,3,7,1,1,3,2,1,2,3,11,3,2,4,7,1,4,-,5,68.0
"Capsalis, Leigh",,,,,,,,,,,,,,,,,2,,,,2.0
"Devonport, Craig",7,2,-,3,3,1,,5,2,1,2,7,2,5,,,,,2,1,43.0
"Dwyer, Mick",,,,,2,,2,,,,,,,5,7,10,3,5,2,8,44.0
"Everitt, Peter",6,3,1,2,1,2,,,,,,,,3,12,6,4,3,3,8,54.0
"Fode, Gordon",,4,2,3,6,,5,1,,,,4,3,,14,4,3,,,,49.0
"Frawley, Danny",2,1,5,1,5,1,9,2,1,3,2,,5,-,-,,1,3,3,2,46.0
"Georgiou, John",,,,,,,,,2,1,,,,,,,,,,,3.0
"Grant, David",,,,,,,,,,8,6,4,3,2,3,,,9,1,8,44.0
"Greig, Dean",,4,5,5,,,,,,2,3,2,-,,,,,,,,21.0
"Hanson, Nick",,,,,,,1,,,,,,,,,,,,,,1.0
"Harvey, Robert",4,4,1,3,,,7,,5,1,1,6,2,3,10,3,2,1,1,4,58.0
"Heppell, Martin",,,,,,,,,,,,,,2,-,-,,,,,2.0
"Hollow, Chris",-,,,,,,,,,,,4,1,3,3,5,1,3,-,1,21.0
"Lockett, Tony",,,13,,,10,4,1,7,7,5,8,4,4,,,,,,,63.0
"Loewe, Stewart",5,10,13,9,5,13,12,9,7,3,6,13,13,6,2,15,17,9,8,9,184.0
"McAdam, Gilbert",8,2,6,3,1,1,4,2,3,,1,,,,2,4,2,5,5,4,53.0
"Morris, Russell",8,6,7,2,1,9,,5,3,8,-,5,2,,5,2,2,7,6,3,81.0
"Newport, Stephen",,,,,,2,,,,,,,,,,,,,,,2.0
"OBrien, Craig",,3,,,4,4,6,1,,,,,,7,5,3,3,3,4,3,46.0
"Peckett, Justin",3,4,2,1,2,-,2,1,2,3,1,-,,,2,1,-,2,1,-,27.0
"Pekin, Tim",5,2,,,1,,,1,2,3,3,3,4,1,5,4,8,5,3,3,53.0
"Ralphsmith, Sean",1,8,7,9,6,2,,,,,,,,,,,,,,,33.0
"Rice, Dean",,,,5,4,3,9,5,1,3,6,3,4,4,,,,,,,47.0
"Shanahan, Jamie",2,1,2,2,3,-,3,-,2,1,-,3,-,2,1,-,1,-,1,1,25.0
"Shaw, Damen",,,,,,,,,,3,3,1,4,4,3,2,-,-,2,9,31.0
"Taylor, Kain",4,,,,4,,,,,,,2,3,4,4,2,4,1,,4,32.0
"Vidovic, Lazar",,,,,,,,3,3,,,,,,,,,,,,6.0
"Winmar, Nicky",8,5,6,3,,,2,4,3,7,2,4,2,,4,7,3,2,2,,64.0
"Wittman, Chris",1,,,,,-,-,5,3,1,2,3,1,,,,,,,,16.0
Totals,81,81,97,84,61,63,88,57,55,64,59,98,59,65,87,86,67,71,52,83,1458.0
Opponent,GE,NM,SY,CW,CA,RI,ES,FO,WC,BB,HW,FI,ME,AD,GE,NM,SY,CW,CA,RI,
