Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,Tot
"Atkins, Tom",-,-,3,-,2,2,-,3,3,1,-,2,1,-,17.0
"Bews, Jed",2,3,3,-,,,3,2,3,2,2,4,1,2,27.0
"Blicavs, Mark",2,3,6,2,4,-,2,4,2,5,2,3,5,6,46.0
"Bowes, Jack",,2,3,6,2,6,1,,,,,,1,1,22.0
"Bruhn, Tanner",2,2,4,,,,2,3,3,2,3,5,2,4,32.0
"Cameron, Jeremy",8,8,8,9,4,6,5,5,9,5,7,7,1,-,82.0
"Ceglar, Jonathon",,,4,,,,,3,3,3,4,4,,,21.0
"Clark, Jhye",,,,,,,,,-,,,,,,
"Close, Brad",2,1,4,6,4,2,4,-,,-,-,2,2,1,28.0
"Dangerfield, Patrick",3,-,5,4,4,6,5,3,,,,,3,,33.0
"De Koning, Sam",-,4,5,,5,6,2,,,,5,3,4,3,37.0
"Dempsey, Oliver",,,,,,,,1,3,1,,,,,5.0
"Duncan, Mitch",,,,14,5,3,6,4,10,,,,5,6,53.0
"Guthrie, Cameron",1,6,7,5,2,4,,,,,,,,,25.0
"Guthrie, Zach",7,3,5,8,7,5,8,6,2,6,7,6,7,5,82.0
"Hawkins, Tom",4,3,3,10,6,5,12,4,5,4,2,3,2,2,65.0
"Henry, Jack",,,,,,,,,,5,2,4,7,7,25.0
"Henry, Oliver",6,4,4,3,8,3,3,2,3,,4,2,3,2,47.0
"Holmes, Max",1,4,2,4,3,4,3,2,2,1,,,1,-,27.0
"Knevitt, Mitch",,,,,,1,3,3,6,3,3,3,,,22.0
"Kolodjashnij, Jake",,,,2,4,5,4,11,5,5,3,6,6,4,55.0
"Miers, Gryan",5,5,6,7,8,2,5,3,5,2,-,8,2,3,61.0
"Mullin, Oisin",,,,,,,,,,,3,1,,,4.0
"OConnor, Mark",3,3,5,3,1,6,7,7,4,4,3,1,8,2,57.0
"Parfitt, Brandan",-,,,,-,,,,1,1,-,,,,2.0
"Ratugolea, Esava",4,3,3,8,9,5,2,8,4,5,5,,,,56.0
"Rohan, Gary",5,2,3,3,,3,2,,,,,3,4,7,32.0
"Simpson, Sam",,,,,,6,2,2,2,-,,-,,,12.0
"Smith, Isaac",6,6,11,6,6,4,6,2,2,6,4,6,9,3,77.0
"Stanley, Rhys",1,1,,4,1,,,,,,,,,1,8.0
"Stengle, Tyson",3,3,2,4,1,,,,,2,2,3,-,1,21.0
"Stewart, Tom",-,,13,5,7,7,12,8,11,5,9,10,4,9,100.0
"Tuohy, Zach",4,2,5,3,2,-,,4,6,2,3,4,4,2,41.0
"Whyte, Cooper",,1,,,,,,,,,,,,,1.0
Totals,69,69,114,116,95,91,99,90,94,70,73,90,82,71,1223.0
Opponent,CW,CA,GC,HW,WC,SY,ES,AD,RI,FR,GW,WB,PA,ME,
