Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Tot
"Bergman, Miller",3,-,1,,,,,1,3,1,1,1,-,1,12.0
"Bonar, Aiden",-,,,-,,,,,,,,,,,
"Coleman-Jones, Callum",,,,,,,2,,,1,1,1,2,-,7.0
"Comben, Charlie",1,1,-,-,-,-,-,,,,,,,,2.0
"Corr, Aidan",,-,-,2,-,-,-,1,-,,,,1,-,4.0
"Cunnington, Ben",3,3,-,1,2,5,6,-,,,,,,,20.0
"Curtis, Paul",1,-,2,2,,-,3,3,4,1,1,,5,1,23.0
"Davies-Uniacke, Luke",7,4,,4,4,2,,6,6,,,,,,33.0
"Drury, Blake",,,,,,,,2,-,-,,,,,2.0
"Ford, Eddie",,,,,,,,,,5,5,1,2,-,13.0
"Goater, Josh",1,2,-,,,,,,,,,,,,3.0
"Goldstein, Todd",,-,2,3,1,2,1,1,7,2,1,2,-,1,23.0
"Greenwood, Hugh",1,1,-,2,1,,,,-,4,3,-,,-,12.0
"Hall, Aaron",,,,,,2,3,,,3,5,5,3,,21.0
"Howe, Daniel",,2,3,2,4,3,1,,,1,1,,,,17.0
"Larkey, Nick",-,1,-,1,1,1,1,1,-,1,1,4,-,-,12.0
"Lazzaro, Charlie",,,,,,,,-,,,-,,,,
"Logue, Griffin",-,-,1,,-,2,-,-,2,-,-,-,2,-,7.0
"Mahony, Jack",,,,,,,,2,2,,,,,,4.0
"McDonald, Luke",1,2,3,2,1,3,1,2,-,3,-,2,1,-,21.0
"McKay, Ben",,,,,-,1,-,2,1,-,-,-,-,2,6.0
"Perez, Flynn",,,,,,,,3,1,,,,,,4.0
"Phillips, Will",3,,1,3,6,-,,,,-,2,5,2,1,23.0
"Powell, Tom",4,4,4,5,2,5,-,,,3,1,-,5,1,34.0
"Scott, Bailey",3,-,5,2,3,1,1,-,2,12,8,4,1,4,46.0
"Sheezel, Harry",4,2,4,4,1,1,3,4,2,5,2,4,5,4,45.0
"Shiels, Liam",2,4,3,2,3,2,6,5,3,3,,3,1,2,39.0
"Simpkin, Jy",3,10,,5,1,,7,1,2,5,2,1,,3,40.0
"Spicer, Phoenix",,,,,,,,,-,-,-,1,4,-,5.0
"Stephenson, Jaidyn",1,3,4,5,2,3,2,2,-,2,3,4,1,2,34.0
"Taylor, Curtis",2,2,1,1,3,4,3,4,3,,,,,,23.0
"Thomas, Tarryn",,,,,,,,,,,,5,5,3,13.0
"Tucker, Darcy",,,-,4,4,3,2,2,-,,,3,1,,19.0
"Turner, Kayne",1,-,2,1,1,1,-,,,,,,,,6.0
"Wardlaw, George",,,,,,,,,,2,1,-,-,2,5.0
"Xerri, Tristan",-,,,,,,,,,,,,,,
"Ziebell, Jack",4,-,1,-,1,2,2,2,-,1,1,2,2,1,19.0
"Zurhaar, Cameron",4,5,7,3,1,7,7,4,4,,4,2,4,8,60.0
Totals,49,46,44,54,42,50,51,48,42,55,43,50,47,36,657.0
Opponent,WC,FR,HW,CA,BL,GC,ME,SK,PA,SY,CW,ES,GW,WB,
