Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Adams, Taylor",2,7,,4,2,-,4,4,8,,7,7,7,6,,,7,2,8,4,5,6,90.0
"Armstrong, Tony",,,,,,-,,,,,,,,,,,,,,,,,
"Blair, Jarryd",7,6,4,5,6,5,3,4,9,7,,6,1,4,1,-,,2,5,2,-,6,83.0
"Broomhead, Tim",,2,5,4,,3,2,1,,3,3,9,4,3,,,,,,,,,39.0
"Brown, Nathan",3,4,-,4,3,2,1,1,3,-,-,3,4,2,3,2,2,2,2,,2,3,46.0
"Cloke, Travis",-,4,1,1,1,1,3,1,3,4,2,1,-,-,-,,,,-,1,,,23.0
"Crisp, Jack",5,1,9,4,8,4,2,3,11,4,5,7,7,8,5,4,3,4,-,2,7,3,106.0
"Dwyer, Sam",,,2,2,-,1,,,,,,,,,,,2,,,,,,7.0
"Elliott, Jamie",6,6,2,6,1,3,2,1,4,3,2,5,3,1,,,2,4,7,2,1,2,63.0
"Fasolo, Alex",3,3,,,,,,2,6,2,1,4,2,7,1,3,4,2,5,1,1,2,49.0
"Frost, Jack",3,1,-,2,3,1,1,1,2,2,5,3,4,2,3,4,2,-,1,1,,,41.0
"Gault, Corey",,,2,-,3,,,,,,,,,,,,,,,,,,5.0
"Goldsack, Tyson",7,3,1,2,6,2,1,1,1,2,-,4,,,,1,,,,,,,31.0
"Greenwood, Levi",,,,,,,,,,,,,,,7,1,9,6,3,10,10,2,48.0
"Grundy, Brodie",3,9,2,1,9,5,2,3,6,4,,,,4,4,3,4,9,5,5,7,-,85.0
"Karnezis, Patrick",,,1,,3,1,2,,,,,,,,,,,,,,,,7.0
"Kennedy, Ben",,,,,,,,,,-,-,,,,4,5,,,,,,2,11.0
"Langdon, Tom",3,2,3,3,5,5,2,2,2,1,4,1,3,7,4,2,6,3,-,5,4,3,70.0
"Marsh, Jonathon",,,,,,,,,,,,,,,,,,1,1,-,5,2,9.0
"Maynard, Brayden",,,,,,,,,,,,,6,2,4,1,5,4,,1,3,4,30.0
"Moore, Darcy",,,,,,,,,,,,,-,2,,2,3,2,1,1,2,3,16.0
"Oxley, Adam",1,2,5,4,5,4,-,1,1,-,4,3,3,4,3,3,,,,,,-,43.0
"Pendlebury, Scott",5,-,3,5,3,8,7,3,3,8,4,6,10,6,7,5,7,7,5,-,6,4,112.0
"Ramsay, Jackson",2,-,5,4,7,,,,,,,,,,,,,,,,,,18.0
"Reid, Ben",,,,,,,,,,,,,,,,,,-,1,1,2,3,7.0
"Scharenberg, Matt",,,,,,,,,,,,,,,,,-,3,,,-,2,5.0
"Seedsman, Paul",,-,4,4,2,,3,2,3,2,2,1,,,1,,2,,,,,,26.0
"Sidebottom, Steele",5,,,,,,,5,3,-,4,1,4,4,1,3,2,7,4,3,3,4,53.0
"Sinclair, Ben",3,1,,,,,,,,,,,,,,,,3,1,2,2,,12.0
"Swan, Dane",5,2,5,2,4,3,3,4,4,4,4,7,2,8,4,3,3,3,5,5,1,,81.0
"Toovey, Alan",6,4,5,7,2,7,-,,5,1,1,1,4,5,4,5,5,8,1,4,,1,76.0
"Varcoe, Travis",1,3,9,5,3,7,-,3,4,-,1,8,1,7,6,5,7,-,6,5,3,5,89.0
"White, Jesse",-,-,3,2,3,2,2,2,1,-,2,5,1,1,3,2,,,,,-,1,30.0
"Williams, Marley",6,4,3,3,3,1,4,3,3,1,1,1,2,,2,1,1,8,2,3,1,,53.0
"Witts, Jarrod",,,,,,2,2,2,5,,4,7,6,2,2,6,3,,,,,,41.0
"de Goey, Jordan",1,,,,,,9,1,4,9,4,4,5,5,3,5,3,,12,4,7,2,78.0
Totals,77,64,74,74,82,67,55,50,91,57,60,94,79,90,72,66,82,80,75,62,72,60,1583.0
Opponent,BL,AD,SK,ES,CA,GE,RI,GC,NM,ME,GW,FR,HW,PA,WC,WB,ME,CA,SY,RI,GE,ES,
