Date,Venue,Crowd,round,year,Home,Away,Home Score,Away Score
Sat 21 Mar,Heritage Bank Stadium,9066,Round 1,1992,BRL,CAR,68,92
Sat 21 Mar,Waverley Park,34677,Round 1,1992,HAW,GEE,141,121
Sun 22 Mar,AAMI Stadium,40381,Round 1,1992,ADE,WBD,87,114
Sun 22 Mar,Waverley Park,44520,Round 1,1992,STK,ESS,128,111
Sat 28 Mar,Princes Park,25689,Round 2,1992,CAR,HAW,115,89
Sat 28 Mar,Waverley Park,21969,Round 2,1992,RCH,NTH,65,131
Sat 28 Mar,MCG,38646,Round 2,1992,MEL,GEE,113,105
Sat 28 Mar,Victoria Park,26166,Round 2,1992,COL,BRL,154,88
Sun 29 Mar,SCG,9325,Round 2,1992,SYD,WCE,98,95
Sun 29 Mar,Western Oval,25072,Round 2,1992,WBD,STK,108,76
Sun 29 Mar,MCG,29206,Round 2,1992,ESS, Fitzroy,98,150
Sat 4 Apr,Victoria Park,25432,Round 3,1992,COL,SYD,116,97
Sat 4 Apr,MCG,25323,Round 3,1992,NTH,HAW,75,101
Sat 4 Apr,Princes Park,9278,Round 3,1992,MEL,ADE,95,104
Sun 5 Apr,GMHBA Stadium,22122,Round 3,1992,GEE,RCH,198,72
Sun 5 Apr,Heritage Bank Stadium,3876,Round 3,1992,BRL, Fitzroy,82,58
Sun 5 Apr,Domain Stadium,30428,Round 3,1992,WCE,STK,113,80
Sun 5 Apr,Western Oval,21569,Round 3,1992,WBD,ESS,69,91
Fri 10 Apr,MCG,43231,Round 4,1992,NTH,CAR,110,125
Sat 11 Apr,MCG,27572,Round 4,1992,RCH,MEL,119,69
Sat 11 Apr,Moorabbin Oval,27350,Round 4,1992,STK,HAW,108,98
Sat 11 Apr,Waverley Park,54984,Round 4,1992,ESS,COL,115,124
Sat 11 Apr,Princes Park,8243,Round 4,1992,Fitzroy ,ADE,130,97
Sun 12 Apr,Domain Stadium,32101,Round 4,1992,WCE,GEE,107,131
Sun 12 Apr,SCG,8309,Round 4,1992,SYD,WBD,119,165
Sat 18 Apr,Princes Park,21182,Round 5,1992,CAR,SYD,73,94
Sat 18 Apr,Heritage Bank Stadium,6923,Round 5,1992,BRL,WCE,92,92
Sat 18 Apr,MCG,22562,Round 5,1992,NTH,WBD,101,140
Sat 18 Apr,Waverley Park,32509,Round 5,1992,HAW,ESS,114,141
Sun 19 Apr,AAMI Stadium,39022,Round 5,1992,ADE,RCH,151,117
Mon 20 Apr,Princes Park,20298,Round 5,1992,Fitzroy ,STK,108,128
Mon 20 Apr,MCG,63711,Round 5,1992,MEL,COL,98,131
Fri 24 Apr,SCG,9226,Round 6,1992,SYD,NTH,76,125
Sat 25 Apr,MCG,41405,Round 6,1992,ESS,MEL,124,123
Sat 25 Apr,Waverley Park,72765,Round 6,1992,COL,HAW,111,135
Sat 25 Apr,Princes Park,34661,Round 6,1992,CAR,STK,121,113
Sun 26 Apr,MCG,17629,Round 6,1992,RCH,WCE,96,97
Sun 26 Apr,AAMI Stadium,42759,Round 6,1992,ADE,BRL,134,74
Sun 26 Apr,GMHBA Stadium,22062,Round 6,1992,GEE, Fitzroy,175,77
Sat 2 May,MCG,17532,Round 7,1992,MEL,SYD,96,96
Sat 2 May,Waverley Park,26789,Round 7,1992,HAW,RCH,172,93
Sat 2 May,Victoria Park,27262,Round 7,1992,COL,NTH,116,66
Sat 2 May,Moorabbin Oval,22350,Round 7,1992,STK,ADE,139,65
Sun 3 May,Moorabbin Oval,8819,Round 7,1992,Fitzroy ,WCE,102,82
Sun 3 May,Heritage Bank Stadium,7645,Round 7,1992,BRL,GEE,75,239
Sun 3 May,MCG,49406,Round 7,1992,WBD,CAR,128,72
Thu 7 May,MCG,83262,Round 8,1992,COL,CAR,72,105
Fri 8 May,SCG,7425,Round 8,1992,SYD,BRL,135,61
Sat 9 May,Waverley Park,31556,Round 8,1992,STK,MEL,125,65
Sat 9 May,MCG,20101,Round 8,1992,RCH, Fitzroy,102,161
Sat 9 May,Princes Park,15911,Round 8,1992,NTH,ESS,132,80
Sat 9 May,GMHBA Stadium,18565,Round 8,1992,GEE,ADE,210,87
Sun 10 May,Domain Stadium,25234,Round 8,1992,WCE,WBD,133,74
Fri 15 May,MCG,17371,Round 9,1992,NTH, Fitzroy,66,105
Sat 16 May,Waverley Park,22686,Round 9,1992,HAW,MEL,120,48
Sat 16 May,MCG,41244,Round 9,1992,ESS,GEE,124,181
Sat 16 May,Princes Park,19077,Round 9,1992,CAR,WCE,82,106
Sun 17 May,MCG,17487,Round 9,1992,RCH,SYD,134,102
Sun 17 May,Heritage Bank Stadium,3059,Round 9,1992,BRL,WBD,42,84
Sun 17 May,AAMI Stadium,44723,Round 9,1992,ADE,COL,64,69
Fri 22 May,WACA,23046,Round 10,1992,WCE,ADE,118,78
Sat 23 May,MCG,18634,Round 10,1992,MEL,NTH,140,104
Sat 23 May,Western Oval,18508,Round 10,1992,WBD,RCH,107,90
Sat 23 May,Princes Park,27993,Round 10,1992,CAR,ESS,116,64
Sat 23 May,Waverley Park,60228,Round 10,1992,GEE,COL,66,81
Sat 23 May,Moorabbin Oval,18360,Round 10,1992,STK,BRL,168,60
Sun 24 May,SCG,12217,Round 10,1992,SYD,HAW,85,146
Sat 30 May,GMHBA Stadium,22429,Round 11,1992,GEE,STK,129,126
Sat 30 May,Princes Park,25343,Round 11,1992,Fitzroy ,COL,92,89
Sat 30 May,Waverley Park,30177,Round 11,1992,MEL,CAR,65,99
Sat 30 May,MCG,13174,Round 11,1992,RCH,BRL,142,83
Sun 31 May,Western Oval,25829,Round 11,1992,WBD,HAW,109,75
Sun 31 May,MCG,20476,Round 11,1992,ESS,SYD,116,73
Sun 31 May,AAMI Stadium,36312,Round 11,1992,ADE,NTH,142,107
Fri 5 Jun,MCG,10165,Round 12,1992,NTH,WCE,66,110
Sat 6 Jun,Princes Park,20020,Round 12,1992,Fitzroy ,WBD,84,146
Sat 6 Jun,MCG,35967,Round 12,1992,ESS,RCH,130,79
Sun 7 Jun,MCG,62586,Round 12,1992,CAR,GEE,90,118
Sun 7 Jun,Heritage Bank Stadium,4902,Round 12,1992,BRL,MEL,103,77
Mon 8 Jun,MCG,80060,Round 12,1992,COL,STK,76,77
Mon 8 Jun,Waverley Park,21119,Round 12,1992,HAW,ADE,102,103
Sat 13 Jun,Moorabbin Oval,19716,Round 13,1992,STK,SYD,157,104
Sat 13 Jun,MCG,22156,Round 13,1992,NTH,GEE,115,192
Sat 13 Jun,Waverley Park,22289,Round 13,1992,HAW, Fitzroy,145,89
Sat 13 Jun,Princes Park,14433,Round 13,1992,CAR,ADE,115,92
Sun 14 Jun,Western Oval,19185,Round 13,1992,WBD,MEL,161,54
Sun 14 Jun,Heritage Bank Stadium,6442,Round 13,1992,BRL,ESS,85,119
Sun 14 Jun,Domain Stadium,32622,Round 13,1992,WCE,COL,62,63
Fri 19 Jun,MCG,6396,Round 14,1992,NTH,BRL,137,102
Sat 20 Jun,MCG,30922,Round 14,1992,RCH,STK,108,157
Sat 20 Jun,Waverley Park,26346,Round 14,1992,HAW,WCE,60,74
Sat 20 Jun,Princes Park,21405,Round 14,1992,Fitzroy ,CAR,133,114
Sun 21 Jun,MCG,67835,Round 14,1992,COL,WBD,82,76
Sun 21 Jun,AAMI Stadium,43163,Round 14,1992,ADE,ESS,92,136
Sun 21 Jun,SCG,11132,Round 14,1992,SYD,GEE,83,158
Fri 26 Jun,AAMI Stadium,31593,Round 15,1992,ADE,SYD,149,82
Sat 27 Jun,MCG,32849,Round 15,1992,ESS,WCE,62,137
Sat 27 Jun,Moorabbin Oval,22329,Round 15,1992,STK,NTH,117,109
Sat 27 Jun,Waverley Park,24072,Round 15,1992,RCH,CAR,123,120
Sun 28 Jun,Heritage Bank Stadium,7573,Round 15,1992,BRL,HAW,104,108
Sun 28 Jun,GMHBA Stadium,27445,Round 15,1992,GEE,WBD,102,93
Sun 28 Jun,MCG,21097,Round 15,1992,MEL, Fitzroy,109,87
Fri 3 Jul,WACA,23182,Round 16,1992,WCE,MEL,109,87
Sat 4 Jul,GMHBA Stadium,26257,Round 16,1992,GEE,HAW,95,114
Sat 4 Jul,MCG,42461,Round 16,1992,ESS,STK,111,83
Sat 4 Jul,Victoria Park,31168,Round 16,1992,COL,RCH,161,98
Sat 4 Jul,Princes Park,11693,Round 16,1992,CAR,BRL,179,80
Sat 4 Jul,Waverley Park,13235,Round 16,1992,WBD,ADE,143,56
Sun 5 Jul,SCG,7329,Round 16,1992,SYD, Fitzroy,83,136
Sat 11 Jul,Princes Park,11089,Round 17,1992,NTH,RCH,119,118
Sat 11 Jul,GMHBA Stadium,19829,Round 17,1992,GEE,MEL,136,63
Sat 11 Jul,Heritage Bank Stadium,13053,Round 17,1992,BRL,COL,64,103
Sat 11 Jul,Moorabbin Oval,27347,Round 17,1992,STK,WBD,84,97
Sat 11 Jul,Waverley Park,52481,Round 17,1992,HAW,CAR,54,66
Sun 12 Jul,Domain Stadium,28397,Round 17,1992,WCE,SYD,107,54
Sun 12 Jul,Moorabbin Oval,10265,Round 17,1992,Fitzroy ,ESS,77,80
Fri 17 Jul,SCG,15240,Round 18,1992,SYD,COL,96,114
Sat 18 Jul,Waverley Park,17096,Round 18,1992,HAW,NTH,133,96
Sat 18 Jul,MCG,44142,Round 18,1992,ESS,WBD,93,77
Sat 18 Jul,Princes Park,6461,Round 18,1992,Fitzroy ,BRL,73,114
Sun 19 Jul,Waverley Park,24691,Round 18,1992,STK,WCE,95,29
Sun 19 Jul,AAMI Stadium,31963,Round 18,1992,ADE,MEL,67,116
Sun 19 Jul,MCG,26131,Round 18,1992,RCH,GEE,83,165
Fri 24 Jul,MCG,88066,Round 19,1992,COL,ESS,83,61
Sat 25 Jul,MCG,20184,Round 19,1992,MEL,RCH,150,75
Sat 25 Jul,Waverley Park,43132,Round 19,1992,HAW,STK,55,130
Sat 25 Jul,GMHBA Stadium,25585,Round 19,1992,GEE,WCE,77,96
Sat 25 Jul,Western Oval,12742,Round 19,1992,WBD,SYD,103,57
Sat 25 Jul,Princes Park,17079,Round 19,1992,CAR,NTH,108,101
Sat 25 Jul,AAMI Stadium,25597,Round 19,1992,ADE, Fitzroy,132,47
Fri 31 Jul,WACA,23236,Round 20,1992,WCE,BRL,186,55
Sat 1 Aug,Waverley Park,13373,Round 20,1992,WBD,NTH,152,105
Sat 1 Aug,MCG,41070,Round 20,1992,ESS,HAW,56,216
Sat 1 Aug,Victoria Park,25536,Round 20,1992,COL,MEL,100,109
Sat 1 Aug,Moorabbin Oval,27736,Round 20,1992,STK, Fitzroy,102,84
Sun 2 Aug,SCG,13265,Round 20,1992,SYD,CAR,130,139
Sun 2 Aug,MCG,10291,Round 20,1992,RCH,ADE,53,163
Fri 7 Aug,MCG,9739,Round 21,1992,NTH,SYD,111,80
Sat 8 Aug,Princes Park,11871,Round 21,1992,Fitzroy ,GEE,68,120
Sat 8 Aug,MCG,25508,Round 21,1992,MEL,ESS,94,126
Sat 8 Aug,Waverley Park,53369,Round 21,1992,HAW,COL,82,63
Sun 9 Aug,Domain Stadium,23245,Round 21,1992,WCE,RCH,104,84
Sun 9 Aug,Waverley Park,50883,Round 21,1992,STK,CAR,87,122
Sun 9 Aug,Heritage Bank Stadium,4603,Round 21,1992,BRL,ADE,77,110
Fri 14 Aug,WACA,23016,Round 22,1992,WCE, Fitzroy,106,76
Sat 15 Aug,Princes Park,31375,Round 22,1992,CAR,WBD,136,54
Sat 15 Aug,MCG,20423,Round 22,1992,RCH,HAW,86,170
Sat 15 Aug,GMHBA Stadium,17187,Round 22,1992,GEE,BRL,151,58
Sun 16 Aug,AAMI Stadium,38675,Round 22,1992,ADE,STK,93,77
Sun 16 Aug,SCG,8656,Round 22,1992,SYD,MEL,88,139
Sun 16 Aug,MCG,35253,Round 22,1992,NTH,COL,92,98
Sat 22 Aug,Princes Park,9244,Round 23,1992,Fitzroy ,RCH,133,98
Sat 22 Aug,MCG,21044,Round 23,1992,ESS,NTH,139,71
Sat 22 Aug,Waverley Park,77357,Round 23,1992,CAR,COL,86,102
Sat 22 Aug,Heritage Bank Stadium,4349,Round 23,1992,BRL,SYD,129,70
Sun 23 Aug,MCG,30548,Round 23,1992,MEL,STK,43,58
Sun 23 Aug,Western Oval,15695,Round 23,1992,WBD,WCE,53,23
Sun 23 Aug,AAMI Stadium,46543,Round 23,1992,ADE,GEE,169,78
Fri 28 Aug,SCG,7466,Round 24,1992,SYD,RCH,95,125
Sat 29 Aug,Princes Park,8830,Round 24,1992,Fitzroy ,NTH,96,130
Sat 29 Aug,MCG,42549,Round 24,1992,MEL,HAW,130,149
Sat 29 Aug,Waverley Park,42968,Round 24,1992,GEE,ESS,110,64
Sat 29 Aug,Western Oval,15390,Round 24,1992,WBD,BRL,131,74
Sat 29 Aug,Victoria Park,28990,Round 24,1992,COL,ADE,87,82
Sun 30 Aug,Domain Stadium,40441,Round 24,1992,WCE,CAR,120,87
Sat 5 Sep,Waverley Park,74253,EF,1992,STK,COL,91,83
Sun 6 Sep,Domain Stadium,40237,EF,1992,WCE,HAW,100,87
Sun 6 Sep,MCG,68753,QF,1992,GEE,WBD,172,111
Sat 12 Sep,Waverley Park,59512,SF,1992,WBD,STK,119,90
Sun 13 Sep,MCG,71745,SF,1992,WCE,GEE,133,95
Sat 19 Sep,MCG,71841,PF,1992,GEE,WBD,149,85
Sat 26 Sep,MCG,95007,GF,1992,WCE,GEE,113,85
