Date,Venue,Crowd,round,year,Home,Away,Home Score,Away Score
Thu 26 Mar 7:40pm,MCG,86972,Round 1,2009,RCH,CAR,67,150
Fri 27 Mar 7:40pm,MCG,69593,Round 1,2009,HAW,GEE,103,111
Sat 28 Mar 2:10pm,MCG,41591,Round 1,2009,COL,ADE,86,90
Sat 28 Mar 6:10pm,Gabba,26800,Round 1,2009,BRL,WCE,95,86
Sat 28 Mar 7:10pm,Marvel Stadium,32442,Round 1,2009,STK,SYD,80,65
Sun 29 Mar 1:10pm,MCG,28707,Round 1,2009,MEL,NTH,67,101
Sun 29 Mar 2:40pm,AAMI Stadium,28315,Round 1,2009,POR,ESS,107,66
Sun 29 Mar 4:10pm,Domain Stadium,34634,Round 1,2009,FRE,WBD,94,157
Fri 3 Apr 7:40pm,AAMI Stadium,41189,Round 2,2009,ADE,STK,69,101
Sat 4 Apr 2:10pm,GMHBA Stadium,22288,Round 2,2009,GEE,RCH,105,85
Sat 4 Apr 2:10pm,MCG,43176,Round 2,2009,COL,MEL,117,64
Sat 4 Apr 7:10pm,Marvel Stadium,42496,Round 2,2009,CAR,BRL,119,100
Sat 4 Apr 7:10pm,Accor Stadium,33116,Round 2,2009,SYD,HAW,143,105
Sun 5 Apr 1:10pm,Marvel Stadium,27461,Round 2,2009,ESS,FRE,109,71
Sun 5 Apr 2:10pm,MCG,34466,Round 2,2009,WBD,NTH,80,65
Sun 5 Apr 2:40pm,Domain Stadium,37826,Round 2,2009,WCE,POR,125,75
Thu 9 Apr 7:40pm,MCG,58527,Round 3,2009,GEE,COL,122,95
Sat 11 Apr 2:10pm,Marvel Stadium,29066,Round 3,2009,STK,WCE,161,64
Sat 11 Apr 7:10pm,MCG,70411,Round 3,2009,CAR,ESS,112,116
Sat 11 Apr 7:10pm,Gabba,24984,Round 3,2009,BRL,SYD,100,67
Sun 12 Apr 12:40pm,AAMI Stadium,21030,Round 3,2009,POR,MEL,147,90
Sun 12 Apr 2:10pm,Marvel Stadium,34893,Round 3,2009,NTH,HAW,69,123
Sun 12 Apr 2:40pm,Domain Stadium,30035,Round 3,2009,FRE,ADE,80,104
Mon 13 Apr 2:10pm,Marvel Stadium,46261,Round 3,2009,WBD,RCH,110,63
Fri 17 Apr 7:40pm,Gabba,34912,Round 4,2009,BRL,COL,73,90
Sat 18 Apr 2:10pm,SCG,30834,Round 4,2009,SYD,CAR,84,67
Sat 18 Apr 2:10pm,MCG,33274,Round 4,2009,HAW,POR,85,115
Sat 18 Apr 7:10pm,Marvel Stadium,26326,Round 4,2009,STK,FRE,111,28
Sat 18 Apr 7:10pm,AAMI Stadium,40418,Round 4,2009,ADE,GEE,86,134
Sun 19 Apr 1:10pm,Marvel Stadium,33842,Round 4,2009,NTH,ESS,69,57
Sun 19 Apr 2:10pm,MCG,40763,Round 4,2009,RCH,MEL,92,100
Sun 19 Apr 2:40pm,Domain Stadium,37758,Round 4,2009,WCE,WBD,116,83
Fri 24 Apr 7:40pm,AAMI Stadium,25426,Round 5,2009,POR,STK,36,102
Sat 25 Apr 2:10pm,MCG,84829,Round 5,2009,ESS,COL,93,88
Sat 25 Apr 5:10pm,UTAS Stadium,17880,Round 5,2009,HAW,WCE,74,56
Sat 25 Apr 6:40pm,Domain Stadium,32884,Round 5,2009,FRE,SYD,121,100
Sat 25 Apr 7:10pm,Marvel Stadium,29224,Round 5,2009,NTH,RCH,58,94
Sun 26 Apr 1:10pm,GMHBA Stadium,15580,Round 5,2009,GEE,BRL,126,33
Sun 26 Apr 2:10pm,Marvel Stadium,44268,Round 5,2009,WBD,CAR,90,133
Sun 26 Apr 4:40pm,MCG,14129,Round 5,2009,MEL,ADE,34,51
