Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Adcock, Jed",,,,,,,,-,-,,,,,,,,-,-,-,-,-,1,1.0
"Akermanis, Jason",2,2,4,-,-,2,,-,-,-,3,-,-,-,4,,,,,,,,17.0
"Allan, Marcus",,,,,,,,,,,,,,,,,,,-,,,,
"Attard, Jayden",,-,,-,,-,,,,,,,,,,,,,,,,,
"Begley, Colm",,,,,,,,,,,,,,,,,,,,-,-,,
"Black, Simon",-,-,-,1,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,4.0
"Bradshaw, Daniel",2,4,3,2,-,3,2,7,8,2,1,3,6,7,3,4,3,2,2,3,2,5,74.0
"Brennan, Jared",-,-,1,2,,,1,-,1,1,1,-,-,2,-,1,1,,,1,,-,12.0
"Brown, Jonathan",-,5,3,4,4,-,13,5,7,4,,,,,,,,,,,,,45.0
"Charman, Jamie",1,2,2,-,2,2,1,-,-,-,,-,-,2,1,4,1,,,,,,18.0
"Clark, Mitch",1,-,1,,1,1,1,,,,,,,,,,,,,,,,5.0
"Copeland, Robert",,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,-,-,-,,-,
"Corrie, Anthony",1,,,,-,,,2,-,,,,,,,,,,,,,,3.0
"Drummond, Josh",-,,,,,,,,,,,,,,-,-,-,-,,-,-,,
"Fixter, Ben",-,-,-,-,-,1,-,-,-,-,-,-,-,-,,-,-,,-,,-,-,1.0
"Harding, Scott",-,-,-,,,,-,,,-,,-,-,1,-,-,-,-,-,,,2,3.0
"Hooper, Rhan",,-,-,1,,,,,,,-,,,,-,-,1,-,1,-,,-,3.0
"Johnson, Chris",-,-,-,-,2,1,,,,,,,,,,,,,,,2,1,6.0
"Keating, Clark",,,,,,,,,,,,,,,,-,-,-,-,-,-,1,1.0
"Leppitsch, Justin",-,-,-,,,-,,,,,,,,,,,,,,,,,
"Macdonald, Joel",,,,-,-,,-,,,,,,,,,,,,,,,,
"McDonald, Beau",,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,
"McGrath, Ashley",2,-,1,,1,1,1,1,2,-,-,2,,,,,,,,,,,11.0
"Merrett, Daniel",2,,,-,,,,,,,,,,-,1,,,2,-,1,-,-,6.0
"Michael, Mal",-,-,-,-,-,3,-,-,-,-,-,,-,-,-,-,1,-,-,-,-,-,4.0
"Mills, Wayde",,-,-,-,-,,,,,,,,,,,,,,,,,,
"Moody, Matthew",,,,1,-,1,1,-,1,1,1,1,-,1,1,-,1,-,-,-,-,-,10.0
"Notting, Tim",-,1,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,5.0
"Pask, Martin",,,,,,,,,,,-,1,3,-,1,,,,-,,1,-,6.0
"Patfull, Joel",,,,,,,,2,1,-,-,1,1,-,-,-,-,1,1,1,-,-,8.0
"Power, Luke",-,-,1,-,-,-,-,-,-,-,-,1,1,1,-,-,-,1,1,-,-,-,6.0
"Rischitelli, Michael",-,1,-,-,-,-,-,1,-,-,1,1,-,-,-,2,-,-,,,,,6.0
"Roe, Jason",,,,,,-,-,-,-,-,1,-,-,-,,1,-,-,-,-,-,,2.0
"Scott, Brad",-,,,,,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,3.0
"Selwood, Troy",,,,,-,-,1,-,1,-,-,-,-,-,-,-,,-,1,-,-,,3.0
"Sherman, Justin",-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3.0
"Stiller, Cheynee",,,2,1,,,,,,,,-,1,-,-,-,-,-,-,-,1,-,5.0
"Voss, Michael",-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,,-,-,1,5.0
"Wood, Cameron",,,,,,,,,,,-,,-,,,,,-,-,-,-,1,1.0
Totals,11,15,21,12,11,15,23,19,21,10,10,11,14,15,11,13,8,6,7,6,6,12,277.0
Opponent,GE,ES,SK,RI,WC,SY,HW,PA,FR,CW,AD,WB,CA,ME,KA,HW,ES,GE,RI,WC,SY,SK,
