teams,round,Player,disposals,odds,home,away
collingwood v carlton,R20,jordan de goey,To Get 15 or More Disposals,1.07,COL,CAR
collingwood v carlton,R20,steele sidebottom,To Get 15 or More Disposals,1.07,COL,CAR
collingwood v carlton,R20,jack crisp,To Get 15 or More Disposals,1.09,COL,CAR
collingwood v carlton,R20,taylor adams,To Get 15 or More Disposals,1.13,COL,CAR
collingwood v carlton,R20,john noble,To Get 15 or More Disposals,1.19,COL,CAR
collingwood v carlton,R20,darcy moore,To Get 15 or More Disposals,1.21,COL,CAR
collingwood v carlton,R20,isaac quaynor,To Get 15 or More Disposals,1.21,COL,CAR
collingwood v carlton,R20,patrick lipinski,To Get 15 or More Disposals,1.23,COL,CAR
collingwood v carlton,R20,brayden maynard,To Get 15 or More Disposals,1.25,COL,CAR
collingwood v carlton,R20,darcy cameron,To Get 15 or More Disposals,1.47,COL,CAR
collingwood v carlton,R20,jeremy howe,To Get 15 or More Disposals,1.52,COL,CAR
collingwood v carlton,R20,oleg markov,To Get 15 or More Disposals,1.74,COL,CAR
collingwood v carlton,R20,jamie elliott,To Get 15 or More Disposals,4.00,COL,CAR
collingwood v carlton,R20,adam saad,To Get 15 or More Disposals,1.09,COL,CAR
collingwood v carlton,R20,nic newman,To Get 15 or More Disposals,1.09,COL,CAR
collingwood v carlton,R20,mitch mcgovern,To Get 15 or More Disposals,1.48,COL,CAR
collingwood v carlton,R20,brodie kemp,To Get 15 or More Disposals,1.53,COL,CAR
collingwood v carlton,R20,charlie curnow,To Get 15 or More Disposals,1.61,COL,CAR
collingwood v carlton,R20,jacob weitering,To Get 15 or More Disposals,1.65,COL,CAR
collingwood v carlton,R20,matthew cottrell,To Get 15 or More Disposals,1.77,COL,CAR
collingwood v carlton,R20,oliver hollands,To Get 15 or More Disposals,1.80,COL,CAR
collingwood v carlton,R20,tom de koning,To Get 15 or More Disposals,1.95,COL,CAR
collingwood v carlton,R20,david cuningham,To Get 15 or More Disposals,1.99,COL,CAR
collingwood v carlton,R20,lachlan fogarty,To Get 15 or More Disposals,2.05,COL,CAR
collingwood v carlton,R20,alex cincotta,To Get 15 or More Disposals,2.85,COL,CAR
collingwood v carlton,R20,caleb marchbank,To Get 15 or More Disposals,3.80,COL,CAR
collingwood v carlton,R20,jack martin,To Get 15 or More Disposals,3.80,COL,CAR
collingwood v carlton,R20,tom mitchell,To Get 20 or More Disposals,1.13,COL,CAR
collingwood v carlton,R20,josh daicos,To Get 20 or More Disposals,1.15,COL,CAR
collingwood v carlton,R20,scott pendlebury,To Get 20 or More Disposals,1.27,COL,CAR
collingwood v carlton,R20,jordan de goey,To Get 20 or More Disposals,1.30,COL,CAR
collingwood v carlton,R20,steele sidebottom,To Get 20 or More Disposals,1.46,COL,CAR
collingwood v carlton,R20,jack crisp,To Get 20 or More Disposals,1.52,COL,CAR
collingwood v carlton,R20,john noble,To Get 20 or More Disposals,1.75,COL,CAR
collingwood v carlton,R20,taylor adams,To Get 20 or More Disposals,1.84,COL,CAR
collingwood v carlton,R20,isaac quaynor,To Get 20 or More Disposals,2.10,COL,CAR
collingwood v carlton,R20,brayden maynard,To Get 20 or More Disposals,2.20,COL,CAR
collingwood v carlton,R20,darcy moore,To Get 20 or More Disposals,2.25,COL,CAR
collingwood v carlton,R20,patrick lipinski,To Get 20 or More Disposals,2.25,COL,CAR
collingwood v carlton,R20,darcy cameron,To Get 20 or More Disposals,3.30,COL,CAR
collingwood v carlton,R20,jeremy howe,To Get 20 or More Disposals,3.90,COL,CAR
collingwood v carlton,R20,oleg markov,To Get 20 or More Disposals,4.60,COL,CAR
collingwood v carlton,R20,adam cerra,To Get 20 or More Disposals,1.09,COL,CAR
collingwood v carlton,R20,patrick cripps,To Get 20 or More Disposals,1.16,COL,CAR
collingwood v carlton,R20,george hewett,To Get 20 or More Disposals,1.24,COL,CAR
collingwood v carlton,R20,blake acres,To Get 20 or More Disposals,1.42,COL,CAR
collingwood v carlton,R20,adam saad,To Get 20 or More Disposals,1.52,COL,CAR
collingwood v carlton,R20,nic newman,To Get 20 or More Disposals,1.54,COL,CAR
collingwood v carlton,R20,mitch mcgovern,To Get 20 or More Disposals,3.35,COL,CAR
collingwood v carlton,R20,brodie kemp,To Get 20 or More Disposals,3.60,COL,CAR
collingwood v carlton,R20,jacob weitering,To Get 20 or More Disposals,4.60,COL,CAR
collingwood v carlton,R20,charlie curnow,To Get 20 or More Disposals,4.90,COL,CAR
collingwood v carlton,R20,matthew cottrell,To Get 20 or More Disposals,5.40,COL,CAR
collingwood v carlton,R20,tom de koning,To Get 20 or More Disposals,5.70,COL,CAR
collingwood v carlton,R20,oliver hollands,To Get 20 or More Disposals,5.75,COL,CAR
collingwood v carlton,R20,david cuningham,To Get 20 or More Disposals,5.80,COL,CAR
collingwood v carlton,R20,nick daicos,To Get 25 or More Disposals,1.18,COL,CAR
collingwood v carlton,R20,josh daicos,To Get 25 or More Disposals,1.67,COL,CAR
collingwood v carlton,R20,tom mitchell,To Get 25 or More Disposals,1.71,COL,CAR
collingwood v carlton,R20,jordan de goey,To Get 25 or More Disposals,1.91,COL,CAR
collingwood v carlton,R20,scott pendlebury,To Get 25 or More Disposals,2.25,COL,CAR
collingwood v carlton,R20,steele sidebottom,To Get 25 or More Disposals,2.80,COL,CAR
collingwood v carlton,R20,jack crisp,To Get 25 or More Disposals,3.05,COL,CAR
collingwood v carlton,R20,john noble,To Get 25 or More Disposals,3.30,COL,CAR
collingwood v carlton,R20,taylor adams,To Get 25 or More Disposals,4.70,COL,CAR
collingwood v carlton,R20,isaac quaynor,To Get 25 or More Disposals,5.30,COL,CAR
collingwood v carlton,R20,brayden maynard,To Get 25 or More Disposals,6.00,COL,CAR
collingwood v carlton,R20,darcy moore,To Get 25 or More Disposals,7.00,COL,CAR
collingwood v carlton,R20,patrick lipinski,To Get 25 or More Disposals,7.00,COL,CAR
collingwood v carlton,R20,darcy cameron,To Get 25 or More Disposals,11.00,COL,CAR
collingwood v carlton,R20,jeremy howe,To Get 25 or More Disposals,16.00,COL,CAR
collingwood v carlton,R20,oleg markov,To Get 25 or More Disposals,18.00,COL,CAR
collingwood v carlton,R20,sam docherty,To Get 25 or More Disposals,1.40,COL,CAR
collingwood v carlton,R20,adam cerra,To Get 25 or More Disposals,1.45,COL,CAR
collingwood v carlton,R20,patrick cripps,To Get 25 or More Disposals,1.60,COL,CAR
collingwood v carlton,R20,george hewett,To Get 25 or More Disposals,1.95,COL,CAR
collingwood v carlton,R20,blake acres,To Get 25 or More Disposals,2.75,COL,CAR
collingwood v carlton,R20,nic newman,To Get 25 or More Disposals,3.05,COL,CAR
collingwood v carlton,R20,adam saad,To Get 25 or More Disposals,3.15,COL,CAR
collingwood v carlton,R20,mitch mcgovern,To Get 25 or More Disposals,12.50,COL,CAR
collingwood v carlton,R20,nick daicos,To Get 30 or More Disposals,1.66,COL,CAR
collingwood v carlton,R20,tom mitchell,To Get 30 or More Disposals,3.45,COL,CAR
collingwood v carlton,R20,josh daicos,To Get 30 or More Disposals,3.50,COL,CAR
collingwood v carlton,R20,jordan de goey,To Get 30 or More Disposals,3.70,COL,CAR
collingwood v carlton,R20,scott pendlebury,To Get 30 or More Disposals,5.50,COL,CAR
collingwood v carlton,R20,steele sidebottom,To Get 30 or More Disposals,6.50,COL,CAR
