Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Tot
"Adams, Taylor",16,20,20,17,18,,16,22,20,12,15,23,27,226.0
"Cameron, Darcy",11,18,10,,,,,,,9,12,23,17,100.0
"Carmichael, Josh",,,2,,,,,,,,,,,2.0
"Cox, Mason",6,12,,,,,,7,19,9,5,14,8,80.0
"Crisp, Jack",22,22,25,15,22,26,19,20,15,15,21,16,28,266.0
"Daicos, Josh",27,26,28,23,30,30,31,23,26,27,18,21,17,327.0
"Daicos, Nick",35,32,33,38,42,40,27,25,41,27,32,30,27,429.0
"Elliott, Jamie",13,12,17,13,11,11,11,15,13,11,9,,,136.0
"Frampton, Billy",,9,13,8,9,15,8,13,,,,9,10,94.0
"Ginnivan, Jack",,,,,13,12,10,6,7,1,15,9,,73.0
"Harrison, Harvey",,,,,,,,,,,,8,12,20.0
"Hill, Bobby",10,12,9,10,12,7,9,3,11,8,18,6,9,124.0
"Hoskin-Elliott, Will",18,14,5,15,12,10,9,17,11,16,12,4,19,162.0
"Howe, Jeremy",8,,,,,,,,,,,,,8.0
"Johnson, Ash",,,15,12,9,10,4,6,14,4,5,9,3,91.0
"Kelly, Will",,,,,,5,8,,,,,,,13.0
"Kreuger, Nathan",,,,,,5,2,,,,,,,7.0
"Lipinski, Patrick",,,,,,,,,,,,,15,15.0
"Markov, Oleg",,,,9,15,19,14,8,16,12,11,1,6,111.0
"Maynard, Brayden",19,9,21,25,20,19,21,13,15,13,17,10,25,227.0
"McCreery, Beau",20,5,13,12,12,15,14,2,10,9,9,6,10,137.0
"McInnes, Reef",4,1,,2,,,,,4,,,,7,18.0
"McStay, Daniel",6,10,16,10,1,,,,,,,,,43.0
"Mihocek, Brody",9,10,11,13,17,6,7,10,8,10,8,15,8,132.0
"Mitchell, Tom",21,27,30,20,28,23,29,22,36,26,29,30,30,351.0
"Moore, Darcy",13,15,7,13,18,17,23,20,18,25,14,16,13,212.0
"Murphy, Nathan",6,8,10,14,11,,9,10,11,9,8,14,12,122.0
"Noble, John",29,19,16,19,24,22,23,21,24,25,17,17,20,276.0
"Pendlebury, Scott",27,20,24,26,23,21,,31,14,21,23,21,26,277.0
"Quaynor, Isaac",8,15,16,20,15,11,13,22,14,13,19,18,16,200.0
"Ruscoe, Trey",,,,,,11,,,,,,,,11.0
"Sidebottom, Steele",19,24,24,12,25,30,24,21,25,23,4,,,231.0
"Wilson, Tom",,,,,5,,,,,,,,,5.0
"de Goey, Jordan",25,12,35,21,,28,24,17,31,27,35,19,,274.0
Totals,372,352,400,367,392,393,355,354,403,352,356,339,365,4800.0
Opponent,GE,PA,RI,BL,SK,ES,AD,SY,GW,CA,NM,WC,ME,
