Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Baker, Steven",-,1,-,-,-,-,-,,,,-,-,-,-,-,1,,-,2,1,-,1,6.0
"Beetham, Caydn",-,-,-,-,1,-,-,-,-,-,,1,1,-,-,2,1,,1,1,3,-,11.0
"Begley, James",,,,,,-,-,-,1,1,-,1,-,-,1,1,-,1,2,1,,,9.0
"Blake, Jason",-,1,,,,1,-,-,,-,,,,,,,-,-,1,-,-,-,3.0
"Burke, Nathan",-,1,1,1,1,-,1,2,1,-,,,,,,,,,,,,,8.0
"Callaghan, Craig",3,1,-,,,,,,-,1,-,-,1,1,-,3,-,1,3,-,-,-,14.0
"Capuano, Mathew",1,-,-,-,-,,,,1,,,,,-,,,-,1,-,-,,1,4.0
"Cripps, Jason",,,,,,,,,,,,,,,2,1,,,,,,,3.0
"Davis, Chad",,,,,,-,,-,,,,-,-,-,,,,,,,-,1,1.0
"Delaney, Tony",-,,,1,-,1,-,,,-,2,,,,,,-,1,-,-,,,5.0
"Elliott, Tim",,,,,,,,,,-,-,-,-,-,,-,,,,,,,
"Everitt, Peter",2,2,-,-,-,-,1,-,2,2,1,-,2,-,4,1,2,3,2,3,4,,31.0
"Gale, Mark",1,1,1,2,1,,-,-,1,-,1,-,-,-,,,,,,,,,8.0
"Gehrig, Fraser",,-,-,-,2,-,-,2,-,,-,-,1,-,1,1,-,3,-,-,1,1,12.0
"Hall, Barry",1,-,-,-,-,1,3,,,-,1,2,2,1,1,-,2,,,,3,2,19.0
"Hamill, Aaron",-,1,2,1,-,-,2,2,2,-,1,2,1,-,4,2,2,1,1,2,1,-,27.0
"Harvey, Robert",-,2,1,1,,,,-,2,-,2,2,,,,,,,,,,,10.0
"Hayes, Lenny",1,1,-,2,2,2,1,-,2,-,2,1,1,,,,,,,,,,15.0
"Hudghton, Max",-,1,,,1,-,-,,,,-,2,-,-,-,-,2,-,-,-,1,-,7.0
"Jones, Austinn",,1,1,-,-,1,,,-,,,,2,1,1,1,2,-,-,1,-,-,11.0
"Knowles, Brett",,,,,,-,-,-,-,,,-,-,,,-,-,,-,1,-,,1.0
"Koschitzke, Justin",,,-,1,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1,-,-,1,5.0
"Lawrence, Steven",,,-,1,1,,,,,-,,,,,,2,,,,,,,4.0
"Loewe, Stewart",3,3,-,-,1,-,2,-,1,-,,,,,,,,,,,,,10.0
"Milne, Stephen",,,,-,1,-,2,-,-,1,-,1,-,-,,,1,1,-,-,-,1,8.0
"Moyle, Brett",1,1,1,-,2,-,2,-,2,1,-,,,,,,,,-,-,3,-,13.0
"Oliver, Chris",,,,,,,,,,,,,,,1,,,-,-,,,1,2.0
"Peckett, Justin",-,-,1,-,3,,-,-,,,-,2,-,1,-,2,1,-,-,-,1,-,11.0
"Plapp, Justin",-,-,1,,,,,,-,2,1,1,1,,,-,-,1,-,1,1,-,9.0
"Powell, Robert",1,,,,,2,2,2,-,1,1,,,-,1,,,,,,-,,10.0
"Riewoldt, Nick",,,,,,,,,,,,,,,-,-,2,-,,,1,-,3.0
"Ryan, Damien",,,,,,,,,,,-,-,-,-,-,,,,,,,,
"Schwarze, Troy",,,,,,,2,-,-,,,,,,-,,,,,,,,2.0
"Thompson, Andrew",-,-,2,1,-,-,,-,-,-,1,1,2,-,-,1,-,-,2,2,-,-,12.0
"Traianidis, Jason",-,2,-,,,,,,,,,,,,,,,-,2,-,1,,5.0
"Voss, Brett",1,1,1,-,-,-,1,-,-,1,1,1,-,1,-,-,1,-,,,,1,10.0
"Walton, Ben",,,,,,,,1,,,,,,,,,,,,,,,1.0
"Wulf, Daniel",,,,,,,,,,,,,,1,-,1,-,1,-,1,,-,4.0
"Young, Matthew",,,,1,1,,,,,,,,,,-,1,2,-,,-,-,1,6.0
Totals,15,20,12,12,17,8,19,9,16,10,14,17,14,7,16,20,18,14,17,14,20,11,320.0
Opponent,WB,GE,WC,PA,CA,SY,HW,KA,CW,ME,ES,FR,RI,BL,AD,WB,GE,WC,PA,CA,SY,HW,
