Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,Tot
"Amartey, Joel",,9,4,2,4,,,,,,,-,6,3,4,32.0
"Blakey, Nick",6,3,5,3,5,3,4,6,7,4,12,5,3,4,4,74.0
"Buller, Jack",,,,,,,,,,,,,2,,,2.0
"Campbell, Braeden",2,5,3,4,6,6,4,4,3,1,3,4,4,6,7,62.0
"Clarke, Ryan",,,,,,2,2,5,4,2,1,2,,5,-,23.0
"Cunningham, Harry",3,1,3,1,3,5,1,7,7,2,7,2,1,7,1,51.0
"Florent, Oliver",5,6,4,6,3,4,-,11,3,3,2,6,4,-,5,62.0
"Fox, Robbie",,,,2,1,3,,6,3,6,4,3,2,4,3,37.0
"Francis, Aaron",,,,,,5,2,4,8,4,4,6,5,3,2,43.0
"Franklin, Lance",4,,6,1,,,3,6,3,9,1,2,,,,35.0
"Gould, Will",,,,,1,1,,,3,4,,,,,,9.0
"Gulden, Errol",2,7,2,4,3,5,5,13,6,5,6,1,5,7,6,77.0
"Hayward, Will",4,5,-,5,8,1,7,8,3,9,7,2,2,,6,67.0
"Heeney, Isaac",3,6,2,7,5,7,6,5,5,6,1,3,,6,5,67.0
"Hickey, Tom",,,,,,,,,3,,4,2,-,4,2,15.0
"Ladhams, Peter",4,3,6,2,1,5,5,1,,2,,,,,,29.0
"Lloyd, Jake",9,7,5,9,7,6,6,7,8,4,6,7,5,4,3,93.0
"McAndrew, Lachlan",,,,,,,,,,1,1,,,,,2.0
"McCartin, Paddy",6,5,4,-,,,,,,,,,,,,15.0
"McCartin, Tom",5,3,7,1,,,1,3,,,,,,,,20.0
"McDonald, Logan",5,5,8,1,4,1,4,7,1,,,,,7,7,50.0
"McInerney, Justin",7,5,6,4,4,2,,9,3,3,8,6,2,4,3,66.0
"McLean, Hayden",4,2,,,5,2,2,7,3,4,6,6,2,5,4,52.0
"Melican, Lewis",,,,,,,,,,,2,1,3,2,4,12.0
"Mills, Callum",2,6,6,4,8,7,5,9,-,,,,,3,2,52.0
"Papley, Tom",2,9,3,3,3,3,2,1,4,1,5,3,2,8,4,53.0
"Parker, Luke",1,5,5,6,2,4,5,6,5,4,1,,3,3,8,58.0
"Rampe, Dane",7,6,4,3,,,,,,,,6,3,1,6,36.0
"Roberts, Matt",-,-,2,,4,2,,,,,,,,,,8.0
"Rowbottom, James",1,-,1,1,3,-,2,2,3,2,1,1,-,2,-,19.0
"Sheather, Marc",,,,,,,1,-,1,,,,,,,2.0
"Sheldrick, Angus",,,,,,,1,,,-,,3,2,4,6,16.0
"Stephens, Dylan",4,1,4,3,3,1,3,,,3,,,-,,,22.0
"Warner, Chad",3,2,4,1,4,1,3,5,4,6,2,3,4,3,,45.0
"Warner, Corey",,,,,1,,,,,,-,,,,,1.0
"Wicks, Sam",,,,,,,,,,,3,2,-,,,5.0
Totals,89,101,94,73,88,76,74,132,90,85,87,76,60,95,92,1312.0
Opponent,GC,HW,ME,PA,RI,GE,GW,CW,FR,NM,CA,SK,BL,WC,GE,
