Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Adams, Taylor",,,,,-,5,1,2,2,1,2,2,,1,2,,1,1,,7,2,-,29.0
"Aylett, Kurt",,,,,,,,,,,,,,,,3,,,,,,,3.0
"Brogan, Dean",,,-,-,,-,,,,,3,1,-,,1,,,2,,,,1,8.0
"Bruce, Josh",,,,,1,,,,,,,,,,,2,2,,,,,,5.0
"Bugg, Tomas",2,2,3,-,6,5,2,,3,1,2,2,2,1,,5,3,1,1,,-,,41.0
"Buntine, Matt",,,,,,,,-,,,,,,,,,,2,1,-,2,3,8.0
"Cameron, Jeremy",2,-,-,,-,,-,-,-,-,-,1,-,-,-,,1,-,2,,,,6.0
"Clifton, Steve",,,,,,,,,,,,,,,-,1,,,-,-,,-,1.0
"Coniglio, Stephen",3,2,1,,-,4,2,2,-,2,,,,2,4,,,6,,,,,28.0
"Cooyou, Rhys",,,,,,,,,,,,,,,,,,,,,-,,
"Cornes, Chad",5,10,3,-,,,2,1,3,2,7,,5,3,5,,,4,5,3,,-,58.0
"Darley, Sam",,,,,,,,5,2,4,5,4,,,1,,,,4,-,6,,31.0
"Davis, Phil",4,5,2,5,1,2,2,1,4,8,3,5,3,4,2,1,2,6,7,3,1,2,73.0
"Edwards, Shaun",,,,-,-,,,,,,4,3,5,3,5,,2,,1,-,,,23.0
"Folau, Israel",-,-,-,1,-,,-,-,,,,,,,-,1,1,,-,-,,1,4.0
"Frost, Sam",,,,,,,,,,,,,,,,-,-,5,,,,,5.0
"Giles, Jonathan",2,-,-,1,2,2,-,1,2,-,,1,2,1,,-,-,-,1,1,-,-,16.0
"Golds, Tim",,,,,,,,,,,,,,,,,,,1,2,,,3.0
"Greene, Toby",2,4,2,,5,3,-,5,,1,2,6,3,3,4,3,5,1,,2,8,-,59.0
"Hampton, Curtly",2,-,1,-,-,-,,,-,,,,6,3,7,5,4,5,4,4,2,4,47.0
"Haynes, Nick",,,,,,,,,,-,,,,-,-,1,1,,,-,5,2,9.0
"Hombsch, Jack",-,6,3,5,3,3,,,,,,5,,,,,,,3,,,2,30.0
"Hoskin-Elliott, Will",3,1,,,,,,-,,,,,,,,3,-,-,1,1,-,1,10.0
"Kennedy, Adam",5,5,-,4,,1,3,,-,,,,1,3,1,,,-,2,1,1,2,29.0
"McDonald, James",2,,,3,2,1,,,-,-,2,1,1,-,,,,,,-,1,-,13.0
"Miles, Anthony",,,,1,,,,,,,,,,,,3,2,2,2,1,-,,11.0
"Mohr, Tim",6,5,4,5,,1,1,4,2,2,9,3,1,4,,,,,,,,,47.0
"OhAilpin, Setanta",,,,,,-,,,,,,,,,,,,,,,,,
"Palmer, Rhys",3,1,2,1,,1,2,3,,,2,1,5,3,1,1,-,,,,,1,27.0
"Patton, Jonathon",,,,,,,,,,,-,-,-,-,-,,-,-,,,,,
"Phillips, Andrew",,,,,,,-,-,-,-,-,,,2,,,,,1,1,-,,4.0
"Power, Luke",,4,1,1,4,7,2,3,5,1,2,4,1,,-,5,2,2,-,4,4,-,52.0
"Reid, Sam",,,,,1,-,,2,-,-,,,,,,,,,,,,,3.0
"Schulz, Sam",,,,,,,,,,,1,,,,,,,,,,,,1.0
"Scully, Tom",,2,6,3,-,-,-,3,1,1,1,1,-,,-,1,3,1,1,-,,2,26.0
"Shiel, Dylan",1,1,-,2,4,3,1,,-,2,1,2,1,,,,,,,,,,18.0
"Smith, Devon",2,-,1,-,-,1,-,,-,-,-,1,-,1,-,,2,1,3,1,-,-,13.0
"Sumner, Liam",,,,,,-,-,,,,,,,,,,,,,,,,
"Tomlinson, Adam",2,,1,-,-,,,1,,,,,-,3,,,,,1,,2,,10.0
"Townsend, Jacob",2,-,1,-,-,,1,,1,1,,,,,,-,-,-,,,,,6.0
"Treloar, Adam",,,-,5,4,,3,2,5,-,-,2,1,3,-,4,5,3,2,,1,1,41.0
"Tyson, Dom",-,-,,,,2,2,-,2,1,,,,,,,,,,2,1,1,11.0
"Ugle, Gerald",,,,,,,,,,,,,,,,-,,,,,,,
"Ward, Callan",3,-,1,2,6,3,3,2,2,1,1,5,2,1,1,3,1,1,,,1,1,40.0
"Whiley, Mark",,,,,,,,,,,1,1,,,,2,,,,,,,4.0
"Wilson, Nathan",-,2,,,,,,-,,,,-,-,-,-,1,,,,,-,,3.0
Totals,51,50,32,39,39,44,27,37,34,28,48,51,39,41,34,45,37,43,43,33,37,24,856.0
Opponent,SY,NM,WC,AD,WB,CA,GC,BL,ES,GE,RI,ME,SY,HW,AD,FR,CW,PA,GC,ME,SK,NM,
