Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Tot
"Bergman, Miller",9,6,9,,,,,9,7,8,8,8,2,4,70.0
"Bonar, Aiden",5,,,2,,,,,,,,,,,7.0
"Coleman-Jones, Callum",,,,,,,2,,,11,4,8,5,2,32.0
"Comben, Charlie",7,6,4,-,6,4,1,,,,,,,,28.0
"Corr, Aidan",,17,10,7,8,5,12,14,13,,,,7,6,99.0
"Cunnington, Ben",8,9,4,3,9,11,9,1,,,,,,,54.0
"Curtis, Paul",6,4,6,5,,6,2,4,9,3,1,,9,7,62.0
"Davies-Uniacke, Luke",12,16,,10,12,8,,13,11,,,,,,82.0
"Drury, Blake",,,,,,,,8,3,2,,,,,13.0
"Ford, Eddie",,,,,,,,,,8,9,7,8,1,33.0
"Goater, Josh",8,9,6,,,,,,,,,,,,23.0
"Goldstein, Todd",,2,5,7,3,6,6,3,15,6,3,6,3,7,72.0
"Greenwood, Hugh",8,6,5,3,1,,,,4,6,10,2,,4,49.0
"Hall, Aaron",,,,,,16,26,,,15,9,21,16,,103.0
"Howe, Daniel",,6,16,11,14,5,9,,,8,14,,,,83.0
"Larkey, Nick",7,6,2,4,3,3,6,6,7,8,9,9,7,5,82.0
"Lazzaro, Charlie",,,,,,,,-,,,1,,,,1.0
"Logue, Griffin",6,9,12,,6,10,6,5,4,3,10,4,11,9,95.0
"Mahony, Jack",,,,,,,,9,3,,,,,,12.0
"McDonald, Luke",15,12,18,15,8,12,17,11,13,11,13,11,7,12,175.0
"McKay, Ben",,,,,3,7,10,12,7,8,3,11,6,14,81.0
"Perez, Flynn",,,,,,,,11,4,,,,,,15.0
"Phillips, Will",5,,6,5,8,5,,,,2,6,9,7,9,62.0
"Powell, Tom",8,9,12,7,7,7,1,,,7,5,1,8,4,76.0
"Scott, Bailey",10,9,13,11,7,7,11,8,10,23,19,12,14,13,167.0
"Sheezel, Harry",22,22,14,16,16,8,19,17,12,16,10,13,15,19,219.0
"Shiels, Liam",9,10,8,9,9,3,15,13,9,7,,9,7,7,115.0
"Simpkin, Jy",13,17,,13,7,,18,3,8,18,7,1,,9,114.0
"Spicer, Phoenix",,,,,,,,,1,4,1,3,6,3,18.0
"Stephenson, Jaidyn",4,7,6,10,8,8,6,9,7,4,10,10,8,7,104.0
"Taylor, Curtis",12,6,10,14,8,12,11,11,8,,,,,,92.0
"Thomas, Tarryn",,,,,,,,,,,,12,12,14,38.0
"Tucker, Darcy",,,2,12,7,11,8,11,2,,,14,8,,75.0
"Turner, Kayne",4,7,4,4,3,5,3,,,,,,,,30.0
"Wardlaw, George",,,,,,,,,,9,9,8,9,3,38.0
"Xerri, Tristan",-,,,,,,,,,,,,,,
"Ziebell, Jack",22,22,16,21,22,20,18,30,23,19,19,16,22,11,281.0
"Zurhaar, Cameron",8,14,13,14,4,9,12,14,9,,9,10,5,11,132.0
Totals,208,231,201,203,179,188,228,222,189,206,189,205,202,181,2832.0
Opponent,WC,FR,HW,CA,BL,GC,ME,SK,PA,SY,CW,ES,GW,WB,
