Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Baker, Steven",-,-,1,-,-,-,-,,,,-,1,-,-,-,-,,1,-,-,-,-,3.0
"Beetham, Caydn",-,1,1,-,-,-,1,-,-,-,,-,-,2,2,1,1,,1,-,1,-,11.0
"Begley, James",,,,,,1,1,-,1,-,-,-,2,-,-,-,-,-,-,2,,,7.0
"Blake, Jason",1,-,,,,1,-,1,,-,,,,,,,1,1,1,1,-,1,8.0
"Burke, Nathan",-,1,-,-,-,-,-,-,-,1,,,,,,,,,,,,,2.0
"Callaghan, Craig",-,-,1,,,,,,-,-,1,-,-,1,-,-,1,-,1,-,-,-,5.0
"Capuano, Mathew",1,-,1,-,-,,,,-,,,,,-,,,3,-,-,-,,2,7.0
"Cripps, Jason",,,,,,,,,,,,,,,1,-,,,,,,,1.0
"Davis, Chad",,,,,,-,,-,,,,-,-,-,,,,,,,-,1,1.0
"Delaney, Tony",-,,,-,1,-,-,,,-,-,,,,,,-,-,-,-,,,1.0
"Elliott, Tim",,,,,,,,,,-,-,-,-,-,,-,,,,,,,
"Everitt, Peter",4,-,1,-,2,3,1,5,1,-,2,1,1,1,1,1,3,-,3,1,1,,32.0
"Gale, Mark",-,-,-,-,-,,-,-,-,-,-,-,1,-,,,,,,,,,1.0
"Gehrig, Fraser",,1,-,-,1,4,-,2,-,,1,-,1,1,-,-,-,1,2,1,-,1,16.0
"Hall, Barry",-,-,1,-,3,3,2,,,1,2,1,1,5,3,3,-,,,,-,5,30.0
"Hamill, Aaron",2,4,-,1,1,-,-,-,2,4,2,3,1,1,2,1,1,3,1,1,-,1,31.0
"Harvey, Robert",1,-,-,-,,,,-,1,2,1,-,,,,,,,,,,,5.0
"Hayes, Lenny",1,1,-,-,-,-,-,-,1,-,-,-,-,,,,,,,,,,3.0
"Hudghton, Max",1,-,,,1,1,1,,,,-,-,1,-,-,-,-,1,1,-,-,1,8.0
"Jones, Austinn",,-,-,-,1,-,,,-,,,,-,-,-,-,-,-,-,-,-,-,1.0
"Knowles, Brett",,,,,,-,-,-,-,,,-,-,,,-,-,,-,-,-,,
"Koschitzke, Justin",,,-,1,1,1,-,-,1,-,-,1,-,4,2,2,2,-,3,2,-,2,22.0
"Lawrence, Steven",,,1,-,-,,,,,3,,,,,,-,,,,,,,4.0
"Loewe, Stewart",1,5,2,3,-,4,2,4,1,3,,,,,,,,,,,,,25.0
"Milne, Stephen",,,,1,-,-,1,-,-,-,-,-,-,-,,,1,-,1,2,-,-,6.0
"Moyle, Brett",-,-,-,-,-,-,-,1,-,-,1,,,,,,,,-,-,-,-,2.0
"Oliver, Chris",,,,,,,,,,,,,,,1,,,-,-,,,-,1.0
"Peckett, Justin",-,-,-,-,-,,-,-,,,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Plapp, Justin",3,-,-,,,,,,-,1,-,-,2,,,-,1,-,-,-,1,-,8.0
"Powell, Robert",-,,,,,-,-,-,-,1,-,,,-,-,,,,,,-,,1.0
"Riewoldt, Nick",,,,,,,,,,,,,,,-,1,3,1,,,1,1,7.0
"Ryan, Damien",,,,,,,,,,,-,-,1,2,-,,,,,,,,3.0
"Schwarze, Troy",,,,,,,-,-,-,,,,,,-,,,,,,,,
"Thompson, Andrew",-,-,-,-,-,2,,-,1,-,-,-,-,1,-,-,-,-,2,-,-,-,6.0
"Traianidis, Jason",1,-,-,,,,,,,,,,,,,,,-,-,1,-,,2.0
"Voss, Brett",-,-,3,-,-,-,-,-,-,1,-,2,-,-,-,1,-,-,,,,3,10.0
"Walton, Ben",,,,,,,,-,,,,,,,,,,,,,,,
"Wulf, Daniel",,,,,,,,,,,,,,-,2,3,1,2,-,1,,-,9.0
"Young, Matthew",,,,1,-,,,,,,,,,,-,-,-,-,,-,-,-,1.0
Totals,16,13,12,7,11,20,9,13,9,17,10,9,11,18,14,13,18,10,17,12,4,18,281.0
Opponent,WB,GE,WC,PA,CA,SY,HW,KA,CW,ME,ES,FR,RI,BL,AD,WB,GE,WC,PA,CA,SY,HW,
