Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Tot
"Amon, Karl",1,3,5,2,3,4,5,4,1,6,5,7,4,50.0
"Blanck, James",-,-,,,,,,,-,-,-,-,1,1.0
"Bramble, Lachlan",1,3,-,,,,,-,3,6,1,3,2,19.0
"Breust, Luke",2,2,3,2,3,1,1,,1,3,2,2,3,25.0
"Brockman, Tyler",,,2,2,3,1,1,1,,4,2,5,1,22.0
"Butler, Sam",,-,,,,,,,3,1,1,2,2,9.0
"Day, Will",7,4,3,4,,,2,3,4,3,7,1,5,43.0
"Frost, Sam",-,1,-,1,-,2,1,-,-,2,-,-,,7.0
"Grainger-Barras, Denver",,,,,1,-,,,,,,,,1.0
"Greene, Fergus",3,2,2,-,3,1,-,1,,,,,,12.0
"Hardwick, Blake",1,-,1,2,3,-,3,2,1,-,2,1,1,17.0
"Impey, Jarman",2,-,-,1,5,3,3,1,2,-,4,2,3,26.0
"Jiath, Changkuoth",3,1,2,1,2,3,1,,1,,,,,14.0
"Koschitzke, Jacob",1,1,,,,,,,1,-,-,1,1,5.0
"Lewis, Mitch",,,,,,,2,1,1,3,2,3,1,13.0
"Long, Ned",,,,,3,1,,,,,,,,4.0
"Lynch, Max",,,,,,1,,,,,,,,1.0
"Macdonald, Bailey",,,,,,,,,,,,1,,1.0
"Macdonald, Connor",2,1,2,2,1,1,,2,,2,1,2,4,20.0
"Mackenzie, Cam",3,2,4,2,1,4,,,2,4,2,2,5,31.0
"Maginness, Finn",2,1,-,-,,,,,,,,,,3.0
"Meek, Lloyd",-,-,2,2,1,,,1,1,1,-,-,2,10.0
"Mitchell, Seamus",,,,,-,1,2,-,2,4,3,,2,14.0
"Moore, Dylan",2,5,7,1,2,-,3,6,2,6,5,4,4,47.0
"Morrison, Harry",,,7,3,3,3,2,5,2,,,,,25.0
"Nash, Conor",2,1,2,2,2,7,-,2,3,6,4,1,3,35.0
"Newcombe, Jai",3,4,6,2,7,4,1,6,4,5,7,5,9,63.0
"Ramsden, Max",,,,,,,-,,,,,,,
"Reeves, Ned",1,1,-,-,2,-,3,-,,-,1,-,-,8.0
"Scrimshaw, Jack",,,1,-,,-,-,2,,,,-,1,4.0
"Sicily, James",1,1,2,3,3,-,2,-,1,7,3,,-,23.0
"Ward, Josh",2,1,2,2,2,,4,1,,,,,,14.0
"Weddle, Josh",,,,,,,1,1,2,4,2,2,4,16.0
"Wingard, Chad",3,,,1,-,3,2,-,-,,,,,9.0
"Worpel, James",7,8,3,3,3,7,8,4,4,3,4,8,4,66.0
Totals,49,42,56,38,53,47,47,43,41,70,58,52,62,658.0
Opponent,ES,SY,NM,GE,GW,AD,WB,FR,ME,WC,SK,PA,BL,
