Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,Tot
"Aish, James",6,13,17,10,7,2,9,11,4,9,11,14,,,4,7,124.0
"Amiss, Jye",,2,5,4,2,1,2,3,3,4,5,2,1,2,1,2,39.0
"Banfield, Bailey",1,10,,5,7,5,4,6,7,5,6,1,5,,,,62.0
"Brayshaw, Andrew",7,11,14,18,9,8,16,15,13,19,19,15,17,14,17,22,234.0
"Brodie, Will",12,12,,,8,20,14,,,,,,,,,,66.0
"Chapman, Heath",10,8,4,,,,,,,,,,,,,,22.0
"Clark, Jordan",10,7,8,8,8,9,11,3,4,6,5,5,8,6,10,12,120.0
"Corbett, Josh",,,,,,2,,,,,,,,,,,2.0
"Cox, Brennan",8,7,2,4,7,7,16,5,6,7,6,6,1,6,11,4,103.0
"Darcy, Sean",9,2,12,10,10,6,10,7,7,3,5,,,6,9,10,106.0
"Erasmus, Neil",,,,,,,2,8,6,,,,5,3,-,5,29.0
"Frederick, Michael",7,5,9,,5,5,,3,4,4,8,1,,1,1,2,55.0
"Fyfe, Nat",2,,,,,,,5,5,11,16,9,9,12,4,,73.0
"Henry, Liam",12,5,6,4,,,,,,,,4,5,7,14,11,68.0
"Hughes, Ethan",7,6,9,12,5,5,4,7,3,8,6,6,4,5,7,2,96.0
"Jackson, Luke",7,6,7,8,5,3,7,12,8,9,5,12,10,8,4,2,113.0
"Johnson, Matthew",,,5,3,11,3,14,,,4,8,14,5,4,9,5,85.0
"ODriscoll, Nathan",,,6,2,,,7,4,4,4,4,6,3,,,,40.0
"OMeara, Jaeger",13,9,9,12,11,9,13,14,19,15,8,,9,7,10,11,169.0
"Pearce, Alex",8,3,4,5,4,1,4,5,1,4,5,7,4,2,4,2,63.0
"Ryan, Luke",7,8,5,4,3,5,4,6,1,2,1,-,6,6,10,5,73.0
"Schultz, Lachie",5,5,9,4,8,4,9,2,3,8,3,9,6,5,8,11,99.0
"Serong, Caleb",18,13,15,14,18,26,13,5,13,12,13,12,14,12,25,11,234.0
"Sturt, Sam",,,,,-,4,4,,,,4,4,3,-,,,19.0
"Switkowski, Sam",7,10,9,9,1,,6,5,6,7,10,5,9,12,7,11,114.0
"Taberner, Matthew",3,3,6,4,,,,,,,,,,,,,16.0
"Treacy, Josh",1,,,,,,,3,6,2,4,5,4,4,7,2,38.0
"Wagner, Corey",,,,,-,4,,,,,,,,,,,4.0
"Walker, Brandon",,,,5,7,4,6,4,2,4,1,3,3,5,5,1,50.0
"Walters, Michael",,2,1,3,4,7,5,6,7,4,,2,1,3,3,2,50.0
"Wilson, Nathan",7,8,2,-,,,,,,,,,,,,,17.0
"Worner, Karl",,,,,,,,,,,,,,,,4,4.0
"Young, Hayden",12,6,5,7,2,11,14,9,7,7,7,3,5,6,6,6,113.0
Totals,179,161,169,155,142,151,194,148,139,158,160,145,137,136,176,150,2500.0
Opponent,SK,NM,WC,AD,GC,WB,BL,HW,SY,GE,ME,RI,GW,ES,WB,CA,
