Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,Tot
"Aish, James",18,29,31,17,16,11,18,23,12,22,24,26,,,17,19,283.0
"Amiss, Jye",,3,9,8,10,2,7,10,9,9,14,9,5,8,6,6,115.0
"Banfield, Bailey",3,16,,13,16,12,8,14,15,20,14,2,7,,,,140.0
"Brayshaw, Andrew",26,29,28,31,18,23,30,34,31,33,29,29,29,29,29,32,460.0
"Brodie, Will",20,17,,,16,26,24,,,,,,,,,,103.0
"Chapman, Heath",22,17,6,,,,,,,,,,,,,,45.0
"Clark, Jordan",28,18,17,18,15,20,20,15,18,17,14,14,22,17,20,26,299.0
"Corbett, Josh",,,,,,4,,,,,,,,,,,4.0
"Cox, Brennan",30,20,8,14,14,14,23,18,15,14,20,13,19,13,31,11,277.0
"Darcy, Sean",18,6,20,17,18,12,18,11,18,8,6,,,14,18,14,198.0
"Erasmus, Neil",,,,,,,4,16,15,,,,10,12,2,17,76.0
"Frederick, Michael",15,12,17,,12,13,,14,11,13,13,6,,9,8,7,150.0
"Fyfe, Nat",9,,,,,,,10,6,17,20,17,15,19,12,,125.0
"Henry, Liam",21,18,11,13,,,,,,,,10,17,32,33,20,175.0
"Hughes, Ethan",16,16,12,19,10,10,16,17,9,16,17,12,12,14,15,11,222.0
"Jackson, Luke",12,10,12,14,13,9,12,24,17,15,19,23,17,17,8,10,232.0
"Johnson, Matthew",,,6,5,15,10,22,,,9,20,25,11,16,19,9,167.0
"ODriscoll, Nathan",,,12,5,,,14,20,13,20,15,15,14,,,,128.0
"OMeara, Jaeger",19,21,17,19,17,18,18,26,27,26,24,,15,21,21,18,307.0
"Pearce, Alex",20,12,13,11,8,9,10,7,7,12,11,10,5,4,12,6,157.0
"Ryan, Luke",37,30,19,22,17,30,18,27,19,22,22,16,22,31,24,35,391.0
"Schultz, Lachie",15,11,19,12,20,10,16,10,14,20,10,17,17,10,18,18,237.0
"Serong, Caleb",29,31,35,28,37,35,27,24,33,28,26,31,32,32,38,24,490.0
"Sturt, Sam",,,,,6,7,7,,,,5,7,9,3,,,44.0
"Switkowski, Sam",16,15,21,11,1,,11,11,13,14,18,11,15,16,11,13,197.0
"Taberner, Matthew",9,7,11,9,,,,,,,,,,,,,36.0
"Treacy, Josh",3,,,,,,,6,14,4,9,13,6,9,13,5,82.0
"Wagner, Corey",,,,,12,18,,,,,,,,,,,30.0
"Walker, Brandon",,,,12,16,8,14,13,9,9,8,9,15,13,14,3,143.0
"Walters, Michael",,7,8,9,13,13,11,14,12,12,,8,3,6,15,8,139.0
"Wilson, Nathan",21,18,12,10,,,,,,,,,,,,,61.0
"Worner, Karl",,,,,,,,,,,,,,,,7,7.0
"Young, Hayden",30,14,18,17,18,23,33,26,23,22,27,21,20,17,21,25,355.0
Totals,437,377,362,334,338,337,381,390,360,382,385,344,337,362,405,344,5875.0
Opponent,SK,NM,WC,AD,GC,WB,BL,HW,SY,GE,ME,RI,GW,ES,WB,CA,
