Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,Tot
"Aish, James",2,-,7,5,4,2,2,-,1,3,3,3,,,4,1,37.0
"Amiss, Jye",,3,-,1,1,-,2,2,1,2,3,2,2,-,1,1,21.0
"Banfield, Bailey",1,3,,-,-,-,-,3,2,1,2,1,1,,,,14.0
"Brayshaw, Andrew",7,7,2,7,5,11,4,8,5,10,6,3,5,8,7,4,99.0
"Brodie, Will",6,5,,,3,4,1,,,,,,,,,,19.0
"Chapman, Heath",2,3,1,,,,,,,,,,,,,,6.0
"Clark, Jordan",-,2,2,6,3,3,3,1,2,3,5,2,3,2,7,2,46.0
"Corbett, Josh",,,,,,-,,,,,,,,,,,
"Cox, Brennan",-,2,-,2,1,-,3,-,2,1,-,-,-,2,-,1,14.0
"Darcy, Sean",3,5,3,2,4,3,-,2,3,6,2,,,2,2,6,43.0
"Erasmus, Neil",,,,,,,2,8,6,,,,1,2,-,3,22.0
"Frederick, Michael",2,3,2,,1,4,,1,2,2,-,2,,1,-,2,22.0
"Fyfe, Nat",2,,,,,,,1,2,-,2,7,2,4,2,,22.0
"Henry, Liam",-,2,5,2,,,,,,,,3,2,1,3,3,21.0
"Hughes, Ethan",1,2,-,2,4,-,1,-,3,-,3,6,3,-,2,1,28.0
"Jackson, Luke",5,4,7,4,3,1,3,7,3,3,6,4,3,-,1,2,56.0
"Johnson, Matthew",,,2,1,3,1,2,,,1,4,6,-,7,5,3,35.0
"ODriscoll, Nathan",,,1,2,,,3,1,-,2,4,4,2,,,,19.0
"OMeara, Jaeger",6,2,6,4,1,7,8,5,8,6,7,,2,6,4,5,77.0
"Pearce, Alex",2,1,2,-,1,2,5,1,2,2,3,7,2,1,2,4,37.0
"Ryan, Luke",4,2,3,4,3,1,2,-,2,1,1,2,1,1,4,3,34.0
"Schultz, Lachie",2,1,5,6,2,3,1,2,6,8,7,4,2,6,5,7,67.0
"Serong, Caleb",1,5,8,7,6,6,3,5,4,9,5,6,1,1,7,8,82.0
"Sturt, Sam",,,,,3,1,1,,,,1,2,4,1,,,13.0
"Switkowski, Sam",5,3,6,5,-,,5,5,4,4,3,5,1,1,4,3,54.0
"Taberner, Matthew",-,2,-,1,,,,,,,,,,,,,3.0
"Treacy, Josh",1,,,,,,,1,4,2,2,4,3,4,1,3,25.0
"Wagner, Corey",,,,,3,-,,,,,,,,,,,3.0
"Walker, Brandon",,,,-,-,-,1,2,1,1,1,1,4,3,4,1,19.0
"Walters, Michael",,1,2,1,-,5,1,3,3,1,,1,3,2,4,3,30.0
"Wilson, Nathan",-,1,-,1,,,,,,,,,,,,,2.0
"Worner, Karl",,,,,,,,,,,,,,,,1,1.0
"Young, Hayden",1,-,1,4,4,3,4,2,6,2,3,1,3,1,4,8,47.0
Totals,53,59,65,67,55,57,57,60,72,70,73,76,50,56,73,75,1018.0
Opponent,SK,NM,WC,AD,GC,WB,BL,HW,SY,GE,ME,RI,GW,ES,WB,CA,
