Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,Tot
"Ainsworth, Ben",9,9,9,12,5,15,10,,,6,12,8,17,112.0
"Anderson, Noah",8,12,10,19,15,18,18,18,15,11,8,10,17,179.0
"Andrew, Mac",,,,8,6,11,,,6,10,8,,4,53.0
"Atkins, Rory",,,,,,,22,15,14,10,4,8,11,84.0
"Ballard, Charlie",7,3,7,8,6,11,21,10,5,5,5,6,8,102.0
"Berry, Tom",,,,,,,,6,6,2,4,4,1,23.0
"Casboult, Levi",1,4,6,5,,7,,4,,5,2,3,6,43.0
"Chol, Mabior",1,,,,3,6,3,3,3,,,,,19.0
"Collins, Sam",6,10,9,10,5,7,8,8,4,8,5,9,3,92.0
"Constable, Charlie",14,14,,,,,,,,,,,,28.0
"Davies, Alex",7,,,,,,6,5,8,6,8,4,5,49.0
"Day, Sam",,,,,,,,,4,1,,,,5.0
"Ellis, Brandon",,,,,13,16,16,7,9,10,,,,71.0
"Farrar, Jy",10,,6,,,,,,,,1,5,,22.0
"Fiorini, Brayden",4,5,,,10,14,18,17,11,15,5,8,12,119.0
"Flanders, Sam",13,7,6,,,,,11,,,,,,37.0
"Hollands, Elijah",9,8,8,9,,,,,,,,,,34.0
"Holman, Nick",4,10,9,9,6,4,7,,,6,8,6,8,77.0
"Humphrey, Bailey",,,,5,1,6,-,6,10,14,11,5,5,63.0
"Jeffrey, Joel",3,4,8,2,,,,,,,8,8,4,37.0
"King, Ben",3,4,5,1,2,4,4,1,7,3,4,3,3,44.0
"Lemmens, Sean",,,,,4,11,10,5,3,6,,,,39.0
"Long, Ben",6,5,11,5,5,6,8,5,,,4,5,5,65.0
"Lukosius, Jack",5,10,8,5,14,15,9,5,5,3,6,7,7,99.0
"Macpherson, Darcy",15,12,16,16,10,18,22,17,11,11,8,6,14,176.0
"Miller, Touk",18,15,8,16,14,10,,,,,,,,81.0
"Moyle, Ned",,,,1,1,,,,,,,,,2.0
"Oea, Hewago",,,7,5,,,,,8,,,,,20.0
"Powell, Wil",,,8,8,5,9,18,16,11,13,8,8,10,114.0
"Rosas, Malcolm",,4,3,7,3,3,4,7,5,3,6,5,4,54.0
"Rowell, Matt",11,9,8,4,5,6,13,6,17,11,6,2,8,106.0
"Sexton, Alex",,5,2,2,2,,6,,,,,,3,20.0
"Swallow, David",11,6,10,9,13,10,14,10,8,11,8,5,10,125.0
"Tsitas, James",,,,,,,,1,3,,,,,4.0
"Uwland, Bodhi",9,3,,,,,,,,,,-,,12.0
"Weller, Lachie",,17,20,17,10,22,12,,,,,,,98.0
"Witts, Jarrod",10,5,7,,,9,3,5,3,1,8,1,2,54.0
Totals,184,181,191,183,158,238,252,188,176,171,147,126,167,2362.0
Opponent,SY,ES,GE,SK,FR,NM,RI,ME,WC,BL,WB,AD,CA,
