Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,Tot
"Acres, Blake",5,11,5,,4,11,10,8,2,4,5,5,4,6,5,85.0
"Boyd, Jordan",,,,,,,,,,3,2,1,3,2,4,15.0
"Carroll, Jack",,,,-,,,,,,,,,,,,
"Cerra, Adam",6,5,3,1,3,7,8,4,1,4,2,6,2,4,3,59.0
"Cincotta, Alex",,,,,,7,4,6,1,,,1,2,1,1,23.0
"Cottrell, Matthew",,,,,,,,,4,1,5,4,4,7,,25.0
"Cowan, Lachlan",2,3,5,3,2,4,,,,,,,,,,19.0
"Cripps, Patrick",2,4,4,3,-,5,3,2,2,4,-,2,-,4,2,37.0
"Cuningham, David",,,,,,,,,,,,,,2,4,6.0
"Curnow, Charlie",1,9,7,9,7,6,14,6,7,7,11,6,5,6,9,110.0
"Curnow, Ed",6,3,-,3,4,2,5,3,-,4,4,,4,,4,42.0
"De Koning, Tom",2,2,2,6,1,,,,,,4,2,2,6,,27.0
"Docherty, Sam",8,7,10,3,,,6,7,8,5,6,4,8,9,6,87.0
"Dow, Paddy",,,,,,,,,,,,1,1,1,,3.0
"Durdin, Corey",,3,2,1,-,2,1,2,3,-,2,,,,,16.0
"Fisher, Zac",1,3,1,4,2,8,8,,,,,1,,,,28.0
"Fogarty, Lachie",,,,,,,,,,,,,,2,3,5.0
"Hewett, George",5,,2,3,-,3,5,6,2,1,1,,,,1,29.0
"Hollands, Oliver",2,5,3,2,2,5,5,6,4,2,2,,,,,38.0
"Honey, Josh",,,,6,1,4,1,2,,,,,,,,14.0
"Kemp, Brodie",,,,,,,13,3,,,5,10,4,9,9,53.0
"Kennedy, Matthew",5,5,,,5,8,1,4,3,5,5,2,3,3,2,51.0
"Martin, Jack",1,,,,,,,,,,,,4,2,6,13.0
"McGovern, Mitch",7,4,4,6,,6,1,9,1,2,7,8,5,6,5,71.0
"McKay, Harry",10,6,4,14,6,14,7,5,9,6,4,9,4,4,8,110.0
"Motlop, Jesse",4,3,3,4,-,-,,-,1,1,2,3,1,,,22.0
"Newman, Nic",5,6,11,8,6,10,14,6,8,8,2,,,8,3,95.0
"OBrien, Lochie",-,1,4,4,,4,,,,,,4,,,,17.0
"Owies, Matthew",1,2,2,,,,,,5,2,3,1,3,1,4,24.0
"Pittonet, Marc",,3,1,2,-,3,1,3,-,3,1,,,2,,19.0
"Plowman, Lachie",,,,,5,,,,,,,,,,,5.0
"Saad, Adam",3,7,4,6,2,,5,3,4,1,5,3,5,3,8,59.0
"Silvagni, Jack",2,4,9,7,2,5,4,5,5,3,,2,-,,5,53.0
"Walsh, Sam",,,,,4,9,5,3,8,2,6,1,4,1,2,45.0
"Weitering, Jacob",11,8,8,12,9,9,10,4,5,4,10,8,6,6,9,119.0
"Young, Lewis",8,6,3,10,6,8,6,3,3,7,,4,4,,4,72.0
Totals,97,110,97,117,71,140,137,100,86,79,94,88,78,95,107,1496.0
Opponent,RI,GE,GW,NM,AD,SK,WC,BL,WB,CW,SY,ME,ES,GC,HW,
