Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Bowden, Joel",1,1,3,-,3,7,1,8,-,-,8,4,1,2,13,,4,5,3,5,-,3,72.0
"Bowden, Patrick",-,-,-,-,-,-,-,1,1,9,-,-,-,1,4,2,1,3,6,2,2,4,36.0
"Brown, Nathan",1,1,-,,,,,,,,2,2,-,-,-,-,-,,,,,,6.0
"Chaffey, Mark",,,,,,,,,,,,,,,,,-,1,-,-,-,-,1.0
"Coughlan, Mark",-,-,-,1,4,1,1,-,-,1,1,-,,,,,,,,,,,9.0
"Deledio, Brett",4,-,4,4,3,1,8,-,1,,4,9,2,3,1,1,8,-,15,6,3,14,91.0
"Foley, Nathan",2,-,,1,-,-,-,-,1,-,-,-,-,2,3,2,1,4,-,1,-,-,17.0
"Gaspar, Darren",-,-,-,,,,,,,-,,,-,-,-,-,,,,,,,
"Hall, Ray",,,-,2,-,1,,,-,-,-,-,,,,,1,-,3,2,-,,9.0
"Hartigan, Brent",,-,1,2,3,6,3,-,,,,,,,,,,,,,,,15.0
"Howat, Cameron",,,,,,,,,,,,,,,,,,1,1,5,2,-,9.0
"Hughes, Cleve",,,,,-,-,-,,,,,,,,,,,,,,,,
"Humm, Jeremy",,,1,,,,,,,,,,,,,,,,,,,,1.0
"Hyde, Chris",1,3,7,1,-,5,1,2,3,1,3,1,1,1,-,-,3,-,6,2,-,-,41.0
"Jackson, Daniel",,-,-,-,,,-,-,,,,,,,,,,,,,,,
"Johnson, Kane",-,2,-,-,-,,,,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3.0
"Kellaway, Andrew",-,-,-,2,3,-,,-,2,10,1,1,-,1,1,-,,,,,,,21.0
"Knobel, Trent",,,,,,,,-,-,-,,,,,,,,,,,,,
"Krakouer, Andrew",-,-,,,-,-,-,-,-,,-,-,1,3,-,-,,-,1,-,-,,5.0
"McGuane, Luke",,,,,,,-,,,,,,,,,,,,,,,-,
"Meyer, Danny",,,,,,,,1,1,-,-,-,-,,,-,-,,,,,,2.0
"Moore, Kelvin",,,,,,,,,,,,,,,-,-,,,,,,,
"Newman, Chris",2,1,3,-,4,2,1,-,-,1,-,-,-,,,,,,,,,,14.0
"Oakley-Nicholls, Jarrad",,,,,,2,-,,,,,,,-,,,,-,,,,,2.0
"Pattison, Adam",-,,,-,,,,-,-,1,-,2,-,-,-,,,-,-,-,-,-,3.0
"Pettifer, Kayne",-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,6.0
"Polo, Dean",,,,,,1,-,2,1,1,-,-,2,-,-,1,-,-,-,1,-,1,10.0
"Raines, Andrew",4,2,5,1,1,1,-,-,2,2,3,5,1,1,-,1,4,3,1,3,2,8,50.0
"Richardson, Matthew",2,3,-,-,-,-,-,1,-,,,,,-,-,-,-,-,-,-,-,-,6.0
"Roach, Tom",,,-,,,,,,,,,,,,,,,,,,,-,
"Rodan, David",-,,,-,1,,,,,,,,,,,-,2,,,,,,3.0
"Schulz, Jay",-,-,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,
"Simmonds, Troy",-,1,1,2,-,-,-,-,1,-,-,-,-,1,1,-,-,,-,-,2,1,10.0
"Stafford, Greg",,,,-,-,-,-,,,-,-,-,,,,,-,-,-,-,-,-,
"Tambling, Richard",-,,-,2,-,-,-,-,2,-,-,1,-,-,-,-,-,1,1,-,-,2,9.0
"Thursfield, Will",,-,,,,,,,,,,,,,,,,,,,,,
"Tivendale, Greg",-,1,1,1,1,6,-,-,2,1,3,2,-,1,-,-,3,-,4,4,3,1,34.0
"Tuck, Shane",-,3,1,-,-,-,-,1,-,2,-,-,-,-,2,-,-,2,-,-,1,-,12.0
"White, Matt",,,,,,,,,,-,,,-,2,1,-,-,2,1,6,1,4,17.0
Totals,17,19,28,19,23,34,15,16,17,29,25,28,8,18,26,8,27,23,42,38,16,38,514.0
Opponent,WB,SK,WC,BL,CA,ES,SY,AD,GE,FR,KA,HW,CW,PA,ME,SY,SK,WB,BL,CA,ES,WC,
