Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Abraham, Winston",-,,,,,,,,,,,,,,,,,,,,,,
"Archer, Glenn",5,6,5,2,3,1,6,5,6,2,3,4,5,,,3,5,7,3,2,2,5,80.0
"Blakey, John",3,8,5,5,2,16,15,14,18,7,8,5,6,3,11,5,11,14,10,2,10,11,189.0
"Burton, Matthew",8,2,1,4,3,,1,4,2,8,5,7,6,-,6,3,10,2,3,2,1,6,84.0
"Carey, Wayne",,,1,4,2,,3,,,1,,2,2,3,5,,3,1,4,4,2,,37.0
"Clayton, Shane",3,3,4,1,,7,-,5,2,1,11,5,4,3,2,,9,2,3,1,3,13,82.0
"Cochrane, Stuart",1,4,1,2,4,6,12,11,8,7,9,7,1,6,6,1,4,7,2,3,,3,105.0
"Colbert, Leigh",4,4,7,4,3,8,7,13,5,3,3,5,4,10,3,2,,,,,,,85.0
"Grant, Shannon",10,5,5,7,6,,4,19,7,8,6,11,6,11,12,8,8,10,4,8,9,,164.0
"Harding, Leigh",,,,,,,,,,,,,,,,,1,-,,,,,1.0
"Harris, Daniel",4,6,1,1,-,2,,,,,,,,,,4,-,,,,,,18.0
"Harvey, Brent",,,5,4,3,1,6,12,4,5,11,5,11,15,12,8,10,11,15,11,12,11,172.0
"Hilton, Mark",,,,,,,,,,,,,,,,,,,,,,1,1.0
"Jones, Corey",,,,-,4,3,3,,1,1,3,-,,,1,3,,,,1,1,,21.0
"King, David",,6,6,5,7,1,4,7,5,3,3,5,8,5,9,5,,,7,6,1,6,99.0
"Lange, Adam",,,,,,,,,-,,,,,,,,,,,,,,
"Makepeace, Troy",4,5,5,1,-,1,3,,,,,,4,5,3,2,5,5,5,4,1,5,58.0
"Martyn, Mick",,,,2,2,-,4,6,5,2,3,,,,2,,,5,2,,,,33.0
"McCartney, Jason",2,5,1,5,3,5,4,3,3,4,3,-,5,4,4,2,2,5,7,2,3,2,74.0
"McKernan, Corey",-,3,5,1,1,-,,2,3,1,2,-,4,2,1,3,1,5,3,6,6,3,52.0
"McLaren, Joe",,,,,,5,1,7,4,3,-,1,,,,,,5,1,-,1,6,34.0
"Morrell, Digby",,,,,,1,-,,,,,1,3,-,,1,-,,,,,,6.0
"Motlop, Daniel",,,,,,,,,,,,,,,,,,,,,1,2,3.0
"Motlop, Shannon",4,-,,,,,2,5,,,4,6,-,-,6,3,5,7,5,5,-,3,55.0
"Olarenshaw, Ricky",,,,,2,,,,,,,,,,,,,,,,,,2.0
"Petrie, Drew",-,-,,,,3,3,-,,,2,,,,,,,,,-,1,-,9.0
"Pickett, Byron",5,3,3,4,3,5,7,4,8,6,6,5,4,-,2,5,4,3,2,2,3,4,88.0
"Rawlings, Brady",4,3,-,-,,,,2,4,-,5,12,7,5,3,3,4,2,2,8,1,2,67.0
"Rocca, Saverio",1,2,-,,1,2,-,5,2,3,2,3,4,3,5,7,7,4,2,6,1,5,65.0
"Simpson, Adam",4,5,8,4,3,6,4,7,5,2,5,4,14,11,,6,11,10,13,10,3,11,146.0
"Sinclair, Jess",7,4,1,1,3,5,,5,2,-,,,,3,2,4,2,4,6,7,7,8,71.0
"Smith, Dylan",4,5,1,,,2,,,,,,,,,,,,,,,,,12.0
"Smith, Lindsay",,,,,,,,1,,,,,,,,,,,,,,,1.0
"Spaull, John",,,,,,,,,,,,,,,,,,-,-,,,3,3.0
"Stevens, Anthony",6,4,5,7,3,10,15,7,4,9,6,6,8,12,2,,,,,,,,104.0
"Teague, David",,,,,,,,,,,,,2,3,1,1,2,3,-,2,1,1,16.0
"Watt, Shannon",-,2,2,1,-,,,,2,4,4,1,-,5,8,3,1,,,,,,33.0
Totals,79,85,72,65,58,90,104,144,100,80,104,95,108,109,106,82,105,112,99,92,70,111,2070.0
Opponent,ES,BL,SY,GE,AD,RI,CW,SK,CA,WB,FR,HW,PA,ME,WC,ES,BL,SY,GE,AD,RI,CW,
