Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Apeness, Michael",2014,R1,fremantle,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Ballantyne, Hayden",2014,R1,fremantle,CW,10.0,8.0,2.0,3.0,1.0,4.0,0.0,0.0,7.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,82,-,3.0,3.0,1.0,0.0
"Barlow, Michael",2014,R1,fremantle,CW,29.0,12.0,17.0,1.0,0.0,7.0,4.0,9.0,13.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,4.0,85,-,1.0,0.0,0.0,2.0
"Clarke, Zac",2014,R1,fremantle,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Crowley, Ryan",2014,R1,fremantle,CW,16.0,8.0,8.0,2.0,0.0,2.0,0.0,3.0,6.0,9.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,87,-,2.0,0.0,0.0,0.0
"Crozier, Hayden",2014,R1,fremantle,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Dawson, Zac",2014,R1,fremantle,CW,12.0,4.0,8.0,0.0,0.0,4.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,89,-,2.0,6.0,0.0,0.0
"Duffield, Paul",2014,R1,fremantle,CW,14.0,9.0,5.0,0.0,0.0,5.0,0.0,3.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,95,-,2.0,2.0,0.0,0.0
"Duffy, Max",2014,R1,fremantle,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Fyfe, Nat",2014,R1,fremantle,CW,20.0,8.0,12.0,1.0,1.0,1.0,9.0,2.0,15.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,64,Off,1.0,2.0,0.0,0.0
"Griffin, Jonathon",2014,R1,fremantle,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Hannath, Jack",2014,R1,fremantle,CW,3.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,86,-,0.0,6.0,0.0,0.0
"Hill, Stephen",2014,R1,fremantle,CW,25.0,16.0,9.0,1.0,1.0,2.0,2.0,0.0,5.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,80,-,2.0,4.0,1.0,0.0
"Ibbotson, Garrick",2014,R1,fremantle,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, Michael",2014,R1,fremantle,CW,23.0,18.0,5.0,0.0,0.0,5.0,1.0,2.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,98,-,3.0,10.0,0.0,0.0
"Mayne, Chris",2014,R1,fremantle,CW,8.0,4.0,4.0,0.0,2.0,2.0,1.0,7.0,6.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,78,-,2.0,3.0,1.0,0.0
"McPharlin, Luke",2014,R1,fremantle,CW,11.0,8.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,99,-,1.0,7.0,0.0,0.0
"Morabito, Anthony",2014,R1,fremantle,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Mundy, David",2014,R1,fremantle,CW,22.0,15.0,7.0,2.0,0.0,5.0,2.0,3.0,6.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,86,-,1.0,2.0,1.0,0.0
"Mzungu, Tendai",2014,R1,fremantle,CW,27.0,20.0,7.0,1.0,0.0,4.0,1.0,3.0,10.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,3.0,85,-,0.0,0.0,0.0,1.0
"Neale, Lachie",2014,R1,fremantle,CW,5.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20,On,1.0,0.0,0.0,0.0
"Pavlich, Matthew",2014,R1,fremantle,CW,15.0,10.0,5.0,1.0,4.0,7.0,1.0,3.0,7.0,8.0,0.0,2.0,4.0,0.0,1.0,0.0,2.0,1.0,86,-,2.0,3.0,0.0,0.0
"Pearce, Clancee",2014,R1,fremantle,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Pearce, Danyle",2014,R1,fremantle,CW,26.0,19.0,7.0,2.0,1.0,3.0,2.0,2.0,6.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,4.0,77,-,3.0,2.0,0.0,0.0
"Sandilands, Aaron",2014,R1,fremantle,CW,19.0,3.0,16.0,0.0,0.0,7.0,2.0,3.0,13.0,6.0,39.0,4.0,1.0,1.0,0.0,1.0,2.0,0.0,79,-,1.0,3.0,0.0,3.0
"Sheridan, Tom",2014,R1,fremantle,CW,8.0,5.0,3.0,1.0,0.0,0.0,1.0,5.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,76,-,1.0,0.0,0.0,0.0
"Silvagni, Alex",2014,R1,fremantle,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Simpson, Josh",2014,R1,fremantle,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Spurr, Lee",2014,R1,fremantle,CW,18.0,10.0,8.0,0.0,0.0,6.0,0.0,2.0,7.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,96,-,6.0,5.0,0.0,0.0
"Suban, Nick",2014,R1,fremantle,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Sutcliffe, Cam",2014,R1,fremantle,CW,16.0,11.0,5.0,0.0,0.0,6.0,0.0,3.0,3.0,13.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,2.0,90,-,0.0,3.0,0.0,0.0
"Sylvia, Colin",2014,R1,fremantle,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Taberner, Matthew",2014,R1,fremantle,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Walters, Michael",2014,R1,fremantle,CW,16.0,9.0,7.0,2.0,2.0,2.0,3.0,5.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,79,-,3.0,2.0,0.0,0.0
"de Boer, Matt",2014,R1,fremantle,CW,21.0,9.0,12.0,0.0,0.0,2.0,4.0,10.0,8.0,13.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,85,-,2.0,2.0,0.0,0.0
"Apeness, Michael",2014,R2,fremantle,GC,,,,,,,,,,,,,,,,,,,,,,,,
"Ballantyne, Hayden",2014,R2,fremantle,GC,13.0,8.0,5.0,0.0,1.0,3.0,0.0,3.0,7.0,7.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,80,-,3.0,0.0,0.0,0.0
"Barlow, Michael",2014,R2,fremantle,GC,32.0,19.0,13.0,2.0,1.0,7.0,1.0,4.0,10.0,23.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,86,-,5.0,0.0,0.0,3.0
"Clarke, Zac",2014,R2,fremantle,GC,,,,,,,,,,,,,,,,,,,,,,,,
"Crowley, Ryan",2014,R2,fremantle,GC,10.0,6.0,4.0,1.0,0.0,0.0,1.0,4.0,6.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,0.0,96,-,5.0,1.0,0.0,0.0
"Crozier, Hayden",2014,R2,fremantle,GC,,,,,,,,,,,,,,,,,,,,,,,,
"Dawson, Zac",2014,R2,fremantle,GC,11.0,3.0,8.0,0.0,0.0,1.0,0.0,1.0,3.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,95,-,2.0,9.0,0.0,0.0
"Duffield, Paul",2014,R2,fremantle,GC,23.0,16.0,7.0,1.0,1.0,7.0,1.0,4.0,7.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,92,-,2.0,3.0,0.0,0.0
"Duffy, Max",2014,R2,fremantle,GC,,,,,,,,,,,,,,,,,,,,,,,,
"Fyfe, Nat",2014,R2,fremantle,GC,29.0,12.0,17.0,0.0,1.0,4.0,7.0,4.0,19.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,78,-,3.0,1.0,0.0,1.0
"Griffin, Jonathon",2014,R2,fremantle,GC,,,,,,,,,,,,,,,,,,,,,,,,
"Hannath, Jack",2014,R2,fremantle,GC,5.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53,Off,1.0,1.0,0.0,0.0
"Hill, Stephen",2014,R2,fremantle,GC,23.0,13.0,10.0,1.0,0.0,2.0,4.0,4.0,14.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,1.0,80,-,3.0,4.0,0.0,0.0
"Ibbotson, Garrick",2014,R2,fremantle,GC,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, Michael",2014,R2,fremantle,GC,20.0,15.0,5.0,1.0,0.0,6.0,0.0,2.0,4.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,94,-,3.0,7.0,0.0,0.0
"Mayne, Chris",2014,R2,fremantle,GC,12.0,4.0,8.0,0.0,0.0,1.0,0.0,5.0,8.0,6.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,79,-,2.0,2.0,0.0,0.0
"McPharlin, Luke",2014,R2,fremantle,GC,12.0,8.0,4.0,0.0,0.0,3.0,0.0,2.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,94,-,1.0,6.0,0.0,0.0
"Morabito, Anthony",2014,R2,fremantle,GC,,,,,,,,,,,,,,,,,,,,,,,,
"Mundy, David",2014,R2,fremantle,GC,33.0,24.0,9.0,0.0,0.0,5.0,8.0,4.0,19.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,83,-,2.0,3.0,0.0,2.0
"Mzungu, Tendai",2014,R2,fremantle,GC,18.0,14.0,4.0,2.0,0.0,2.0,4.0,3.0,10.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,82,-,1.0,5.0,0.0,0.0
"Neale, Lachie",2014,R2,fremantle,GC,,,,,,,,,,,,,,,,,,,,,,,,
"Pavlich, Matthew",2014,R2,fremantle,GC,12.0,7.0,5.0,0.0,1.0,3.0,0.0,2.0,7.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,87,-,4.0,0.0,0.0,0.0
"Pearce, Clancee",2014,R2,fremantle,GC,,,,,,,,,,,,,,,,,,,,,,,,
"Pearce, Danyle",2014,R2,fremantle,GC,16.0,10.0,6.0,1.0,0.0,1.0,3.0,1.0,7.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,77,-,3.0,0.0,1.0,0.0
"Sandilands, Aaron",2014,R2,fremantle,GC,11.0,3.0,8.0,0.0,0.0,1.0,5.0,6.0,10.0,1.0,58.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,85,-,3.0,6.0,0.0,0.0
"Sheridan, Tom",2014,R2,fremantle,GC,9.0,5.0,4.0,1.0,1.0,1.0,0.0,2.0,5.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,28,On,0.0,1.0,0.0,0.0
"Silvagni, Alex",2014,R2,fremantle,GC,,,,,,,,,,,,,,,,,,,,,,,,
"Simpson, Josh",2014,R2,fremantle,GC,,,,,,,,,,,,,,,,,,,,,,,,
"Spurr, Lee",2014,R2,fremantle,GC,20.0,14.0,6.0,0.0,0.0,6.0,1.0,1.0,9.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,98,-,4.0,4.0,0.0,0.0
"Suban, Nick",2014,R2,fremantle,GC,9.0,4.0,5.0,0.0,2.0,1.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,76,-,1.0,3.0,0.0,0.0
"Sutcliffe, Cam",2014,R2,fremantle,GC,9.0,7.0,2.0,0.0,0.0,2.0,0.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,93,-,4.0,2.0,1.0,0.0
"Sylvia, Colin",2014,R2,fremantle,GC,,,,,,,,,,,,,,,,,,,,,,,,
"Taberner, Matthew",2014,R2,fremantle,GC,,,,,,,,,,,,,,,,,,,,,,,,
"Walters, Michael",2014,R2,fremantle,GC,13.0,11.0,2.0,2.0,5.0,4.0,1.0,5.0,8.0,4.0,0.0,2.0,3.0,0.0,3.0,1.0,1.0,0.0,78,-,2.0,0.0,0.0,0.0
"de Boer, Matt",2014,R2,fremantle,GC,17.0,9.0,8.0,0.0,0.0,2.0,4.0,9.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,86,-,6.0,1.0,0.0,0.0
"Apeness, Michael",2014,R3,fremantle,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Ballantyne, Hayden",2014,R3,fremantle,HW,12.0,11.0,1.0,1.0,0.0,4.0,0.0,1.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,85,-,1.0,1.0,0.0,0.0
"Barlow, Michael",2014,R3,fremantle,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Clarke, Zac",2014,R3,fremantle,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Crowley, Ryan",2014,R3,fremantle,HW,17.0,13.0,4.0,1.0,2.0,4.0,1.0,0.0,4.0,12.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,90,-,4.0,1.0,0.0,0.0
"Crozier, Hayden",2014,R3,fremantle,HW,13.0,8.0,5.0,0.0,1.0,3.0,0.0,3.0,4.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,77,-,1.0,1.0,0.0,0.0
"Dawson, Zac",2014,R3,fremantle,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Duffield, Paul",2014,R3,fremantle,HW,11.0,7.0,4.0,2.0,0.0,3.0,0.0,1.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,99,-,1.0,2.0,0.0,0.0
"Duffy, Max",2014,R3,fremantle,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Fyfe, Nat",2014,R3,fremantle,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Griffin, Jonathon",2014,R3,fremantle,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Hannath, Jack",2014,R3,fremantle,HW,10.0,9.0,1.0,0.0,1.0,4.0,0.0,2.0,3.0,6.0,13.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,80,-,5.0,1.0,0.0,0.0
"Hill, Stephen",2014,R3,fremantle,HW,24.0,17.0,7.0,0.0,0.0,3.0,6.0,3.0,12.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,2.0,85,-,3.0,2.0,0.0,0.0
"Ibbotson, Garrick",2014,R3,fremantle,HW,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22,Off,0.0,2.0,0.0,0.0
"Johnson, Michael",2014,R3,fremantle,HW,20.0,12.0,8.0,0.0,0.0,5.0,1.0,1.0,6.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,97,-,1.0,2.0,1.0,0.0
"Mayne, Chris",2014,R3,fremantle,HW,9.0,3.0,6.0,1.0,0.0,4.0,0.0,1.0,2.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,73,-,0.0,1.0,0.0,0.0
"McPharlin, Luke",2014,R3,fremantle,HW,14.0,11.0,3.0,0.0,0.0,8.0,1.0,1.0,5.0,8.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,100,-,2.0,7.0,0.0,0.0
"Morabito, Anthony",2014,R3,fremantle,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Mundy, David",2014,R3,fremantle,HW,20.0,13.0,7.0,0.0,1.0,1.0,9.0,6.0,13.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,84,-,0.0,1.0,0.0,0.0
"Mzungu, Tendai",2014,R3,fremantle,HW,13.0,8.0,5.0,0.0,1.0,1.0,3.0,3.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,89,-,3.0,2.0,0.0,0.0
"Neale, Lachie",2014,R3,fremantle,HW,19.0,8.0,11.0,0.0,1.0,2.0,1.0,2.0,6.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,77,-,1.0,1.0,0.0,0.0
"Pavlich, Matthew",2014,R3,fremantle,HW,16.0,10.0,6.0,4.0,1.0,5.0,0.0,1.0,10.0,6.0,0.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,88,-,1.0,0.0,0.0,0.0
"Pearce, Clancee",2014,R3,fremantle,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Pearce, Danyle",2014,R3,fremantle,HW,31.0,18.0,13.0,1.0,1.0,5.0,4.0,4.0,9.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,87,-,4.0,2.0,0.0,0.0
"Sandilands, Aaron",2014,R3,fremantle,HW,11.0,4.0,7.0,1.0,0.0,5.0,1.0,2.0,7.0,4.0,33.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,77,-,2.0,4.0,0.0,0.0
"Sheridan, Tom",2014,R3,fremantle,HW,9.0,3.0,6.0,0.0,0.0,2.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,On,0.0,0.0,1.0,0.0
"Silvagni, Alex",2014,R3,fremantle,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Simpson, Josh",2014,R3,fremantle,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Spurr, Lee",2014,R3,fremantle,HW,8.0,5.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,99,-,3.0,3.0,0.0,0.0
"Suban, Nick",2014,R3,fremantle,HW,10.0,5.0,5.0,0.0,0.0,1.0,1.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,81,-,1.0,2.0,0.0,0.0
"Sutcliffe, Cam",2014,R3,fremantle,HW,13.0,7.0,6.0,0.0,0.0,1.0,0.0,3.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,98,-,3.0,2.0,0.0,0.0
"Sylvia, Colin",2014,R3,fremantle,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Taberner, Matthew",2014,R3,fremantle,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Walters, Michael",2014,R3,fremantle,HW,9.0,6.0,3.0,0.0,0.0,1.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,65,-,1.0,0.0,0.0,0.0
"de Boer, Matt",2014,R3,fremantle,HW,19.0,7.0,12.0,0.0,0.0,1.0,7.0,9.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,77,-,2.0,2.0,0.0,0.0
