Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Acres, Blake",2023,R1,carlton,RI,16.0,10.0,6.0,0.0,0.0,5.0,0.0,2.0,5.0,13.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,84,-,5.0,3.0,0.0,
"Boyd, Jordan",2023,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Carroll, Jack",2023,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Cerra, Adam",2023,R1,carlton,RI,21.0,14.0,7.0,0.0,0.0,6.0,2.0,3.0,10.0,13.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,73,-,3.0,3.0,0.0,
"Cincotta, Alex",2023,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Cottrell, Matthew",2023,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Cowan, Lachlan",2023,R1,carlton,RI,8.0,6.0,2.0,0.0,0.0,2.0,0.0,2.0,6.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,53,Off,2.0,2.0,0.0,
"Cripps, Patrick",2023,R1,carlton,RI,25.0,9.0,16.0,0.0,1.0,2.0,7.0,6.0,15.0,11.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,83,-,3.0,2.0,0.0,
"Cuningham, David",2023,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Curnow, Charlie",2023,R1,carlton,RI,10.0,8.0,2.0,3.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,95,-,4.0,1.0,0.0,
"Curnow, Ed",2023,R1,carlton,RI,14.0,12.0,2.0,0.0,0.0,6.0,1.0,4.0,2.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,86,-,3.0,0.0,0.0,
"De Koning, Tom",2023,R1,carlton,RI,13.0,7.0,6.0,0.0,1.0,2.0,3.0,3.0,10.0,3.0,24.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,79,-,3.0,3.0,0.0,
"Docherty, Sam",2023,R1,carlton,RI,25.0,23.0,2.0,1.0,0.0,8.0,1.0,2.0,2.0,18.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,6.0,84,-,3.0,0.0,0.0,
"Dow, Paddy",2023,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Durdin, Corey",2023,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Fisher, Zac",2023,R1,carlton,RI,7.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,-,0.0,2.0,0.0,
"Fogarty, Lachie",2023,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
