Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,Tot
"Aish, James",2,2,8,2,1,-,1,2,2,3,-,-,,23.0
"Amiss, Jye",,2,1,2,1,-,3,1,2,1,2,1,1,17.0
"Banfield, Bailey",-,3,,-,2,-,3,-,2,5,2,-,2,19.0
"Brayshaw, Andrew",6,2,5,3,4,4,7,2,4,3,1,3,3,47.0
"Brodie, Will",3,5,,,2,3,6,,,,,,,19.0
"Chapman, Heath",3,1,-,,,,,,,,,,,4.0
"Clark, Jordan",4,3,1,3,2,2,1,2,1,1,4,3,3,30.0
"Corbett, Josh",,,,,,-,,,,,,,,
"Cox, Brennan",1,2,3,2,1,3,3,1,1,-,1,3,3,24.0
"Darcy, Sean",6,6,6,2,1,3,-,3,3,4,-,,,34.0
"Erasmus, Neil",,,,,,,2,3,4,,,,2,11.0
"Frederick, Michael",3,3,3,,2,4,,3,4,-,4,2,,28.0
"Fyfe, Nat",6,,,,,,,2,2,4,2,2,6,24.0
"Henry, Liam",3,2,6,2,,,,,,,,2,1,16.0
"Hughes, Ethan",-,2,-,2,2,1,1,1,-,3,3,2,1,18.0
"Jackson, Luke",3,4,1,1,2,1,3,5,2,1,4,2,1,30.0
"Johnson, Matthew",,,-,-,2,2,6,,,1,3,2,2,18.0
"ODriscoll, Nathan",,,1,-,,,2,1,4,3,3,3,6,23.0
"OMeara, Jaeger",1,2,3,1,2,2,1,3,4,4,5,,1,29.0
"Pearce, Alex",3,3,1,5,-,6,2,2,-,-,1,2,-,25.0
"Ryan, Luke",2,3,1,1,3,1,1,1,1,1,1,2,1,19.0
"Schultz, Lachie",2,1,3,2,3,3,7,-,5,2,2,3,-,33.0
"Serong, Caleb",3,4,4,5,1,2,3,1,2,2,5,6,7,45.0
"Sturt, Sam",,,,,-,-,1,,,,2,-,2,5.0
"Switkowski, Sam",1,-,1,-,-,,4,-,3,1,2,1,2,15.0
"Taberner, Matthew",1,3,3,3,,,,,,,,,,10.0
"Treacy, Josh",4,,,,,,,-,3,1,2,1,1,12.0
"Wagner, Corey",,,,,6,2,,,,,,,,8.0
"Walker, Brandon",,,,5,2,1,3,1,3,2,6,1,1,25.0
"Walters, Michael",,-,2,7,-,1,3,3,6,2,,1,3,28.0
"Wilson, Nathan",1,1,1,1,,,,,,,,,,4.0
"Young, Hayden",1,3,-,1,2,2,1,2,1,1,3,5,5,27.0
Totals,59,57,54,50,41,43,64,39,59,45,58,47,54,670.0
Opponent,SK,NM,WC,AD,GC,WB,BL,HW,SY,GE,ME,RI,GW,
