Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,Tot
"Baldwin, Kaine",,,,,,,,,5,4,,,,,,,9.0
"Bryan, Nick",,,,,,,,,,,3,,,4,,,7.0
"Caldwell, Jye",5,9,11,3,6,12,7,5,6,9,11,8,8,5,10,11,126.0
"DAmbrosio, Massimo",,2,6,,,,6,,2,1,5,-,-,,,,22.0
"Davey, Alwyn",4,5,7,4,,5,,4,2,1,,,,,,,32.0
"Draper, Sam",9,7,6,13,5,9,8,8,8,5,11,7,3,,,,99.0
"Durham, Sam",10,10,2,9,9,2,4,,1,7,8,6,7,5,6,10,96.0
"Guelfi, Matt",,4,,,,,,,,,3,6,6,7,5,11,42.0
"Heppell, Dyson",7,3,6,4,5,6,,6,3,2,6,3,6,9,6,8,80.0
"Hind, Nick",,,3,,2,,5,1,3,-,6,4,1,,,,25.0
"Hobbs, Ben",,,,,,2,3,6,6,8,6,7,7,7,13,11,76.0
"Jones, Harry",5,4,7,4,1,,,,,,,,,,,,21.0
"Kelly, Jake",4,4,11,6,1,4,2,3,,,,,,5,5,5,50.0
"Langford, Kyle",4,3,5,4,8,4,6,4,3,10,4,6,5,3,5,4,78.0
"Laverde, Jayden",2,5,2,2,7,3,,,,,3,3,3,1,6,8,45.0
"Martin, Nic",4,5,7,9,8,2,14,6,5,8,6,10,12,7,8,9,120.0
"McDonald-Tipungwuti, Anthony",1,,,,,,-,6,3,4,2,,,,,,16.0
"McGrath, Andrew",5,8,7,6,7,6,5,4,5,6,5,4,6,4,2,4,84.0
"Menzie, Jye",2,4,3,10,4,4,,1,6,2,6,5,1,1,4,1,54.0
"Merrett, Zach",8,8,9,5,14,,6,11,12,12,9,12,5,8,12,11,142.0
"Parish, Darcy",18,14,9,11,17,14,13,22,,,,,,14,14,13,159.0
"Perkins, Archie",6,4,4,4,6,4,4,2,-,3,8,8,3,6,4,10,76.0
"Phillips, Andrew",2,3,,6,8,2,1,3,4,1,,5,5,6,8,5,59.0
"Redman, Mason",3,6,2,6,7,5,6,4,2,7,6,3,4,3,11,1,76.0
"Ridley, Jordan",4,3,6,4,4,2,1,1,,9,3,8,4,7,5,1,62.0
"Setterfield, Will",3,13,8,10,9,6,8,3,7,,,,,,,,67.0
"Shiel, Dylan",5,11,8,9,16,7,8,9,8,,,3,,,2,1,87.0
"Snelling, Will",,,,,5,5,-,,,7,6,6,6,4,4,3,46.0
"Stringer, Jake",,,3,12,5,8,20,11,7,5,5,9,11,10,2,2,110.0
"Weideman, Sam",7,,4,2,,5,6,3,1,7,6,1,4,5,3,4,58.0
"Wright, Peter",,,,,,,,,,,,,2,3,3,11,19.0
"Zerk-Thatcher, Brandon",10,5,,5,3,4,7,6,5,7,1,5,3,1,4,10,76.0
Totals,128,140,136,148,157,121,140,129,104,125,129,129,112,125,142,154,2119.0
Opponent,HW,GC,SK,GW,ME,CW,GE,PA,BL,RI,WC,NM,CA,FR,PA,AD,
