Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,Tot
"Allen, Oscar",9,9,12,14,14,9,9,15,8,6,12,12,13,4,7,6,159.0
"Barnett, Harry",,,,,,,,,,,,,,,2,,2.0
"Barrass, Tom",18,8,21,17,11,17,4,9,11,,11,,,13,20,10,170.0
"Bazzo, Rhett",,,,,,6,3,,,5,13,13,12,6,12,8,78.0
"Chesser, Campbell",5,6,12,,,,,,,10,,,11,9,13,14,80.0
"Clark, Greg",,,,15,18,19,12,13,13,9,7,11,8,,,,125.0
"Cole, Tom",20,11,19,14,,,,,,,,,,,,7,71.0
"Cripps, Jamie",12,17,6,,,,,,,,,,,,10,10,55.0
"Culley, Jai",,,,12,14,10,5,1,,,,,,,,,42.0
"Darling, Jack",14,12,9,10,12,8,8,4,7,,,,9,9,6,9,117.0
"Duggan, Liam",18,14,18,19,23,20,23,27,32,14,35,33,,15,27,33,351.0
"Edwards, Harry",,,,,,,,,6,10,,,,,,,16.0
"Edwards, Luke",,,,16,10,17,15,11,10,,3,,8,3,,,93.0
"Foley, Luke",,,,,,15,9,11,15,14,12,14,8,,,,98.0
"Gaff, Andrew",23,22,28,24,18,32,17,14,17,10,16,22,16,13,21,6,299.0
"Ginbey, Reuben",15,17,20,14,9,12,10,16,12,10,19,13,19,19,13,12,230.0
"Hewett, Elijah",,3,14,8,,,,,,,,4,,16,11,18,74.0
"Hough, Brady",,,,7,11,,,,6,13,21,16,14,16,9,22,135.0
"Hunt, Jayden",12,22,22,20,17,19,23,19,14,16,34,18,13,10,19,27,305.0
"Hurn, Shannon",25,21,27,12,,,19,22,,,27,5,,,30,,188.0
"Jamieson, Callum",3,,,,,,,,5,14,,17,,,,,39.0
"Jones, Jamaine",14,27,14,22,25,22,15,30,4,12,,,,,,,185.0
"Kelly, Tim",22,32,33,36,22,34,27,29,26,26,29,29,27,27,,26,425.0
"Long, Noah",10,7,18,11,13,,,,,7,7,16,4,7,15,11,126.0
"Maric, Ryan",,,,,,,,,,,,,8,6,13,11,38.0
"McGovern, Jeremy",22,21,10,,,,,,,,,,,,,20,73.0
"ONeill, Xavier",8,,,,11,,16,13,12,12,15,15,14,,8,9,133.0
"Petrevski-Seton, Sam",,20,22,10,9,11,4,,,,,,13,8,,,97.0
"Petruccelle, Jack",1,,,,10,14,10,13,11,11,8,15,17,22,16,17,165.0
"Rotham, Josh",,,,2,9,8,5,13,13,13,2,12,,,,,77.0
"Ryan, Liam",13,17,9,,,,,,,,,,,,,,39.0
"Sheed, Dom",25,26,22,,,,,29,21,30,17,43,17,20,25,19,294.0
"Shuey, Luke",27,20,9,,,17,,,,,,,16,28,28,,145.0
"Trew, Zane",,,,,,9,,9,,,,,11,,,,29.0
"Waterman, Jake",,16,12,13,20,23,10,13,6,19,13,13,,,,,158.0
"West, Connor",,,,11,4,14,13,14,12,10,13,1,,,,,92.0
"Williams, Bailey",8,10,13,17,12,21,13,13,6,12,12,16,20,11,14,9,207.0
"Williams, Jack",,,,,,,,,,,,,,2,8,6,16.0
"Witherden, Alex",18,15,7,,19,23,15,20,26,28,17,28,15,17,29,22,299.0
"Yeo, Elliot",,,,12,12,,,,,,24,26,30,19,,,123.0
Totals,342,373,377,336,323,380,285,358,293,311,367,392,323,300,356,332,5448.0
Opponent,NM,GW,FR,ME,GE,PA,CA,RI,GC,HW,ES,CW,AD,SY,SK,BL,
