Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,GF,GF.1,Tot
"Anthony, John",1,-,,,,,,1,,1,,,,1,1,,,,,,-,,,,,,5.0
"Ball, Luke",1,-,1,1,2,1,-,2,1,1,4,,2,1,1,3,-,3,2,,2,3,3,3,2,1,40.0
"Barham, Jaxson",,,,,,,,,,,,-,,,,,,,,,,,,,,,
"Beams, Dayne",,2,1,1,1,1,1,-,-,-,-,-,1,1,-,-,1,-,-,2,-,3,-,-,-,1,16.0
"Blair, Jarryd",,,,,,,,,,,,,,1,-,2,-,-,,1,2,2,-,-,-,-,8.0
"Brown, Leigh",1,1,1,-,,,,,,,1,1,-,-,1,1,-,1,3,2,1,,1,1,1,-,17.0
"Brown, Nathan",,,,,2,-,-,-,-,,,,,,,,,-,,1,-,-,2,-,1,1,7.0
"Cloke, Travis",1,-,1,2,-,-,-,1,2,1,-,1,1,-,1,,,1,-,2,2,1,1,1,1,-,20.0
"Davis, Leon",2,3,2,-,1,-,2,-,1,,3,-,1,1,,-,-,1,2,,,-,-,,-,,19.0
"Dawes, Chris",,,,,2,-,-,-,1,1,,,1,1,2,-,1,2,1,1,-,-,-,-,2,1,16.0
"Dick, Brad",,,,,,,,,,,,-,-,,,,,,,,,,,,,,
"Didak, Alan",1,1,1,-,3,-,2,-,1,-,1,,-,-,2,1,1,-,1,1,-,,-,-,-,-,16.0
"Fraser, Josh",2,2,1,2,1,1,,,,,1,-,,,,,,,,,,-,,,,,10.0
"Goldsack, Tyson",,,,,,,,,,,,,-,-,1,-,3,-,-,,-,1,,-,,-,5.0
"Johnson, Ben",-,1,,-,2,1,1,-,1,-,-,,-,-,1,1,-,2,1,-,1,,1,1,-,1,15.0
"Jolly, Darren",3,-,1,1,2,-,1,2,3,1,-,2,1,1,4,-,6,2,-,-,-,1,3,1,-,1,36.0
"Lockyer, Tarkyn",2,1,1,-,,,,,,,,1,-,3,-,-,-,,,-,,,,,,,8.0
"Lumumba, Heritier",-,-,2,-,1,-,1,1,-,3,1,1,1,1,-,1,1,-,-,-,-,1,-,-,-,3,18.0
"Macaffer, Brent",,,1,1,-,1,-,-,2,-,-,1,,,,1,1,1,3,1,-,-,-,-,2,-,15.0
"Maxwell, Nick",3,1,-,-,-,-,-,3,-,-,-,-,,,,,1,-,-,1,2,-,2,-,-,-,13.0
"McCarthy, John",,,2,,,,,,,,,,,,,,,,,,,1,,,,,3.0
"Medhurst, Paul",1,-,2,-,-,2,1,,,,-,1,,,,,,,,-,,,,,,,7.0
"OBree, Shane",-,,-,,,,-,-,-,3,,,,,,,,,,,,,,,,,3.0
"Pendlebury, Scott",2,1,1,1,2,-,-,-,2,2,1,2,1,1,2,-,2,1,4,1,1,2,-,1,-,1,31.0
"Prestigiacomo, Simon",1,,-,2,,,,,,2,-,-,-,-,1,-,-,,-,-,,,,,,,6.0
"Reid, Ben",,-,,,1,-,-,1,3,-,-,-,-,-,-,-,3,1,-,,,-,-,-,1,-,10.0
"Shaw, Heath",1,1,,-,-,-,1,1,-,-,-,1,1,-,-,1,,,2,-,-,-,-,1,3,-,13.0
"Sidebottom, Steele",-,1,1,-,-,-,1,1,-,1,2,1,1,,-,2,-,1,2,-,-,2,-,-,1,1,18.0
"Swan, Dane",2,3,-,1,1,1,1,1,-,2,-,1,-,-,-,1,2,2,-,-,2,-,1,-,-,3,24.0
"Thomas, Dale",-,1,1,-,1,-,-,-,2,1,-,1,1,1,-,-,-,-,1,-,-,1,1,1,2,1,16.0
"Toovey, Alan",-,-,-,-,1,-,-,-,1,-,3,2,-,1,-,1,1,-,-,-,1,-,-,2,1,-,14.0
"Wellingham, Sharrod",-,-,3,3,-,1,,,1,-,-,1,-,-,-,-,1,1,1,-,1,1,1,1,-,1,17.0
"Wood, Cameron",,,,,,,-,1,-,1,,,,,,,,,,,,,,,,,2.0
Totals,24,19,23,15,23,9,12,15,21,20,17,17,12,14,17,15,24,19,23,13,15,19,16,13,17,16,448.0
Opponent,WB,ME,SK,HW,ES,CA,NM,FR,GE,BL,WB,ME,SY,WC,PA,SK,RI,CA,GE,ES,AD,HW,WB,GE,SK,SK,
