Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,Tot
"Battle, Josh",4,1,2,6,5,5,2,5,6,4,5,2,3,4,-,,54.0
"Billings, Jack",,,,,,,,,,,,,,,,-,
"Butler, Dan",1,1,1,-,-,1,-,-,1,-,1,-,-,1,1,1,9.0
"Byrnes, Ryan",3,1,3,3,3,4,-,-,3,-,3,3,2,-,-,2,30.0
"Bytel, Jack",2,,,1,-,,,1,-,,,,,,,,4.0
"Caminiti, Anthony",-,-,-,-,-,,,,-,-,-,-,-,-,-,-,
"Clark, Hunter",-,-,1,1,2,4,1,2,1,-,-,,,,,,12.0
"Cordy, Zaine",2,-,-,-,-,-,-,,,,,,,,,1,3.0
"Crouch, Brad",3,1,1,1,1,-,1,3,1,-,3,2,1,1,-,2,21.0
"Gresham, Jade",1,-,-,-,1,-,-,1,,1,-,-,-,-,-,1,5.0
"Higgins, Jack",-,-,1,1,1,-,-,-,-,-,1,-,-,-,1,,5.0
"Hill, Bradley",1,-,-,1,1,2,1,3,2,1,2,1,5,4,2,,26.0
"Howard, Dougal",1,2,3,3,1,2,1,1,2,2,1,3,2,4,3,3,34.0
"Jones, Zak",,,,,,,,,,,,,,,,-,
"King, Max",,,,,,,,,,-,-,-,-,-,-,-,
"Marshall, Rowan",1,2,2,1,1,3,4,1,1,5,1,1,2,1,1,1,28.0
"Membrey, Tim",,,,,,-,-,-,-,,,,,,,,
"Owens, Mitch",-,-,1,-,-,-,1,1,-,-,,1,-,-,1,1,6.0
"Paton, Ben",2,3,-,3,5,4,2,-,-,-,1,,,1,,,21.0
"Phillipou, Mattaes",1,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,4.0
"Ross, Sebastian",,2,3,2,-,1,1,2,1,1,-,1,1,,1,-,16.0
"Sharman, Cooper",,,,,,,,2,1,,1,-,1,1,3,-,9.0
"Sinclair, Jack",10,2,3,4,5,5,7,3,4,4,4,3,7,4,2,1,68.0
"Steele, Jack",1,2,,,,3,2,1,-,-,2,2,1,1,-,1,16.0
"Stocker, Liam",8,2,5,2,5,3,3,4,5,5,6,4,4,5,-,2,63.0
"Wanganeen-Milera, Nasiah",5,6,4,7,6,3,6,5,2,3,6,6,4,5,4,3,75.0
"Webster, Jimmy",3,,1,,,,,,,2,4,3,2,3,-,5,23.0
"Wilkie, Callum",5,2,3,4,14,2,4,8,1,6,1,8,6,3,4,3,74.0
"Windhager, Marcus",,-,-,2,-,-,-,,,,,3,1,1,1,5,13.0
"Wood, Mason",3,4,3,1,1,1,1,-,2,-,2,1,2,2,2,-,25.0
Totals,57,31,37,43,52,43,37,44,33,35,44,45,44,41,26,32,644.0
Opponent,FR,WB,ES,GC,CW,CA,PA,NM,AD,GW,HW,SY,RI,BL,WC,ME,
