Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Akermanis, Jason",3,-,,2,2,,,2,-,4,2,3,1,1,5,5,4,-,5,8,2,-,-,4,53.0
"Ashcroft, Marcus",5,-,2,4,-,2,-,-,,,,-,1,2,1,2,1,1,1,-,2,-,-,1,25.0
"Black, Simon",-,1,-,5,-,-,-,-,-,-,-,1,,,-,,,,-,2,-,-,1,-,10.0
"Bolton, Craig",-,-,-,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,-,
"Bradshaw, Daniel",-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,,
"Brown, Jonathan",,,,,-,-,-,-,,,-,,,,,,-,-,-,-,-,1,-,-,1.0
"Carey, Stefan",-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Champion, Richard",,,,-,,,,,-,-,-,,1,-,-,-,,,,,,,,,1.0
"Clarke, Nathan",,,,,,,,,,,,,,,,,,-,-,-,-,,,,
"Cupido, Damian",,,,,,,,,,,-,-,1,-,-,,,,,,,,,-,1.0
"Hart, Shaun",2,1,1,-,-,1,-,-,-,2,1,3,1,-,-,-,-,-,-,-,-,-,1,1,14.0
"Headland, Des",,-,,,-,,,,,,,,,,,-,-,-,-,,,3,1,-,4.0
"Heuskes, Adam",-,-,-,-,-,-,-,-,3,-,,2,1,-,,,,,,,-,,,,6.0
"Johnson, Chris",-,,,,-,-,-,-,-,3,2,1,7,2,1,-,1,2,3,2,-,1,4,3,32.0
"Kennedy, Matthew",1,1,-,-,,,,-,3,-,1,1,,,,,,,,,,,,,7.0
"Knobel, Trent",,,,,,,,,,,,,,-,-,-,-,,-,-,-,-,-,-,
"Lambert, Craig",-,,,,,-,-,-,-,-,-,-,-,,-,,-,-,,,,,,,
"Lappin, Nigel",-,4,4,1,4,7,6,-,4,7,-,3,2,1,9,-,3,2,2,6,2,-,5,4,76.0
"Lawrence, Steven",-,1,2,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,1,-,-,4.0
"Leppitsch, Justin",5,-,-,-,6,5,,,4,4,-,1,3,-,2,2,-,-,3,1,5,3,5,1,50.0
"Lynch, Alastair",,-,-,-,-,-,-,,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2.0
"Martin, Michael",,1,3,-,3,1,3,-,2,-,,2,,,,,,,,,,,,,15.0
"McDonald, Beau",-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
"McKinnon, Martin",-,,,,,-,,,,,,,,,,,-,-,,,,,,,
"McRae, Craig",-,,-,-,-,-,-,-,3,1,3,1,4,-,-,-,4,,,,,,,,16.0
"Molloy, Jarrod",-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,7.0
"Notting, Tim",,,,-,,-,-,,,,,,,,-,-,-,1,,3,4,-,,1,9.0
"Picken, Marcus",,,,,,,-,-,-,,1,-,,,,,,,,,,,,-,1.0
"Power, Luke",-,-,-,2,,-,4,-,-,2,1,-,-,-,-,1,-,2,9,-,2,2,-,,25.0
"Robbins, Ben",,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,
"Rusca, Shannon",,,-,-,,,,,,,,,,,,,,,,,,,,,
"Scott, Chris",2,-,3,1,1,-,1,-,1,2,,,-,1,-,-,1,-,1,2,-,1,-,,17.0
"Shattock, Aaron",,,,,-,-,-,-,-,-,-,-,,,,-,,,,,,,,,
"Voss, Brett",,2,-,,,,,,,-,-,-,-,-,,,,,-,-,1,-,-,1,4.0
"Voss, Michael",3,2,6,-,2,3,-,-,-,-,-,,-,3,2,2,3,-,1,-,1,1,-,-,29.0
"White, Darryl",-,-,-,4,3,-,-,-,1,-,3,1,-,-,-,-,,-,3,2,-,1,3,1,22.0
Totals,21,13,21,19,23,20,14,2,21,25,14,19,24,10,20,12,21,8,28,26,19,14,20,17,431.0
Opponent,CA,WB,HW,PA,AD,SK,FR,ES,CW,ME,SY,RI,WC,KA,GE,CA,WB,HW,PA,AD,SK,FR,WB,CA,
