Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,Tot
"Biddiscombe, Craig",1,3,1,-,1,-,1,1,1,-,,,,,,,,,,,,,,,,9.0
"Bourke, David",1,,,,,,,-,2,,,-,1,1,-,-,-,-,1,-,-,,,-,,6.0
"Bowden, Joel",-,1,-,-,-,-,-,1,-,-,-,-,1,-,1,1,2,1,-,1,1,-,-,-,2,12.0
"Broderick, Paul",,,-,-,-,-,-,-,,-,1,-,-,1,-,-,1,-,-,2,1,-,-,2,-,8.0
"Cameron, Leon",-,-,1,-,-,-,-,1,-,1,-,1,1,2,-,-,2,-,1,-,1,-,-,-,1,12.0
"Campbell, Wayne",3,1,1,3,1,1,4,3,3,2,3,2,1,5,2,2,-,3,1,-,1,1,-,-,-,43.0
"Chaffey, Mark",1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,1,1,-,7.0
"Coughlan, Mark",,,,,,,,,1,-,,,-,,,1,-,,,,,,,,,2.0
"Daffy, Nick",1,-,,,,1,1,-,,-,-,-,,-,-,,,,,,,,,-,,3.0
"Dragicevic, Marc",,1,1,-,-,-,,,,,,,,,,,,,,,,,,,,2.0
"Fiora, Aaron",-,-,-,-,1,,,,,,,,,,,-,-,1,4,-,-,-,-,,-,6.0
"Gale, Brendon",1,1,2,-,-,2,1,1,1,3,2,2,,,2,1,-,-,-,1,-,,-,1,1,22.0
"Gaspar, Darren",-,-,1,1,1,2,1,1,2,3,-,4,1,-,2,-,2,1,4,2,1,-,-,-,2,31.0
"Hall, Ray",1,2,1,-,-,-,-,,1,-,1,-,1,1,,,,,,,,-,-,-,-,8.0
"Haynes, Ben",,,,,,,,-,,,,,,,,,,,-,-,,,,,,
"Hilton, Rory",1,-,-,1,2,-,1,1,-,1,-,,,,1,1,2,3,-,1,1,3,1,2,1,23.0
"Holland, Ben",1,-,1,-,2,-,1,2,-,2,1,1,1,2,2,1,1,1,-,1,1,2,3,2,2,30.0
"Kellaway, Andrew",3,4,2,1,1,2,1,2,2,1,1,2,-,2,1,4,-,2,-,2,-,1,-,1,1,36.0
"Kellaway, Duncan",,1,-,-,1,2,4,1,3,-,3,,,,,,,,,,-,1,1,1,1,19.0
"King, Clinton",1,,,,,,,,,,-,-,1,-,-,1,-,4,-,-,-,1,1,-,-,9.0
"Knights, Matthew",1,1,1,-,1,3,2,-,1,1,1,-,-,-,1,2,1,1,-,-,4,2,2,2,1,28.0
"Krakouer, Andrew",,,,,,,1,1,-,,,,,,,,,,,,,,,,,2.0
"Mills, Andrew",,,,,,,,,,1,-,2,-,-,,,,,,,,,,,,3.0
"Ottens, Brad",-,1,,-,-,-,4,2,2,-,-,4,2,-,-,6,-,-,1,2,1,2,2,1,-,30.0
"Pettifer, Kayne",,,,,,,,,,,,1,-,1,2,1,-,-,,,,,,,,5.0
"Poyas, Ezra",,,,,,,,,,,,,,,,,,,,,,-,,,-,
"Proctor, Lionel",,,,,,,-,,,,,,,,,,,,,,,,,,,
"Richardson, Matthew",1,1,-,-,1,-,1,5,,,-,,1,-,1,2,2,-,4,2,2,3,-,2,1,29.0
"Rogers, Matthew",1,-,1,-,-,1,,,1,-,1,-,1,-,-,-,-,-,1,-,-,-,1,-,1,9.0
"Sziller, Steven",3,2,-,-,-,1,-,-,-,,,-,-,2,-,-,-,-,-,-,-,-,-,-,-,8.0
"Tivendale, Greg",-,2,3,1,-,2,-,-,-,-,1,2,-,-,1,1,-,-,1,1,2,-,-,1,-,18.0
"Torney, Jason",1,-,-,1,-,-,,,-,-,-,1,1,3,3,-,3,-,-,-,1,-,2,1,-,17.0
"Vardy, Royce",,,1,,,,,,,1,-,-,1,3,-,,,-,-,,,,,,,6.0
"Zantuck, Ty",,,,,,,2,-,-,,,,,,,,,,,-,-,1,-,,,3.0
Totals,22,21,17,9,12,17,25,22,20,16,15,22,14,23,19,24,18,17,18,15,18,17,14,17,14,446.0
Opponent,ME,WB,BL,CW,WC,KA,ES,AD,GE,FR,CA,SY,SK,HW,PA,ME,WB,CW,BL,WC,KA,ES,ES,CA,BL,
