Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,GF,GF.1,Tot
"Armitage, David",1,-,-,-,-,-,,-,,,,,,,,,,,,,-,-,,,,,1.0
"Baker, Steven",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,-,-,
"Blake, Jason",-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,14,-,18.0
"Clarke, Raphael",,,,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,,,
"Dal Santo, Nick",-,1,1,-,3,2,1,-,1,2,2,-,1,-,-,,1,2,-,-,3,1,-,-,1,1,23.0
"Dawson, Zac",-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,,,,-,-,-,-,-,
"Dempster, Sean",,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Eddy, Robert",,,,,-,,,,,-,-,-,,,,,,,-,-,,,-,-,-,-,
"Fisher, Sam",,,2,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,6.0
"Gardiner, Michael",,20,16,11,10,13,27,23,17,16,20,15,16,15,22,11,23,18,13,,,18,24,15,10,,373.0
"Geary, Jarryn",-,-,-,-,-,1,-,-,,,-,-,-,-,-,-,,-,-,-,-,-,,,,,1.0
"Gilbert, Sam",-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0
"Goddard, Brendon",-,2,-,1,1,2,1,2,1,-,-,1,1,2,,2,3,2,-,-,1,2,-,3,5,4,36.0
"Gram, Jason",-,-,-,-,,,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Gwilt, James",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1.0
"Hayes, Lenny",3,1,3,1,2,1,1,-,2,2,1,1,1,3,-,4,1,1,-,2,,2,1,2,3,3,41.0
"Heyne, Nick",,,,,,,,-,-,,,,,,,,,,,,-,,,,,,
"Jones, Clinton",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,
"King, Steven",18,,15,9,16,13,11,,,,,,,,,,,,,,,,,,,,82.0
"Koschitzke, Justin",7,,,,2,3,3,2,1,2,3,3,5,,,6,1,2,4,2,-,-,-,2,10,5,63.0
"Lynch, Tom",,,,,,,,,,,,,,,,,,-,,,,,,,,,
"McEvoy, Ben",7,9,,,,,,8,9,6,12,8,5,14,3,,19,12,18,15,16,14,8,12,,10,205.0
"McQualter, Andrew",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Miles, Luke",,,,,,,,,,,,,,,,,,,,,-,-,,,,,
"Milne, Stephen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Montagna, Leigh",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Pattison, Adam",,2,,,,,,,,,,,,4,1,11,,,,,12,,,,,,30.0
"Peake, Brett",-,-,-,-,1,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Ray, Farren",-,-,1,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Riewoldt, Nick",-,1,-,,,,,,,,,,,,1,1,-,-,1,2,-,-,5,-,2,3,16.0
"Schneider, Adam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Stanley, Rhys",,,,,,,,,-,1,-,-,-,1,,,,,,3,,,,,,,5.0
"Steven, Jack",,,,,,-,-,,,,,,-,-,-,-,-,-,,,,,,,,,
Totals,36,39,38,23,36,35,45,36,31,29,38,28,29,39,27,36,50,37,37,25,32,37,38,34,45,26,906.0
Opponent,SY,NM,CW,FR,PA,WB,CA,ES,WC,AD,RI,FR,GE,ME,BL,CW,HW,ES,PA,NM,RI,AD,GE,WB,CW,CW,
