Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,Tot
"Ah Chee, Callum",,,,,,,,,,-,,,-,
"Andrews, Harris",-,2,1,3,1,1,2,4,2,-,-,3,-,19.0
"Answerth, Noah",,,2,,,,3,4,2,,,,,11.0
"Ashcroft, Will",4,1,2,2,4,2,2,4,4,4,1,4,4,38.0
"Bailey, Zac",2,1,4,2,1,3,5,4,6,3,5,2,6,44.0
"Berry, Jarrod",-,6,2,-,-,3,3,3,1,1,3,6,1,29.0
"Cameron, Charlie",3,5,5,4,1,2,2,6,-,3,4,4,4,43.0
"Coleman, Keidean",2,,3,2,4,1,2,4,2,-,1,2,2,25.0
"Daniher, Joe",-,1,2,1,-,-,1,1,2,-,1,-,1,10.0
"Dunkley, Josh",9,5,6,1,6,4,8,13,3,8,9,11,8,91.0
"Fletcher, Jaspa",,,,,,,,,,,,,1,1.0
"Fort, Darcy",,1,-,,3,,,,,,,,3,7.0
"Gardiner, Darcy",,,,,,,,,,,2,5,,7.0
"Gunston, Jack",-,1,1,1,,-,1,1,-,1,2,2,,10.0
"Hipwood, Eric",-,1,3,1,-,1,3,4,3,3,6,1,1,27.0
"Joyce, Darragh",,2,-,-,-,-,,,,,,,,2.0
"Lester, Ryan",,,,,,,2,1,2,2,4,,3,14.0
"Lohmann, Kai",,,,,,,,,,,,,2,2.0
"Lyons, Jarryd",,,,,2,3,,2,,,,,,7.0
"Madden, James",,,,,,,,,,,2,,,2.0
"McCarthy, Lincoln",4,4,1,3,2,2,1,2,1,8,3,2,6,39.0
"McCluggage, Hugh",4,1,3,4,2,6,1,4,-,7,3,8,,43.0
"McInerney, Oscar",2,2,4,1,-,5,1,2,3,-,2,1,6,29.0
"McKenna, Conor",1,3,1,5,-,-,5,-,1,1,3,1,-,21.0
"Neale, Lachie",6,-,4,4,4,4,7,3,2,2,8,3,7,54.0
"Payne, Jack",-,1,2,2,-,2,1,2,1,1,,1,-,13.0
"Prior, Jaxon",-,,,2,,,,,,,,3,,5.0
"Rayner, Cam",3,1,-,3,1,1,3,5,2,4,4,2,1,30.0
"Rich, Daniel",-,-,,,-,1,1,,,,-,-,,2.0
"Robertson, Deven",4,-,,-,,,,,,,,3,2,9.0
"Sharp, Harry",,,,,,,,3,1,1,,,,5.0
"Starcevich, Brandon",1,4,2,1,-,4,1,-,1,1,4,3,1,23.0
"Tunstill, James",-,,,,,,,,,,,,,
"Wilmot, Darcy",1,3,1,1,5,-,1,3,-,-,2,4,-,21.0
"Zorko, Dayne",,4,3,-,5,4,2,,3,4,3,,,28.0
Totals,46,49,52,43,41,49,58,75,42,54,72,71,59,711.0
Opponent,PA,ME,WB,CW,NM,GW,FR,CA,ES,GC,AD,HW,SY,
