Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,Tot
"Ah Chee, Callum",,,,,,,,,,-,,,-,
"Andrews, Harris",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Answerth, Noah",,,-,,,,-,-,-,,,,,
"Ashcroft, Will",1,1,-,-,-,1,2,-,-,1,-,1,-,7.0
"Bailey, Zac",2,2,-,-,-,1,2,4,2,1,-,-,2,16.0
"Berry, Jarrod",-,1,-,1,2,-,-,-,-,1,-,-,2,7.0
"Cameron, Charlie",-,2,1,6,4,7,2,4,-,2,4,2,-,34.0
"Coleman, Keidean",-,,-,-,-,-,-,-,-,-,-,-,-,
"Daniher, Joe",1,4,-,2,5,1,3,2,6,4,2,-,2,32.0
"Dunkley, Josh",-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Fletcher, Jaspa",,,,,,,,,,,,,1,1.0
"Fort, Darcy",,-,-,,1,,,,,,,,-,1.0
"Gardiner, Darcy",,,,,,,,,,,-,-,,
"Gunston, Jack",2,-,3,-,,2,1,2,-,1,-,-,,11.0
"Hipwood, Eric",1,-,1,2,4,2,2,1,1,2,-,4,2,22.0
"Joyce, Darragh",,-,-,-,-,-,,,,,,,,
"Lester, Ryan",,,,,,,-,-,-,-,-,,-,
"Lohmann, Kai",,,,,,,,,,,,,-,
"Lyons, Jarryd",,,,,-,-,,-,,,,,,
"Madden, James",,,,,,,,,,,-,,,
"McCarthy, Lincoln",1,1,-,-,-,1,3,1,1,2,-,1,-,11.0
"McCluggage, Hugh",-,-,-,-,1,-,-,-,-,1,1,-,,3.0
"McInerney, Oscar",1,1,-,-,-,-,-,-,1,-,-,-,1,4.0
"McKenna, Conor",1,-,-,-,1,-,1,-,-,-,-,-,1,4.0
"Neale, Lachie",-,-,1,-,-,-,-,-,-,-,-,-,-,1.0
"Payne, Jack",-,-,-,-,-,-,-,-,-,-,,-,-,
"Prior, Jaxon",-,,,1,,,,,,,,-,,1.0
"Rayner, Cam",-,-,1,4,2,1,1,-,1,-,1,2,1,14.0
"Rich, Daniel",1,-,,,-,-,-,,,,1,-,,2.0
"Robertson, Deven",-,-,,-,,,,,,,,-,1,1.0
"Sharp, Harry",,,,,,,,1,-,1,,,,2.0
"Starcevich, Brandon",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Tunstill, James",-,,,,,,,,,,,,,
"Wilmot, Darcy",-,-,-,1,1,-,-,-,-,-,-,-,-,2.0
"Zorko, Dayne",,2,-,1,1,-,-,,-,-,1,,,5.0
Totals,11,14,7,18,22,16,17,15,12,16,10,11,13,182.0
Opponent,PA,ME,WB,CW,NM,GW,FR,CA,ES,GC,AD,HW,SY,
