Player,R1,R2,R3,R4,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Ball, Jason",,,-,,,,,,,,,,,,,,,,,,,,
"Banfield, Drew",,,,,,,,,,,,,,-,1,3,-,-,3,2,,,9.0
"Brennan, Michael",1,,,2,2,3,1,1,3,-,1,3,1,2,4,2,-,-,-,1,3,3,33.0
"Clape, Matt",,,-,2,2,2,-,2,1,,-,,,1,-,-,-,-,,-,,,10.0
"Connell, Matthew",-,-,,,,,,,-,,,,,,,,,,,,,,
"Evans, Tony",1,,,2,1,-,5,1,4,2,,-,2,3,3,2,2,-,5,7,9,4,53.0
"Godden, Tony",,,,,,,,,,,,,,,,,,1,2,3,1,3,10.0
"Hall, Derek",,,,,,,,,,,,,,,,3,-,,,,,,3.0
"Hampson, Damian",,,,,,,,,,-,1,2,1,,,,,,,,,,4.0
"Harding, Paul",1,-,1,-,-,2,2,2,,1,1,1,-,-,-,-,-,1,-,1,-,-,13.0
"Hart, David",,,,,,,,,,,,,,,1,1,1,3,1,-,-,1,8.0
"Heady, Brett",2,1,1,3,-,-,1,1,-,-,1,,2,-,,,-,-,-,-,-,1,13.0
"Hynes, David",,1,-,1,-,2,-,3,-,-,2,-,-,1,1,1,-,-,-,5,-,-,17.0
"Irving, Dean",,,,,,,,,2,,,,,,,,,,,,,,2.0
"Jakovich, Glen",1,-,1,-,2,3,-,1,-,2,-,-,-,1,2,3,-,1,-,1,2,-,20.0
"Kemp, Dean",2,3,2,3,2,2,3,7,,,,1,,,7,9,3,1,5,4,5,4,63.0
"Krummel, Brendan",1,-,,1,,,3,3,6,1,,,,,,,,,,,,,15.0
"Lamb, Dwayne",1,1,2,1,2,-,2,3,7,2,2,2,3,1,,,,,-,,,,29.0
"Langdon, Karl",,,,,,,,,,,1,,,,,,,,,,,,1.0
"Lewis, Chris",2,3,1,,5,4,3,5,1,5,2,3,2,,,,2,,,,3,3,44.0
"Mainwaring, Chris",,,,,,,,,,,2,1,2,2,2,1,1,1,4,1,2,1,20.0
"Matera, Peter",2,1,3,1,-,3,,,4,2,1,-,1,2,2,4,2,3,2,3,4,3,43.0
"McIntosh, Ashley",2,-,2,3,4,-,2,,-,-,-,,,2,3,1,1,-,1,3,4,1,29.0
"McKenna, Guy",1,1,1,3,3,1,4,5,-,1,3,2,3,3,-,1,-,3,1,,3,-,39.0
"Metropolis, Daniel",,1,-,,,,,,,,,,,,,,,,,,,,1.0
"Pyke, Don",-,3,1,4,4,3,2,1,1,-,1,-,1,5,1,2,-,1,3,2,1,6,42.0
"Retzlaff, Brendon",,,,,,,,,,,,2,-,,,3,,,,,,,5.0
"Schofield, Jarrad",,,,,,,,,,1,,,,,,,,,,,,,1.0
"Sumich, Peter",-,1,-,1,1,-,,1,-,-,-,-,2,-,-,-,-,1,1,1,-,-,9.0
"Turley, Craig",1,1,,,,,,,,,,,,,,,,,,,,,2.0
"Ugle, Troy",,,,,,,1,1,,,,1,2,,,,,,,,,,5.0
"Waterman, Chris",,,-,1,1,-,2,1,1,4,5,1,2,-,1,1,-,1,3,1,2,1,28.0
"West, Robert",1,-,1,1,-,3,3,2,,,,,,3,-,,,,,,,,14.0
"White, Mitchell",-,-,2,-,2,2,2,2,1,-,1,2,2,-,2,,,2,1,1,1,4,27.0
"Wilson, Peter",1,-,3,2,2,1,2,1,2,-,5,4,1,2,2,1,4,-,2,4,3,1,43.0
"Worsfold, John",3,-,1,1,-,1,1,2,4,-,4,3,4,1,3,1,,,,3,-,-,32.0
Totals,23,17,22,32,33,32,39,45,37,21,33,28,31,29,35,39,16,19,34,43,43,36,687.0
Opponent,ES,AD,RI,BB,FO,GE,FI,ME,SK,SY,NM,CW,CA,ES,AD,RI,BB,HW,FO,GE,NM,ES,
