Player,R1,R2,R3,R4,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Ball, Jason",,,4,,,,,,,,,,,,,,,,,,,,4.0
"Banfield, Drew",,,,,,,,,,,,,,-,-,-,-,-,-,2,,,2.0
"Brennan, Michael",-,,,2,-,-,-,-,-,-,3,2,2,1,-,-,-,-,-,2,-,1,13.0
"Clape, Matt",,,1,1,1,1,1,-,4,,1,,,-,-,-,-,-,,-,,,10.0
"Connell, Matthew",-,1,,,,,,,-,,,,,,,,,,,,,,1.0
"Evans, Tony",2,,,-,1,-,3,-,3,2,,4,3,2,3,3,3,1,-,2,3,-,35.0
"Godden, Tony",,,,,,,,,,,,,,,,,,-,1,2,-,2,5.0
"Hall, Derek",,,,,,,,,,,,,,,,1,-,,,,,,1.0
"Hampson, Damian",,,,,,,,,,-,-,2,1,,,,,,,,,,3.0
"Harding, Paul",1,-,1,-,1,-,1,3,,-,-,6,1,1,-,1,-,2,-,4,-,-,22.0
"Hart, David",,,,,,,,,,,,,,,1,1,-,1,3,1,1,-,8.0
"Heady, Brett",2,1,5,2,2,1,1,2,2,4,-,,2,1,,,2,1,1,-,-,1,30.0
"Hynes, David",,-,1,-,3,-,2,-,-,1,-,-,-,1,-,2,1,-,1,1,1,2,16.0
"Irving, Dean",,,,,,,,,1,,,,,,,,,,,,,,1.0
"Jakovich, Glen",2,-,2,-,1,2,2,-,3,1,-,1,1,3,2,1,4,1,2,4,3,1,36.0
"Kemp, Dean",1,3,1,1,-,3,1,1,,,,2,,,2,1,2,3,2,1,1,-,25.0
"Krummel, Brendan",1,1,,-,,,-,1,-,2,,,,,,,,,,,,,5.0
"Lamb, Dwayne",1,-,-,4,-,-,-,1,2,1,2,2,2,1,,,,,1,,,,17.0
"Langdon, Karl",,,,,,,,,,,5,,,,,,,,,,,,5.0
"Lewis, Chris",2,2,1,,2,2,4,1,2,1,1,-,3,,,,5,,,,1,4,31.0
"Mainwaring, Chris",,,,,,,,,,,1,1,1,2,2,1,3,2,3,2,1,2,21.0
"Matera, Peter",3,1,4,1,-,5,,,2,2,1,2,1,4,-,2,2,3,1,3,2,2,41.0
"McIntosh, Ashley",2,1,1,1,2,1,3,,2,2,2,,,-,1,-,2,1,3,2,-,1,27.0
"McKenna, Guy",2,-,1,1,-,-,2,3,1,4,1,-,1,1,-,-,-,3,-,,-,2,22.0
"Metropolis, Daniel",,1,-,,,,,,,,,,,,,,,,,,,,1.0
"Pyke, Don",5,3,2,1,1,-,3,1,1,-,1,1,1,1,-,1,-,2,-,-,1,2,27.0
"Retzlaff, Brendon",,,,,,,,,,,,-,1,,,3,,,,,,,4.0
"Schofield, Jarrad",,,,,,,,,,3,,,,,,,,,,,,,3.0
"Sumich, Peter",1,1,2,2,1,2,,-,3,4,3,6,-,1,1,4,2,3,3,4,2,1,46.0
"Turley, Craig",1,1,,,,,,,,,,,,,,,,,,,,,2.0
"Ugle, Troy",,,,,,,-,-,,,,1,1,,,,,,,,,,2.0
"Waterman, Chris",,,-,1,-,2,1,1,2,2,2,1,1,1,-,-,-,1,4,-,2,1,22.0
"West, Robert",-,2,1,3,-,1,1,-,,,,,,3,-,,,,,,,,11.0
"White, Mitchell",1,3,1,2,3,-,3,1,1,2,1,-,-,-,2,,,2,4,-,1,2,29.0
"Wilson, Peter",-,1,1,3,4,3,1,2,5,5,3,2,2,1,1,1,2,1,1,2,1,3,45.0
"Worsfold, John",-,-,1,1,4,-,1,1,2,1,1,2,2,2,1,3,,,,-,3,-,25.0
Totals,27,22,30,26,26,23,30,18,36,37,28,35,26,26,16,25,28,27,30,32,23,27,598.0
Opponent,ES,AD,RI,BB,FO,GE,FI,ME,SK,SY,NM,CW,CA,ES,AD,RI,BB,HW,FO,GE,NM,ES,
