Player,R1,R2,R3,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R20,R21,R22,Tot
"Atkins, Simon",1,-,1,1,4,2,4,-,2,1,1,-,-,1,-,-,3,3,1,-,25.0
"Ballantyne, Jon",1,,,,,,,,,,,3,1,1,1,1,,,,,8.0
"Barrow, Gary",,,,,,,,,,,,,,,,,1,-,-,-,1.0
"Beveridge, Luke",,,,,,,,,,,1,1,-,1,1,2,,,-,3,9.0
"Cameron, Leon",4,-,1,-,1,2,3,1,,1,-,-,-,1,-,-,3,-,2,2,21.0
"Campbell, Tony",,,,,,1,1,1,3,-,1,-,4,-,2,,,,,,13.0
"Charles, Justin",,,,,,,,,,,2,-,-,,,,,,,,2.0
"Coleman, Glenn",1,-,2,,,,,,,-,,,,,,,,,,,3.0
"Corcoran, Shannon",,,,,,,,,,,-,1,,,,,3,2,-,,6.0
"Croft, Matthew",2,,2,,,,,,,,,,,,,,,,,,4.0
"Darcy, Anthony",,,,,-,-,2,2,1,3,,,,,-,-,1,-,-,1,10.0
"Del-Re, Danny",4,5,3,1,-,-,3,1,2,-,-,,,,,1,1,-,,,21.0
"Ellen, Shane",,,-,-,-,,,,,-,,,,,,,,,,,
"Foster, Peter",6,,,,,,2,1,2,-,1,-,2,1,,,,,,,15.0
"Frost, Michael",,,,,,,-,-,2,,,,,-,1,2,,,,,5.0
"Grant, Chris",,,,6,2,2,2,3,1,1,2,4,3,1,3,-,2,1,1,1,35.0
"Grgic, Ilija",,2,,,,,,3,,,,,,-,2,3,1,-,-,1,12.0
"Hawkins, Doug",3,1,2,1,-,1,-,1,1,1,-,1,-,-,1,1,-,-,-,1,15.0
"Hunter, Mark",1,2,2,2,3,1,1,1,2,1,1,-,-,,,,,1,2,1,21.0
"Kellett, Nigel",1,-,-,-,2,-,2,2,-,-,-,,1,1,1,1,-,2,1,-,14.0
"Kolyniuk, Steven",-,-,3,2,-,-,,,4,-,3,3,2,-,3,1,,,,,21.0
"Kretiuk, Steven",,1,-,,,,,-,1,,,,,,,,,,,-,2.0
"Liberatore, Tony",-,1,2,2,1,1,2,-,3,1,1,1,-,1,3,1,2,-,3,2,27.0
"Macpherson, Stephen",3,1,1,3,2,2,1,1,1,,,,,,,,,,,,15.0
"Mansfield, Matthew",1,1,-,-,1,-,,,,,,,,1,1,,,,,,5.0
"Nicholson, Brad",,,,,,,,,,,,,,,,-,3,1,-,2,6.0
"Quill, Peter",,,,3,1,2,2,,,,,1,1,1,-,-,-,-,4,1,16.0
"Reynolds, Keenan",3,-,3,2,-,-,4,-,2,1,1,-,2,-,,,,,,,18.0
"Royal, Brian",,,,,,,-,1,1,,1,2,2,1,2,,2,-,,,12.0
"Sexton, Ben",,,,1,-,-,,,,,,,,,3,3,5,,-,1,13.0
"Smith, Rohan",1,-,,,,,,,,-,-,1,-,,,,,,,,2.0
"Standfield, Barry",3,-,3,4,2,2,6,2,1,2,-,1,1,4,1,2,2,5,-,4,45.0
"Thorpe, Alan",,,,,,,,,,,,,,,,,1,-,2,1,4.0
"Toohey, Bernard",,1,-,1,2,-,1,1,2,2,1,2,2,,,-,1,3,2,2,23.0
"Wallis, Stephen",1,2,2,-,,,,,,,,,,,,,,,,,5.0
"West, Scott",1,4,4,-,2,1,5,2,2,-,,,,4,2,2,-,1,1,-,31.0
"Wynd, Scott",2,-,2,2,2,1,-,,-,3,-,1,1,2,5,1,2,2,2,2,30.0
Totals,39,21,33,31,25,18,41,23,33,17,16,22,22,21,32,21,33,21,21,25,515.0
Opponent,CW,ME,FI,ES,WC,NM,CA,SK,HW,AD,SY,BB,GE,RI,CW,ME,FI,ES,WC,NM,
