Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Anthony, John",,,-,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,
"Brown, Nathan",-,-,-,-,-,-,-,1,-,-,-,2,1,-,-,-,-,-,-,-,,-,-,-,4.0
"Bryan, Chris",,,,,,,,-,-,-,-,-,1,3,-,-,-,-,2,-,-,-,-,-,6.0
"Burns, Scott",,-,-,,,,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,,,,4.0
"Clarke, Martin",-,,,-,-,-,-,-,-,1,3,-,-,1,2,-,1,-,1,2,1,-,-,4,16.0
"Cloke, Travis",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,2,-,-,-,-,2.0
"Cook, Ryan",,,,,,-,-,,,,-,,,,,,,,1,1,-,-,-,-,2.0
"Cox, Shannon",,,,,,,,,,-,1,,,,,,,,,,4,1,-,1,7.0
"Davis, Leon",1,-,4,-,-,-,-,8,-,7,3,5,,-,-,,1,-,6,2,3,2,4,-,46.0
"Dawes, Chris",,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,
"Didak, Alan",1,-,3,1,-,1,-,-,-,3,-,-,-,-,-,1,-,1,,,,,,,11.0
"Egan, Chris",-,-,,,,,,,,,,,,,,,,,,,,,,,
"Fraser, Josh",-,-,-,-,-,1,-,,-,-,-,1,,,,,,-,-,-,-,1,-,1,4.0
"Goldsack, Tyson",-,-,,,-,-,-,,,,,,-,2,-,-,,-,-,2,2,-,-,3,9.0
"Holland, Brodie",,,,,-,,,,,,,,,,,,,,,,,,,,
"Johnson, Ben",,-,-,4,5,1,-,-,-,1,-,-,2,1,1,3,-,,,,,,,,18.0
"Lockyer, Tarkyn",5,-,2,-,-,-,-,1,-,3,2,2,-,-,2,-,-,-,1,1,4,1,-,1,25.0
"Lonie, Ryan",,,,,,,,,,,,,,,,,,-,,,,,,,
"Lumumba, Heritier",-,-,3,1,-,-,-,-,-,-,1,4,3,6,1,1,5,1,4,-,7,3,1,-,41.0
"Maxwell, Nick",-,-,-,-,,-,-,-,-,-,-,-,3,-,-,-,1,-,-,1,-,-,-,-,5.0
"McCarthy, John",,,,,,,,,,,,,,,,,,,-,-,1,1,-,-,2.0
"Medhurst, Paul",-,-,-,-,-,-,-,-,1,-,-,-,1,1,2,-,1,-,-,4,-,-,1,2,13.0
"OBree, Shane",1,-,2,-,2,-,-,-,-,3,-,-,-,-,1,-,-,-,,-,-,-,-,-,9.0
"Pendlebury, Scott",-,-,1,-,1,-,-,-,1,-,,3,1,-,-,-,-,-,3,-,2,1,1,1,15.0
"Prestigiacomo, Simon",,,,,,,,,,,,,,,,,,,,,,-,1,,1.0
"Reid, Ben",,,,,-,,,,,,,-,-,,,,,,,,,,,,
"Rocca, Anthony",-,-,-,-,-,,,-,-,,,,-,,,,,,,,,,,,
"Rusling, Sean",-,,,,,,,,,,,,,,,,,,,,,,,,
"Shaw, Heath",4,1,8,-,1,1,1,1,2,-,2,-,10,5,2,2,-,3,,,,,,,43.0
"Shaw, Rhyce",1,1,7,3,-,5,2,-,5,6,7,4,3,6,6,4,3,,,,,1,-,4,68.0
"Stanley, Danny",,,,-,,,,,,,,,,,,,,,,,,1,,,1.0
"Swan, Dane",2,-,2,-,-,1,-,1,-,-,-,1,-,-,-,1,2,1,-,1,-,2,-,5,19.0
"Thomas, Dale",1,-,7,5,1,4,1,3,3,10,14,2,2,-,-,1,3,-,8,2,,,6,4,77.0
"Toovey, Alan",,,1,-,,,,,,,,,-,,,,,-,-,-,-,,,,1.0
"Wakelin, Shane",1,-,1,1,3,2,1,3,-,1,1,2,,4,1,1,-,,-,-,-,,,4,26.0
"Wellingham, Sharrod",,,,,,1,,4,-,2,-,-,3,,,2,1,-,1,,-,,,,14.0
"Wood, Cameron",-,-,-,-,1,-,-,1,,,,,-,-,-,-,-,,,,,,,,2.0
Totals,17,2,41,15,14,17,5,23,12,37,34,26,30,29,21,16,19,6,27,18,24,14,14,30,491.0
Opponent,FR,BL,RI,CA,NM,ES,HW,SK,GE,WC,ME,CA,WB,SY,AD,NM,ES,HW,SK,PA,SY,FR,AD,SK,
