Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Tot
"Baker, Liam",2,3,3,7,5,1,3,1,4,3,5,3,7,7,54.0
"Balta, Noah",2,1,5,7,5,2,3,5,5,2,5,2,2,2,48.0
"Bolton, Shai",5,3,3,2,7,6,-,5,1,2,1,5,5,7,52.0
"Broad, Nathan",2,1,,,,,1,1,3,1,3,1,1,2,16.0
"Clarke, Judson",,,1,3,1,3,1,-,-,1,-,3,-,2,15.0
"Cotchin, Trent",5,2,3,-,2,4,4,,3,2,1,2,3,6,37.0
"Cumberland, Noah",,,1,9,2,4,4,4,,,,1,,,25.0
"Dow, Thomson",,,,,,,,,,1,,,,,1.0
"Graham, Jack",6,1,5,1,,,,1,-,2,4,-,1,2,23.0
"Grimes, Dylan",-,1,4,2,1,2,2,1,2,4,2,5,1,5,32.0
"Hopper, Jacob",3,-,,3,5,3,5,9,5,,,,,,33.0
"Lynch, Tom",3,6,2,3,,,,,,,,,,,14.0
"Mansell, Rhyan",2,-,2,2,2,2,,-,4,2,2,2,2,,22.0
"Martin, Dustin",5,1,,4,2,2,2,4,2,3,4,4,6,7,46.0
"McIntosh, Kamdyn",2,4,4,7,3,2,1,4,8,4,2,3,3,8,55.0
"Miller, Ben",1,,,,4,2,-,3,3,,3,,,-,16.0
"Nankervis, Toby",5,3,4,1,,,,,,3,10,4,5,2,37.0
"Pickett, Marlion",4,4,2,3,6,7,5,1,1,3,4,1,2,,43.0
"Prestia, Dion",3,5,3,4,5,4,,3,4,1,2,6,4,7,51.0
"Ralphsmith, Hugo",,,-,1,4,2,,5,1,4,3,2,-,3,25.0
"Riewoldt, Jack",3,-,2,,3,4,1,2,4,7,2,4,2,5,39.0
"Rioli, Daniel",2,2,7,2,2,2,1,4,1,4,2,2,2,1,34.0
"Rioli, Maurice",3,1,3,,1,3,,,,,,,,-,11.0
"Ross, Jack",1,,3,,,,1,4,-,3,4,3,3,2,24.0
"Ryan, Samson",,1,-,3,4,2,3,-,3,1,-,3,2,1,23.0
"Short, Jayden",-,-,,,,3,5,4,4,3,5,2,5,2,33.0
"Soldo, Ivan",,,,,,,2,,,,,,,,2.0
"Sonsie, Tyler",,,,3,3,,3,,,,,,,,9.0
"Taranto, Tim",8,7,2,2,3,7,1,5,8,1,5,9,5,11,74.0
"Vlastuin, Nick",-,1,2,4,5,3,3,-,-,5,,,1,6,30.0
"Young, Tylar",,2,1,4,1,6,6,,,,3,1,2,1,27.0
Totals,67,49,62,77,76,76,57,66,66,62,72,68,64,89,951.0
Opponent,CA,AD,CW,WB,SY,ME,GC,WC,GE,ES,PA,GW,FR,SK,
